,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,1841.0184624522697,655.7150903343055,13370.565409418754,13816.0437659951,4560.296725074248,1928.8740698424629
1,0.035,1818.8174501484941,641.9063064598955,13350.302998727195,13778.35675010886,4527.618491726771,1921.6230489748875
2,0.07,1794.4254756045825,625.9706463744023,13314.637130674586,13691.245019652884,4495.32811158252,1920.7251139387772
3,0.105,1770.313493423844,607.9551194543099,13249.902517607126,13578.283298358043,4461.1898201103095,1920.849147983751
4,0.14,1748.7124000848535,589.1848879296115,13147.574488332626,13465.576194247566,4439.497937208316,1927.2193106213738
5,0.175,1734.9386792532882,573.8487322256046,13079.6860386084,13270.72038321209,4437.935911327959,1948.2844141982707
6,0.21,1734.4250271531607,563.385332562057,13078.817007636826,13264.4117913262,4449.645446754349,1974.215344293954
7,0.245,1755.832169707255,558.5824458921362,13147.511868901145,13336.409682854046,4461.054614764531,1991.3873788419644
8,0.28,1804.3429109036908,561.4843489006477,13257.452575731862,13389.99351777119,4477.351606279169,1999.318108130929
9,0.315,1885.6887437420453,571.2064066643751,13378.313852778958,13369.367787312762,4498.351937632583,1991.6798618310615
10,0.35,2000.0027742893508,589.9737609398821,13587.009358506575,13468.366369132818,4525.601651675859,1975.8757633761759
11,0.385,2134.370568519304,612.8729614168468,13796.634198981757,13499.94585823032,4573.563465422147,1958.8004354370164
12,0.42,2262.4416491302504,635.7937498364267,14000.045380992788,13512.358005014876,4626.71898854476,1957.3991442646156
13,0.455,2363.764358506576,653.7248307319619,14279.195222740773,13626.283259864671,4672.214918540518,1965.5708087171704
14,0.49,2415.1973759015696,662.8005633518861,14556.218535002121,13786.604650613346,4706.97996351294,1987.7151341661458
15,0.525,2362.1640780653374,653.1554441709942,14630.190229104795,13897.861673046289,4729.762147645311,2002.530419200089
16,0.56,2259.7842969876965,632.7242350298734,14643.117151887991,13997.815112957256,4747.692400084854,2012.188605335984
17,0.5950000000000001,2126.8594009333897,609.9931692988578,14571.45726601612,14086.34683041136,4735.250093763258,2014.4555163396951
18,0.6300000000000001,1994.0594013576579,586.9713253266676,14419.915704709376,14132.333350037554,4707.389776410691,2013.2554617070646
19,0.665,1879.7551968604157,569.4782826508267,14209.965180738225,14139.116392735996,4663.165239711498,2020.9089998648053
20,0.7000000000000001,1799.9743126856174,557.6409999611672,13931.514650403054,13967.127655202949,4624.522540517607,2028.5385185736484
21,0.7350000000000001,1752.8819087823504,554.3631585994062,13638.238944845141,13786.427271106233,4591.504108612643,2018.5412297988657
22,0.77,1733.407416207043,561.561406387203,13448.917697921086,13719.258209729454,4572.588571913449,1990.3764340797968
23,0.805,1731.8701251591006,571.945651591724,13370.937004242682,13818.875279134783,4556.483129401782,1967.7168184776099
24,0.8400000000000001,1743.2521841323717,584.0928994505418,13334.441403903267,13937.712121431005,4545.305461603733,1962.551205502729
25,0.8750000000000001,1762.928416207043,599.663603113736,13322.829339838778,13927.816394258009,4533.16340305473,1971.5836030156402
26,0.91,1785.2996546457362,616.6287444251868,13325.457876113705,13886.571970871575,4514.839892660161,1985.4782117818788
27,0.945,1808.1175812473482,632.8032756471474,13398.155293169284,13916.250927399817,4498.159078913874,1993.0383685635595
28,0.98,1828.770946966483,644.893215339962,13475.353928298684,13937.560252934723,4487.693754348749,1997.3892446670736
