,Distance,Channel 1,Channel 2,Channel 3
0,0.0,154219.54600000006,1041520.3600000003,233017.74000000002
1,0.035,152716.05600000007,995058.5989999997,243338.8239999999
2,0.07,151824.304,936009.9529999997,252743.9610000001
3,0.10500000000000001,151541.13799999995,886019.3750000001,258623.91499999995
4,0.14,151427.18300000005,844153.6189999995,267119.7659999999
5,0.17500000000000002,152247.79299999998,815923.8259999995,266402.954
6,0.21000000000000002,152586.0100000001,811200.082,267956.0090000001
7,0.24500000000000002,152357.61499999996,822717.8199999998,266889.9109999999
8,0.28,152760.40799999997,870192.1759999999,265594.1550000001
9,0.31500000000000006,153144.064,985325.0040000001,275064.3419999999
10,0.35000000000000003,153091.272,1178298.685,294251.5150000001
11,0.385,152847.26199999993,1464522.9439999997,313383.50399999996
12,0.42000000000000004,152745.59499999994,1763745.531,329286.15700000024
13,0.45500000000000007,152758.26499999993,1999574.488,341421.3129999999
14,0.49000000000000005,152834.989,2117077.5159999994,345926.47
15,0.525,151990.982,1994307.2169999995,344194.9350000001
16,0.56,151644.35899999997,1769493.7360000003,346719.37
17,0.5950000000000001,150813.11599999995,1481307.3840000003,341011.9610000001
18,0.6300000000000001,149778.434,1196421.0349999995,334424.49899999995
19,0.665,148820.28200000006,987005.6099999999,325341.1660000001
20,0.7000000000000001,147627.75399999993,864035.8169999999,318212.46299999993
21,0.7350000000000001,147059.41800000003,807878.2889999995,308815.5939999999
22,0.77,147461.46499999997,798030.7049999998,298548.50399999996
23,0.805,148383.44000000003,829404.997,286501.28099999996
24,0.8400000000000001,149588.19799999997,881533.4780000001,278070.3769999999
25,0.8750000000000001,150523.21700000003,938483.6299999999,269906.4570000001
26,0.9100000000000001,151205.17099999994,981225.5540000001,255996.108
27,0.9450000000000001,151547.77199999997,1009397.4820000003,241047.08400000003
28,0.9800000000000001,151502.00799999997,1021186.4040000001,230035.32200000004
