,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3
0,0.0,991.544,4299.096,754.305,660.89,9998.84,561.975,94.635,24440.439,757.383,772.601,13715.207,497.403,120.78,7455.14,536.07,667.312,5522.545,424.857,136.341,6466.95,527.236,971.19,19384.52,4815.84,292.92,2018.665,905.932,117.0,2357.0,673.0,1487.59,7152.91,6002.71,112.54,2176.04,522.22,913.92,2166.59,355.23,367.04,6533.4,461.0,409.079,17655.788,5752.991,762.1,19334.8,4898.2,911.16,3274.58,241.0,518.707,5910.901,596.444,779.175,6485.174,791.272,729.36,3236.7,3001.8,295.689,42343.931,8638.007,589.118,23845.619,3436.757,433.65,1500.41,617.81,155.228,8133.17,869.566,743.54,7579.88,1155.34,413.31,12146.29,2281.73,1065.62,19442.66,5734.0,719.952,27029.213,5682.748,409.9,1766.65,1965.4,726.84,12158.18,633.88,299.517,10385.033,7997.879,179.28,7549.1,454.06,195.87,16589.156,686.151,1586.0,6158.0,508.0,383.84,2908.06,257.56,414.9,5617.0,2811.42,669.534,2295.903,486.314,943.806,4073.962,475.759,489.589,949.835,272.221,791.384,12108.744,488.055,334.14,1723.66,314.41,313.76,5214.32,923.8,1116.203,11366.749,3298.277,816.546,4740.12,429.431,947.826,3514.516,638.639,201.68,6184.84,177.4,173.766,3653.569,3307.121
1,0.035,838.802,3492.754,565.98,788.172,10483.869,552.6,102.799,27984.57,765.416,865.769,9362.44,350.167,96.68,9209.2,606.49,873.775,5312.328,435.99,127.025,5406.39,441.8,1018.57,25229.89,7786.39,391.892,2436.58,1161.827,120.071,2340.773,1101.893,1288.527,9349.738,6821.709,103.107,2149.605,654.869,786.804,2551.123,373.275,425.448,6737.279,404.69,475.097,17350.945,5052.219,967.016,20427.784,4438.934,865.705,2688.626,367.797,534.555,5322.258,636.719,754.525,5945.202,744.995,774.7,3222.44,2382.16,358.72,36300.86,7267.82,654.297,21407.94,3832.093,414.685,2005.519,472.206,195.097,8106.866,638.654,588.86,8631.22,1266.72,567.87,13173.44,2974.86,1339.379,17501.996,5002.143,600.16,23433.76,5110.76,289.7,2826.65,2706.7,941.32,9725.24,581.94,273.5,11435.38,7175.5,144.54,8405.46,521.62,200.455,22783.493,725.486,1483.792,5323.531,475.76,335.049,3139.937,233.878,451.28,4307.3,1662.02,803.226,2269.745,596.797,854.306,3816.527,654.187,688.889,1083.33,289.421,760.28,13548.5,575.88,320.514,2046.753,437.171,368.8,4122.0,587.96,988.186,10453.861,3017.497,838.38,5824.44,363.41,925.604,4191.661,593.937,246.4,5768.6,282.4,277.912,4124.162,1871.745
2,0.07,649.871,2658.349,425.285,909.59,10186.314,493.781,116.379,28460.509,838.944,867.369,6131.635,315.89,93.937,9920.762,627.878,1088.243,5366.262,464.803,179.24,4314.92,423.84,1171.207,26482.272,9354.229,532.952,4898.108,1678.488,119.729,2158.471,1439.514,1062.287,9581.482,5726.732,99.33,2294.61,689.92,707.459,2985.655,588.581,500.08,6996.16,401.68,607.0,16883.0,4098.0,1162.24,19727.22,3557.74,792.625,2322.947,477.608,555.435,4643.621,673.349,721.58,5727.44,780.2,823.66,3489.92,1612.78,448.658,28379.227,4995.531,696.134,18496.291,3688.863,454.58,2968.259,384.105,236.611,6857.235,574.873,451.02,10305.84,1229.26,742.428,13567.232,2981.873,1635.31,17613.33,4317.45,473.228,22723.716,4534.883,213.05,4179.6,3950.2,1164.385,6847.259,535.49,261.24,10834.3,4894.257,114.86,7879.96,598.26,264.338,27102.285,706.995,1343.051,4488.068,434.197,379.1,3421.75,219.65,544.895,2395.122,1139.178,937.93,2840.95,589.25,728.978,3401.568,827.578,925.14,1215.18,293.34,650.916,13560.376,665.774,393.139,2366.128,457.612,442.68,3065.56,573.56,778.2,9677.68,2541.72,842.73,7154.95,377.2,857.209,4951.733,478.802,277.92,5216.36,383.56,364.45,4825.18,1007.42
3,0.10500000000000001,453.166,2569.671,511.573,1018.576,9082.15,410.149,133.63,26490.16,943.27,787.216,4133.658,319.161,81.0,9809.0,594.0,1260.362,5672.311,503.437,283.64,3383.32,453.36,1382.633,24799.364,8797.333,639.23,7539.06,2439.12,123.258,2006.676,1630.067,847.872,9886.675,4200.723,107.61,2425.15,1184.36,645.8,3262.8,851.4,549.76,6452.64,353.64,726.0,14963.0,2734.0,1285.274,16822.279,2473.215,678.89,2271.884,627.257,591.358,4043.614,656.253,679.832,6093.489,792.308,878.62,4035.4,975.14,468.292,17305.385,3957.326,700.232,15355.117,2846.591,497.13,3999.89,283.0,265.06,5436.348,539.956,382.18,11756.7,1121.76,925.75,13234.0,2632.0,1826.87,19433.72,4420.58,361.906,15436.138,2812.26,180.6,5532.75,5299.05,1356.623,6080.899,528.736,239.15,10164.6,3142.1,93.12,6111.28,634.18,316.54,26171.62,832.46,1171.296,3725.276,416.142,490.15,3968.35,233.0,640.938,1865.068,796.953,1061.794,3890.111,422.487,601.176,2968.684,905.424,1114.552,1581.336,257.969,514.5,13060.6,830.7,467.149,2322.569,452.497,491.64,3116.88,448.68,532.759,9373.251,2016.299,740.177,7199.549,435.154,719.482,5268.864,453.822,329.535,4945.146,442.419,421.465,6374.658,732.923
4,0.14,324.16,2991.72,661.18,1100.0,7230.0,392.0,156.381,21453.872,1149.873,663.242,3100.57,322.366,65.71,7014.923,373.126,1309.61,5974.55,518.4,409.04,2653.64,518.24,1545.797,23877.584,7508.001,751.808,9808.889,2775.358,135.114,1844.437,1697.196,697.7,9797.55,2620.65,151.423,2331.387,1795.75,560.838,3541.565,991.897,644.16,5553.96,322.52,838.187,13725.643,2393.42,1420.1,12276.53,1254.69,559.849,2849.006,778.769,653.41,3582.45,679.27,611.394,5881.244,705.945,961.59,4745.827,598.095,481.48,9645.28,2344.54,679.821,12272.174,1793.381,526.79,5617.006,322.459,274.563,4150.057,485.948,383.58,12344.78,1169.9,1109.5,10587.5,2455.25,1922.82,21175.11,4334.55,296.52,11770.32,2114.04,204.25,6561.1,6138.3,1473.875,5028.59,430.722,249.15,8944.4,1857.15,89.64,3914.5,650.58,374.898,22069.147,904.417,964.39,2920.225,516.1,632.85,5011.0,217.9,708.918,2429.942,551.737,1088.472,4685.554,408.812,521.68,2468.12,755.4,1279.694,2135.197,295.927,384.164,12220.598,1034.356,508.4,1984.0,471.2,491.969,5371.876,389.45,357.151,9647.591,1716.409,700.2,7078.8,562.4,564.697,5735.525,513.522,396.154,4464.365,490.226,444.401,8409.554,725.28
5,0.17500000000000002,261.38,4382.34,749.12,1091.08,5649.312,616.91,202.637,16767.517,1446.336,516.757,2646.212,363.866,76.36,8153.4,424.9,1311.815,7021.005,533.369,556.521,2681.02,604.108,1647.84,25453.6,8086.28,861.46,10507.98,2580.2,187.958,1723.991,1638.631,550.616,10503.059,1532.078,125.388,1836.344,1844.075,456.72,3902.56,941.28,818.52,4679.72,423.12,927.821,12610.665,2203.268,1335.674,8198.169,981.13,425.16,3734.52,1087.4,714.9,3423.68,821.37,506.691,5681.345,647.831,1023.7,5255.17,594.86,399.177,4276.464,1468.702,649.4,10219.96,1019.52,598.0,6961.4,309.0,257.257,3788.637,453.577,393.209,10928.001,1242.442,1243.75,7515.75,2335.5,2024.086,22772.51,4051.951,303.24,9855.92,2250.48,277.85,7060.7,5974.1,1515.586,3846.648,325.147,324.149,6727.615,925.676,113.44,2283.5,666.88,540.83,18991.51,972.1,959.297,4207.154,1255.392,762.35,6131.9,206.65,687.925,3889.799,629.035,1034.902,4732.395,615.514,463.99,2250.234,552.608,1348.9,3135.1,475.8,303.689,11744.796,1378.097,463.2,2083.8,800.4,455.626,7984.872,499.522,242.237,10591.286,1368.664,673.346,6059.087,686.916,410.01,7088.88,608.65,445.479,3770.146,556.624,417.247,10335.769,676.723
6,0.21000000000000002,222.16,6134.82,718.08,1032.846,5022.313,900.412,245.063,12765.419,2097.12,413.0,2702.7,434.5,83.58,7044.08,449.96,1261.03,8447.149,517.762,709.21,2774.03,928.79,1666.831,25250.467,7415.058,907.235,10664.854,2021.165,239.061,1834.354,1530.619,414.4,11689.48,1178.0,117.736,1896.782,1889.498,344.28,4207.28,699.64,1044.16,5111.12,636.32,1007.919,11584.295,2055.41,1270.032,4889.502,1020.597,312.72,4468.56,1506.32,725.664,3781.076,1028.299,387.677,5698.725,788.598,1043.17,5131.97,755.83,327.21,2348.97,897.8,620.39,8556.734,742.95,724.8,7615.0,412.8,249.887,4249.674,638.456,407.7,8808.51,1203.47,1329.745,5169.118,2292.559,2215.116,24477.047,3960.985,368.28,8624.92,2792.52,390.25,7122.75,4862.1,1454.082,2867.753,377.938,418.3,4974.06,608.4,167.9,1970.28,739.66,764.02,16634.49,1073.37,997.004,6075.685,2403.634,844.998,6320.163,264.948,586.903,6233.063,659.912,939.46,4184.355,912.077,427.62,2488.46,443.45,1300.9,4707.7,697.5,248.848,12362.386,1834.943,380.2,3565.0,1698.6,379.08,9047.145,740.475,172.57,12147.72,1092.85,656.44,4963.99,850.96,293.433,10252.834,807.075,448.52,3342.2,836.92,347.173,10840.303,644.273
7,0.24500000000000002,210.0,7618.46,843.66,943.345,4969.454,1332.898,271.879,11041.304,2934.583,390.9,3337.8,460.8,131.51,5604.191,471.462,1126.0,9823.0,543.0,829.58,3242.678,1576.79,1615.15,24449.0,8071.0,925.058,10938.643,1828.447,292.151,2131.872,1363.761,351.96,10637.44,1087.16,137.6,2183.4,1814.0,262.4,3923.64,631.8,1287.176,6286.348,968.287,1076.104,10410.683,1944.659,1084.4,4463.6,987.8,240.8,5106.04,1843.84,717.0,5148.0,1269.0,264.21,6116.23,1105.38,1030.57,4494.68,1055.17,262.259,2455.023,752.08,625.48,7211.2,761.92,864.0,8305.8,637.4,209.6,4303.08,1000.8,414.3,9264.72,1797.49,1396.551,4510.146,2174.787,2344.086,22263.761,3589.998,435.64,8259.2,3855.0,526.95,7197.5,3500.3,1300.92,2684.08,601.68,504.111,4117.634,571.179,236.86,3011.86,1129.74,990.6,14044.0,1466.84,960.846,7718.427,3732.365,879.54,6203.88,568.3,449.347,9055.246,858.067,812.527,3200.714,1399.304,395.764,2953.659,598.334,1250.554,5335.851,939.885,225.946,13893.625,2282.394,301.8,6229.2,3146.4,293.821,8897.491,1210.052,151.1,12723.59,1137.3,710.25,4936.59,1294.64,245.037,15200.353,970.592,403.036,3708.507,1337.727,281.877,10310.49,865.809
8,0.28,214.639,7378.78,1079.768,849.686,5144.06,2218.728,267.94,11458.46,4417.06,462.2,4660.15,696.65,210.64,4363.9,517.34,902.19,10222.305,1152.374,924.4,4152.0,2531.4,1441.05,21928.35,9799.4,898.904,11178.77,2108.567,359.078,2624.688,1367.824,311.725,9180.146,1249.165,164.745,2793.146,1688.57,249.101,3585.069,891.708,1517.429,8487.739,1406.676,1141.286,9301.672,1968.377,958.242,4697.269,1105.207,201.16,5590.28,2403.88,670.0,6589.0,1956.0,175.369,7686.799,1867.88,982.074,3826.892,1564.679,231.327,2908.359,913.779,596.309,6413.52,1126.879,897.724,9774.961,848.92,172.52,4467.84,1549.4,403.62,9984.97,2927.47,1418.81,4755.81,2642.37,2487.283,18114.675,3232.984,489.76,8790.48,6383.48,652.4,7978.65,2780.45,1056.6,3152.72,916.88,562.662,3942.12,657.163,313.14,5072.24,1874.0,1184.63,11274.04,2419.2,908.12,7352.84,5859.44,833.596,5791.018,1188.026,307.526,11777.337,1534.153,655.219,4167.543,2310.333,345.903,4260.412,833.724,1154.8,6170.4,1247.4,245.738,15572.745,2627.045,281.654,8096.137,4674.063,214.18,7802.22,1983.48,147.711,12109.366,1469.637,721.06,6343.02,1784.16,244.0,25819.02,1538.54,395.51,4581.26,1908.52,242.039,9033.918,1223.396
9,0.31500000000000006,244.55,7001.35,1481.6,813.153,5724.878,3999.397,247.896,12602.147,6518.82,605.312,6257.372,1585.353,276.11,3867.8,767.8,690.839,9815.992,2239.366,963.0,4626.6,3725.4,1162.199,19824.944,11115.552,823.44,10336.64,2461.58,401.724,2820.771,2292.449,278.477,7744.701,1899.108,165.141,3884.517,1801.308,275.04,4173.72,1448.8,1639.35,10776.802,2139.069,1208.793,8515.942,2066.423,857.04,5180.04,1700.0,180.4,6061.44,3744.88,618.86,9892.877,3570.681,90.406,8348.221,4086.005,930.4,3706.36,2607.6,256.563,3506.152,1328.076,634.322,5877.385,1853.241,889.46,11627.12,1533.72,143.335,4998.311,2787.415,408.66,10684.83,4213.37,1312.73,6171.197,3238.461,2640.2,13503.4,3258.4,530.12,9957.24,10897.08,733.3,10083.1,3129.25,854.899,3624.07,1796.579,571.697,4699.592,844.471,380.92,7493.66,3114.06,1189.737,10134.932,3568.352,781.013,8226.492,7144.056,770.14,5071.18,1963.62,210.65,11750.95,2660.3,546.92,6616.68,3739.24,297.88,6538.32,1131.16,1083.56,6204.759,1899.814,315.027,15783.271,2784.471,295.137,7730.094,5347.489,158.74,6515.52,2885.12,152.46,10830.9,2015.84,693.82,9307.63,2428.55,318.204,37365.988,2922.081,313.946,6909.738,2512.057,238.846,7707.915,1543.721
