,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3
0,0.0,7317.803,15102.035,1079.894,3770.1,1260.4,234.4,4716.11,460.633,468.846,3047.68,1439.36,234.24,3222.646,2422.071,424.254,3212.038,1034.022,263.556,5498.76,1703.92,1112.08,3668.92,1653.24,1041.56,2912.157,290.759,275.422,3530.0,2162.0,370.0,6792.356,432.716,397.902,2269.36,5395.08,340.84,12916.098,2018.948,234.477,6981.875,560.101,187.12,3369.48,4091.16,394.56,2533.597,412.075,81.325,6845.345,9814.705,4789.032,5375.451,3703.547,2365.338,6566.205,1942.886,3534.977,5462.39,1034.28,517.13,2246.0,3267.0,3467.0,4833.506,3757.144,1350.47,3322.44,3017.976,805.635,5858.099,683.634,569.129,10403.5,2140.0,330.25,5537.931,1673.346,617.189,3286.86,1472.12,207.22,2477.671,794.465,1756.462,7936.0,281.92,149.88,6407.085,1601.203,609.965,6134.67,1865.45,138.34,11044.2,1121.0,1457.6,6125.568,2930.701,357.579,12380.856,13601.867,893.988,3177.76,664.94,257.31,7135.576,5084.872,1871.285,1960.06,332.74,353.04,4989.09,680.21,359.31
1,0.035,6953.96,17010.56,1854.4,3065.321,833.014,222.349,5102.823,450.519,510.893,3047.16,1560.6,249.4,3285.892,1866.599,447.527,2873.663,1123.188,373.709,5311.68,1883.04,1766.6,3774.96,2000.96,1068.28,2697.72,458.97,266.65,3668.0,2202.0,345.0,8346.16,545.82,453.96,2169.88,5081.08,322.8,12731.857,2044.585,236.964,6553.832,686.912,174.043,2931.9,3563.56,483.74,2405.51,296.28,56.07,7656.738,8375.81,3743.698,5911.73,3989.49,2733.21,6981.773,2209.555,3821.886,5406.055,1544.613,386.64,2408.0,3787.0,3550.0,4840.036,4943.43,1009.2,3543.868,2850.074,1056.325,6009.394,707.105,337.07,10336.5,2551.75,280.25,6105.912,1876.489,412.071,3461.72,1623.975,255.125,2093.54,803.96,2903.24,8007.8,370.2,114.88,6380.066,1339.635,802.84,5332.39,2101.56,185.99,11856.0,1226.6,1476.6,5774.27,2674.65,398.15,12445.2,16023.5,1648.8,3066.983,884.019,262.716,6689.5,6623.85,2520.14,2142.698,600.344,308.83,4542.949,520.353,342.278
2,0.07,6379.32,16506.6,2453.16,2273.84,521.18,215.26,5494.88,402.6,584.12,3004.757,1427.362,247.694,3575.5,1561.9,435.65,2716.36,1536.12,525.56,5028.48,1958.16,2480.36,3959.4,2270.12,1027.24,2384.225,603.741,272.166,3826.0,2191.0,296.0,9065.92,596.26,471.68,2128.56,4822.24,277.84,12055.053,2208.576,197.24,6419.24,683.12,172.68,2605.86,2741.04,541.16,2414.9,257.64,74.92,8646.28,6703.2,2229.36,6692.35,4285.41,2654.84,7444.44,2250.68,4398.96,5297.72,2271.56,431.04,2591.0,4031.0,3228.0,4699.482,5822.255,815.458,3630.46,2728.46,1014.02,5904.463,743.895,320.85,9846.862,3110.518,264.749,6541.28,1843.99,365.89,3693.97,2046.34,271.72,1766.52,795.18,4154.92,8036.0,340.0,127.88,6252.19,1384.38,897.5,4442.87,2020.43,198.53,12499.908,1575.133,1285.175,5244.978,2047.49,307.365,12611.682,17469.594,2474.692,2984.315,1181.855,258.567,6342.39,5434.26,2570.09,2244.06,838.02,328.25,4159.467,409.762,292.156
3,0.10500000000000001,5980.372,14139.116,2995.89,1625.76,313.62,219.52,5417.706,253.84,636.875,2911.16,1233.84,227.04,3806.521,2076.326,446.868,2556.24,1824.3,601.9,5006.36,2291.71,3164.903,4106.16,2327.8,900.28,2426.334,773.373,242.361,4133.0,2092.0,247.0,9997.905,644.242,438.282,2145.24,4291.68,214.56,11359.78,2137.7,206.42,7011.001,628.16,202.34,2417.69,1986.24,571.51,2423.34,255.09,90.44,9853.54,4898.222,923.076,7284.329,3937.219,2270.708,7862.2,1835.4,4807.4,5158.84,2806.12,478.08,2747.362,3889.617,2488.928,4415.63,5622.71,778.64,4276.804,2741.828,1015.029,5487.722,799.434,393.876,9005.429,4188.408,326.059,6753.92,1625.29,345.51,4188.11,2767.23,308.02,1504.22,684.26,5237.42,7977.36,369.48,159.4,6069.74,1265.43,1289.57,3564.428,1681.405,193.098,12896.18,2023.31,1132.47,5243.811,1994.976,246.554,12692.96,17875.52,3142.94,2752.68,1159.68,199.2,5802.83,3876.29,2479.64,2503.241,1011.534,303.086,4165.23,381.26,215.93
4,0.14,5856.908,12279.594,3495.526,1533.9,160.32,217.54,5485.461,332.003,597.289,3050.0,1081.36,198.96,3877.583,3049.473,469.887,2591.841,1366.159,468.504,4717.28,2595.88,3856.04,4173.36,2301.68,714.44,2525.894,952.859,231.953,4693.0,1879.0,235.0,10427.99,671.54,445.68,2187.022,3177.358,140.825,10239.659,2053.441,268.14,7651.81,608.636,219.518,2316.77,1573.45,553.6,2434.41,303.64,70.84,10513.87,3398.46,296.82,7562.007,3130.305,1807.315,8193.698,1557.724,3865.49,4937.282,3985.031,521.638,2962.7,3929.94,1808.28,4115.001,5517.672,580.836,4986.188,3065.792,970.964,4741.48,1072.25,462.32,8222.57,5010.5,578.59,6766.67,1403.55,310.71,4443.35,4158.168,257.289,1323.58,517.36,5964.6,7810.16,450.88,136.2,6037.064,1143.841,1757.573,2841.095,1232.295,145.805,12842.86,2351.1,1057.81,4912.75,1359.75,156.19,12385.94,17228.58,3101.26,2564.74,1452.02,153.9,5188.018,3709.815,2943.818,2789.913,1130.402,324.488,3874.944,333.374,205.487
5,0.17500000000000002,5475.56,10087.0,3458.64,1894.84,103.36,210.42,5430.425,505.406,531.944,3093.32,875.16,258.24,3746.269,4041.845,434.957,2741.649,1024.497,354.363,4248.8,2830.12,4166.16,4479.749,2182.539,511.316,2513.0,997.4,254.0,5056.665,1186.216,190.331,10041.69,638.04,447.15,2159.76,2651.76,151.68,9098.53,1899.86,304.22,8298.0,714.0,159.0,2300.33,1584.06,461.23,2480.71,383.93,54.53,11227.468,2084.864,7.948,7547.753,2507.957,1218.469,8572.28,1382.04,3026.16,4873.586,6326.609,676.432,3159.52,3835.0,1160.34,3885.851,5436.198,379.96,5558.74,3817.18,839.76,3974.956,1220.608,548.48,7443.67,5910.23,1009.92,6610.31,1406.24,267.64,4469.415,6075.421,144.167,1388.6,401.3,6296.52,7481.28,547.726,74.822,6237.2,908.31,2119.12,2563.62,727.73,127.26,12197.75,2785.12,878.18,5124.635,1717.454,146.174,12351.32,16072.32,2881.56,2336.58,2064.62,145.16,4780.16,4622.28,4055.48,3042.2,1332.4,634.8,3805.2,354.6,208.8
6,0.21000000000000002,5019.485,8724.243,3171.594,2398.5,261.72,234.52,5222.24,788.16,532.16,2913.361,719.111,322.743,3375.595,4892.358,381.14,2896.719,995.647,348.545,3783.52,3275.64,4086.2,5060.731,2243.142,452.621,2279.4,956.8,346.6,5765.28,716.04,139.34,9615.03,638.78,445.41,2087.082,2123.628,192.506,7837.35,1635.016,313.636,8067.0,1017.0,231.0,2387.11,1950.77,305.36,2637.96,471.32,117.8,11364.722,1348.94,427.119,7531.54,2500.51,847.42,8793.16,1135.82,2442.2,4583.93,8047.0,967.09,3081.343,3328.212,741.223,3618.889,5346.865,277.868,5592.224,4896.839,814.727,3380.776,1423.995,949.973,6739.86,7279.72,1665.96,6478.23,1703.797,244.721,4291.514,7860.939,285.862,1520.769,575.69,6778.737,6744.769,693.891,36.969,6714.515,834.458,2221.463,2490.31,914.14,95.97,11075.07,3263.32,671.04,5172.0,2190.6,142.2,12471.83,13820.018,3219.141,2159.861,2276.303,205.274,4490.455,3715.708,4196.193,3228.2,1555.2,1201.6,3899.2,429.4,245.6
7,0.24500000000000002,4887.55,9376.48,3324.96,3017.6,648.72,314.88,4918.961,1126.066,1036.698,2494.299,782.914,366.021,2906.85,5612.145,388.317,2940.288,1026.656,333.06,3338.04,3933.52,4109.4,5080.28,1996.44,371.4,2309.421,1206.06,541.175,6430.22,501.12,189.32,9175.65,762.23,536.17,1961.1,1663.43,225.84,6778.38,1467.96,374.44,7635.0,1400.0,654.0,2688.843,2728.676,283.168,2842.239,559.677,289.046,11178.555,975.169,1553.964,7348.19,2787.22,1185.32,8836.281,993.5,1828.921,4199.85,9721.26,1612.51,2866.83,2774.51,858.41,3425.081,5107.351,486.036,5927.43,6443.571,1489.128,2999.94,1697.08,1704.08,6169.27,9280.78,2549.07,6329.96,2241.04,377.58,4081.146,9067.446,982.688,1719.25,898.0,6385.0,6206.0,1068.16,217.44,7327.63,786.51,2572.75,2261.302,1543.798,274.411,9827.99,3455.45,660.02,5008.0,2537.6,281.4,12501.667,11491.567,4058.09,1957.25,2835.05,224.1,3964.808,4313.332,5347.523,3173.355,1625.31,1828.819,3737.84,484.693,306.939
8,0.28,4990.88,11576.46,4086.74,3717.76,1034.48,438.12,4925.17,1568.81,2295.86,2346.04,850.6,566.2,2391.375,5980.409,721.511,3081.0,1034.7,622.78,2863.799,4455.353,4381.792,4909.64,1962.44,537.28,2484.67,1570.23,899.42,7080.88,330.48,429.92,8665.02,923.91,845.25,1995.17,1638.32,482.53,5846.74,1817.68,741.48,7169.0,1738.0,1297.0,3069.24,3683.92,316.72,2888.12,647.04,518.8,10947.215,832.971,3181.52,6921.17,3104.43,2153.89,8892.0,950.96,1469.58,4129.217,12689.566,2454.914,2612.35,2181.56,1367.27,3167.022,4932.578,900.634,5674.1,7624.2,2675.0,2739.92,1952.34,2828.08,5541.31,11728.54,3576.41,6296.5,2836.26,798.38,3737.8,9451.7,2017.5,1854.732,1578.457,5626.77,5749.76,1694.6,783.68,7889.77,998.21,3755.66,2222.6,2606.6,1053.8,8740.89,3479.19,954.34,4504.007,2312.672,791.926,11796.84,9146.136,5340.597,1858.304,3925.381,369.191,3762.28,3354.56,5724.72,3299.367,1794.539,2698.39,3501.65,555.16,485.1
9,0.31500000000000006,5006.922,14234.601,4713.478,4516.92,1292.963,498.92,4669.559,1903.015,2995.293,2210.302,924.147,822.695,2007.81,5917.67,1649.7,2896.709,1054.11,1696.14,2556.012,4899.477,4985.468,4559.48,2229.12,1152.04,2446.41,2113.18,1559.74,7376.444,176.588,928.009,8067.42,1083.94,1526.17,2028.4,1692.82,1148.74,5131.387,2284.399,1472.253,6670.0,1932.0,2135.0,3248.04,4690.6,889.44,3247.24,957.68,1091.28,10474.105,887.678,5010.939,6309.87,3295.82,3405.26,8809.233,912.138,1492.321,4096.775,14856.935,3325.858,2179.447,1703.919,2176.978,2874.014,4806.268,1659.327,5680.812,8839.666,5230.278,2531.42,1935.1,4396.86,5028.28,14193.52,4543.66,6235.42,3204.02,1531.44,3239.309,8559.427,3060.1,1989.72,2332.62,5302.32,5265.12,2900.96,1744.28,8352.66,1089.1,4627.46,2108.53,3630.347,2476.942,7718.11,3696.44,1610.74,4017.51,1820.02,1679.67,11145.66,7929.5,5717.72,1839.073,5953.827,799.757,3745.0,2294.2,6332.52,3488.23,1815.453,3275.979,3532.72,700.23,991.39
10,0.35000000000000003,4940.2,17743.2,4912.0,5214.095,1673.312,705.489,4621.541,2393.905,4604.42,2366.02,1109.55,1539.43,1634.665,5321.825,3065.875,2693.19,1142.15,3140.18,2520.47,5311.568,5976.73,4069.32,2539.52,2077.88,2393.88,2594.21,2461.85,7157.824,105.745,1677.809,7475.84,1215.12,2815.43,2030.64,1783.63,2431.57,4820.181,2653.468,2486.601,6112.0,2011.0,3103.0,3432.12,5766.16,1937.36,3543.6,1550.44,1838.0,10080.434,1064.976,6976.106,5657.34,3482.26,4487.54,8828.894,769.191,1837.681,4133.719,16021.998,4293.459,1725.0,1684.84,3601.04,2603.086,4613.21,3016.361,5484.2,9034.2,7772.6,2399.835,1753.658,6226.731,4399.66,16235.3,5202.48,5861.294,3257.31,2833.943,3260.981,7740.853,4961.772,2002.468,2914.828,5299.03,4613.959,4304.157,2947.376,8572.915,1035.319,5149.471,2023.34,4481.71,4357.71,6961.66,4009.99,2742.52,3959.56,1767.81,3270.73,10602.44,8689.68,6066.04,1887.154,9047.823,1541.959,3653.04,1639.4,6555.48,3588.0,1667.0,3844.0,3555.538,842.241,1934.448
11,0.385,5192.6,20015.4,5249.0,5573.941,2573.751,1528.57,4395.1,2700.3,5541.8,2673.878,1528.136,2482.094,1390.25,4597.633,4850.386,2464.357,1248.923,4727.425,2628.551,5476.596,6798.98,3549.8,2591.48,3306.8,2326.06,2845.93,3522.8,6761.975,291.933,2706.666,6904.15,1330.92,4840.25,2001.53,1932.95,4434.18,4773.94,3322.26,3662.08,5519.0,2097.0,4081.0,3561.2,6570.32,3345.44,3758.32,2436.8,2964.88,9541.08,1159.92,7538.6,5123.42,3559.34,5075.09,8659.113,777.296,2769.331,4257.352,15579.937,5516.377,1431.88,2090.2,4361.52,2301.051,4422.673,4846.382,5235.944,8629.48,10242.299,2462.79,1667.829,7933.971,3694.7,17584.07,5464.62,5441.19,3166.0,4652.75,3488.823,6653.571,7454.158,2030.32,3385.98,5945.2,4185.118,5567.537,4340.818,8486.91,977.896,5948.344,2002.86,5286.88,5775.75,6699.95,4144.68,4200.71,3897.83,1958.13,5372.51,10059.18,10440.84,6891.34,1603.8,10781.44,2585.2,3652.12,1128.04,5983.32,3436.827,1540.581,4414.519,3475.0,870.0,3019.0
