,image name,sum of mito area,number of HPG,sum of HPG area,avg HPG area,number of TFAM,sum of TFAM area,avg of TFAM area,number of TFAM in HPG,percent of TFAM in HPG,avg percent of simulated TFAM in HPG,std percent of simulated TFAM in HPG
0,15minHPG-647_TFAM-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,483.4800584978443,302,10.740997618821513,0.03556621728086594,1285,59.720170998593744,0.046474841244041824,22,1.7120622568093387,6.937086092715232,1.4463143607337863
1,15minHPG-647_TFAM-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,516.7987028742743,628,36.12722465156848,0.05752742778912179,1484,75.47849266169776,0.05086151796610361,123,8.288409703504044,7.707006369426751,1.1366069254546063
2,15minHPG-647_TFAM-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,823.1282924087266,651,35.170476081485575,0.05402530888093022,2568,119.21236675197241,0.04642226119625094,113,4.400311526479751,8.11520737327189,1.1283863589280296
3,15minHPG-647_TFAM-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,525.2667997559994,348,18.084790354028264,0.051967788373644436,1734,84.4268324779811,0.04868906140598679,59,3.4025374855824686,7.264367816091954,1.28514846083655
4,15minHPG-647_TFAM-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,489.841564452741,344,15.703507942942991,0.04564973239227614,1596,83.35796493484159,0.05222930133762004,42,2.631578947368421,7.909883720930233,1.4504284210260263
5,15minHPG-647_TFAM-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,782.212964725818,822,47.074396604177366,0.05726812238951018,2351,114.35699233543833,0.04864185126985893,148,6.295193534666099,8.524330900243308,0.984120212892599
6,15minHPG-647_TFAM-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,421.95041185046006,612,60.50375804362261,0.0988623497444814,1296,72.02273675882013,0.05557309935094146,230,17.746913580246915,20.01143790849673,1.533599233640825
7,15minHPG-647_TFAM-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,402.8590422718275,343,19.491883465888485,0.056827648588596166,1269,62.84953611323996,0.049526821208226914,69,5.4373522458628845,8.201166180758017,1.4334672010710774
