,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3,Peak_53 Channel 1,Peak_53 Channel 2,Peak_53 Channel 3
0,0.0,174.4,434.6,5811.8,205.2,93.15,2023.1,151.055,1910.577,2092.904,261.82,2131.9,5951.72,257.0,195.0,1798.0,74.462,107.824,2747.407,84.23,191.57,5801.4,158.16,124.88,5188.22,186.289,232.57,5792.644,299.66,140.51,6265.26,657.4,198.0,5297.0,251.7,152.25,8480.5,237.2,128.7,3284.71,157.79,151.28,3040.96,175.92,72.4,2469.52,182.33,232.06,12657.22,50.034,192.753,3675.408,290.6,113.3,2413.7,57.85,139.65,3246.45,389.54,142.48,4684.84,495.35,241.55,3582.41,141.25,248.2,3737.85,854.582,53.635,3848.346,186.03,191.22,9799.85,912.953,321.145,3906.717,633.34,1780.0,5673.18,235.9,573.2,7929.4,416.0,116.0,8527.0,45.57,20.65,1988.88,277.44,249.4,2193.0,311.439,159.375,7647.221,380.4,46.7,5506.65,202.334,233.245,6111.641,148.82,151.69,8184.97,193.89,156.83,4484.1,82.26,114.08,6646.8,266.84,170.24,5290.58,429.68,184.08,3210.64,574.621,1961.097,4293.656,387.36,169.32,2616.6,157.833,120.042,3983.097,185.46,127.74,6364.96,116.317,83.627,3902.219,395.52,105.021,2466.805,206.62,178.889,9535.054,355.219,192.639,6273.733,329.6,255.2,8457.84,154.127,111.308,4766.255,564.0,151.0,6285.0,148.71,678.291,2773.863,500.979,252.822,3982.804,61.92,183.78,4276.38,247.2,160.44,3130.4
1,0.035,221.047,470.203,5951.674,254.75,84.9,1562.0,142.094,1409.932,2359.258,243.869,2191.698,4424.736,260.0,164.0,1733.0,79.479,124.213,3985.562,75.92,203.36,5244.31,152.921,106.837,4040.87,196.319,201.662,4656.407,223.84,112.43,5745.6,638.6,264.2,4997.6,235.8,168.65,8745.75,233.58,147.78,3437.35,146.222,142.363,2401.639,189.454,119.654,2017.982,167.385,191.008,10162.639,50.191,163.604,3952.438,263.8,123.95,2110.8,55.5,174.1,3988.55,359.535,169.844,5889.211,428.49,284.19,3380.82,194.95,133.988,3932.199,760.168,70.649,4212.725,157.706,186.236,10016.679,904.782,268.012,5280.874,613.218,1709.806,4230.082,220.53,579.106,8233.218,508.0,128.0,6854.0,36.91,32.8,2297.25,276.88,268.32,3056.76,364.3,189.56,6320.5,394.2,63.55,5098.3,230.77,229.363,5229.38,154.35,166.47,8428.23,163.438,102.825,4217.089,145.72,88.52,7268.32,252.06,77.96,5080.14,584.554,204.648,3710.162,570.54,2212.1,4840.9,382.904,148.357,3356.991,168.403,102.934,4986.848,231.64,160.3,6124.32,154.267,123.711,4979.287,357.127,103.062,1970.542,217.934,184.267,7700.406,387.379,155.529,5083.136,325.24,290.96,9862.72,163.65,128.927,5516.533,665.0,115.0,6666.0,118.18,422.82,2547.82,512.71,251.18,4079.33,66.0,173.38,5454.04,226.924,105.126,4065.78
2,0.07,288.236,520.355,6026.816,292.75,135.0,1479.75,109.36,877.56,2407.92,236.529,2233.826,3227.763,249.0,109.0,1783.0,95.429,117.979,5770.664,70.651,187.42,5387.719,175.94,105.3,3397.82,206.058,184.063,3631.222,170.59,116.37,4988.11,562.936,416.414,4610.311,248.516,191.71,9056.534,261.178,141.24,3854.124,142.687,178.053,2175.426,190.55,150.29,1809.32,173.984,123.902,7583.482,51.734,121.779,3822.179,230.256,136.876,3076.482,62.35,189.95,4617.95,333.146,157.391,6540.704,325.33,304.54,3444.32,241.874,85.547,4487.959,632.473,122.321,4562.172,136.84,171.04,9894.0,936.531,257.529,5929.332,587.546,1659.718,2845.802,210.468,566.363,7761.893,575.0,124.0,5042.0,47.29,92.8,2849.16,264.869,262.838,3922.149,428.845,218.096,4708.066,388.35,72.95,4380.0,273.16,219.16,4234.36,154.18,155.25,8254.4,144.929,94.198,3659.874,232.26,76.24,8243.36,244.38,72.9,5365.2,787.506,166.41,5012.214,477.509,2217.753,5213.951,425.953,153.957,3285.954,159.632,61.193,6941.565,274.42,237.74,5375.68,166.26,163.2,5737.08,329.155,82.798,1692.633,213.623,152.42,6488.406,403.53,148.196,3605.662,327.76,273.24,10105.04,170.89,168.359,6113.011,753.0,115.0,6624.0,116.64,248.54,2905.7,556.114,196.376,4870.551,59.4,166.38,6233.06,194.34,53.36,4581.67
3,0.10500000000000001,350.28,470.8,5546.12,306.55,197.5,1569.5,73.7,660.36,2894.6,227.0,1987.4,2677.3,227.0,100.0,2154.0,113.966,94.339,8132.767,76.92,158.96,5768.6,178.722,111.977,3870.459,214.028,279.026,2814.465,144.16,117.91,4068.06,477.178,694.335,4253.016,308.5,201.84,9568.46,293.32,134.6,4005.96,167.5,190.55,2385.6,174.92,191.49,1550.62,191.68,82.63,5094.32,54.539,89.698,3231.581,198.34,141.52,4852.32,59.85,178.9,4903.05,328.668,156.763,6331.636,226.49,279.27,4003.84,276.76,119.871,5040.061,482.269,188.695,5172.496,162.32,136.68,9402.88,933.34,239.18,5145.18,503.635,1359.613,2778.807,180.786,649.068,7492.757,601.0,121.0,4660.0,82.63,148.25,3609.11,254.204,258.786,4607.157,453.42,319.524,3905.058,360.65,63.8,3994.0,312.64,194.96,3425.16,141.104,124.715,7707.413,122.0,107.0,3493.0,330.04,108.34,9522.3,230.12,73.38,5933.38,979.64,113.24,6289.04,419.156,2041.064,5228.319,481.48,158.44,3511.2,133.288,62.665,8009.111,293.6,314.2,5047.06,179.822,205.998,6033.416,301.24,63.68,1770.6,204.2,159.528,5843.799,414.423,221.891,2709.605,324.6,200.2,9233.76,176.572,194.249,6366.019,927.555,146.441,5263.932,131.16,156.66,3743.62,480.089,212.683,6664.729,57.98,160.7,6338.96,155.44,60.97,4759.81
4,0.14,428.889,386.937,5088.775,292.55,207.55,1759.55,67.56,558.24,3454.54,223.3,1662.1,3029.8,197.0,141.0,2954.0,147.64,76.68,9287.96,77.489,171.123,5518.988,232.804,136.145,4510.542,218.897,392.267,2520.01,142.622,161.635,3055.266,405.672,918.597,4060.597,334.906,146.361,8478.586,295.24,107.8,4195.36,198.35,175.7,4450.35,138.65,172.81,1203.33,192.45,120.44,3663.42,62.589,70.423,2404.289,164.856,167.273,8268.917,52.25,155.7,4766.4,337.26,189.69,5961.48,190.447,200.207,4903.992,291.356,144.461,5026.43,351.173,251.772,6680.291,215.6,134.52,9044.76,790.6,211.04,5062.08,404.22,810.88,2552.84,143.32,673.84,7605.88,581.0,162.0,5236.0,134.28,166.23,4558.32,256.149,250.413,4998.28,441.734,488.978,3411.791,345.974,88.237,3448.336,341.76,161.4,2743.76,125.385,101.99,7177.8,131.05,111.707,3602.536,427.06,119.78,10248.7,204.86,100.04,6382.5,1173.663,94.398,7493.441,355.371,1635.079,5031.984,537.993,157.799,3599.211,139.536,75.775,8199.228,289.74,379.58,5609.78,189.448,235.928,6086.752,254.499,82.047,2244.275,194.706,262.367,5385.418,435.08,277.72,2220.6,320.48,131.44,7716.52,180.425,192.797,6531.053,1010.5,154.7,4472.46,144.3,148.7,5075.24,418.2,208.2,7538.2,59.66,166.92,5880.14,127.61,134.06,4694.55
5,0.17500000000000002,483.44,256.94,4788.3,265.55,172.15,1898.55,97.64,510.7,3757.3,223.9,1330.2,3487.1,174.0,177.0,4102.0,168.851,99.105,7707.158,65.211,195.232,4825.058,283.373,140.384,4935.945,232.414,457.461,2422.058,149.8,196.8,2568.2,340.64,1064.32,4042.48,394.305,195.326,8615.105,271.32,118.52,3804.48,198.269,148.993,7249.275,95.15,102.57,838.18,176.26,148.36,2821.13,67.16,115.02,1854.68,128.262,172.755,10318.448,53.55,148.2,4274.5,329.06,203.13,5362.75,162.96,136.4,5247.28,297.098,138.964,4507.698,257.335,300.933,8914.943,259.08,155.84,9066.64,625.22,188.16,5168.24,294.742,535.915,2570.675,108.696,619.892,6940.021,522.0,174.0,5569.0,188.2,132.94,5515.17,269.246,216.008,5083.165,387.3,634.62,4228.26,318.0,151.36,3259.12,381.976,159.797,2230.602,115.826,116.772,6775.175,153.56,106.76,3391.88,448.181,170.541,10450.406,175.2,140.74,6645.96,1322.77,147.16,8352.4,340.4,1255.6,4958.95,575.57,179.17,3653.93,178.2,87.85,7513.2,304.333,404.446,7115.679,188.034,239.048,5854.846,223.479,58.956,2866.474,194.711,350.764,4696.919,471.52,298.96,1698.96,326.56,250.72,6620.76,200.239,207.325,6385.591,1079.759,199.509,3892.043,147.74,165.02,6399.0,307.402,247.191,8966.666,54.72,188.82,5369.36,112.977,210.164,4627.513
6,0.21000000000000002,485.2,154.46,4415.88,245.21,168.956,1809.242,140.104,515.3,3721.375,255.565,937.234,3255.696,134.452,198.163,4426.408,175.498,132.457,6216.619,50.299,264.254,3643.078,318.289,125.953,4913.288,255.025,458.454,2469.972,178.8,236.8,3029.6,286.787,1031.944,3739.165,430.422,247.973,8286.774,224.52,140.72,3025.56,191.2,110.6,10678.56,100.72,123.85,1247.81,165.253,166.975,3133.61,85.2,187.5,2183.02,93.61,227.51,10258.33,66.9,169.65,3554.8,315.496,180.485,4556.311,168.52,147.08,5641.48,302.98,115.546,3692.314,185.75,367.1,11216.35,283.497,206.681,9362.564,489.74,205.9,5873.04,204.57,481.49,2543.17,86.131,550.532,5805.906,440.0,150.0,5788.0,224.56,85.63,6429.11,295.76,144.84,5005.34,296.893,639.513,7307.666,269.68,191.68,3380.36,435.58,179.07,2002.72,119.95,133.64,6603.3,190.121,136.468,3203.91,474.55,178.2,9706.0,143.37,180.059,6095.121,1371.76,240.47,8189.41,362.9,1047.55,4890.85,552.89,196.98,3930.57,204.55,117.8,5482.15,330.773,404.233,8952.322,183.1,192.94,5081.68,185.04,87.28,3644.84,207.1,353.88,3741.92,521.9,299.36,1640.5,332.6,383.68,5669.72,218.93,250.516,6077.043,1109.411,327.987,3499.973,144.4,246.44,8160.7,228.64,253.72,9822.28,42.1,214.5,5391.88,99.6,243.8,4702.8
7,0.24500000000000002,463.6,133.22,3880.08,242.577,242.419,1301.221,193.5,661.0,4039.5,268.4,622.2,3053.8,106.48,186.84,3583.12,171.43,198.62,5396.65,38.8,341.8,3133.15,325.201,105.413,4269.894,283.258,386.745,2552.139,236.8,244.8,4224.8,248.4,923.04,3158.88,445.65,287.226,8118.308,170.28,201.0,2141.36,163.452,93.106,12748.52,125.5,218.88,1778.17,200.66,213.476,3376.425,97.46,234.12,3137.1,65.37,314.1,9394.73,87.55,213.55,2769.4,282.63,157.55,3481.15,180.8,183.08,5274.0,316.652,106.355,2861.447,121.45,429.1,12411.65,290.79,295.163,9373.555,417.4,290.38,6016.74,149.2,630.74,2407.17,76.436,459.637,4640.361,331.484,202.406,6478.76,233.7,137.41,7367.01,344.701,218.457,4538.949,232.639,576.027,10176.485,234.44,210.16,3479.8,475.13,219.62,2072.82,125.74,235.75,6943.35,226.24,182.044,3286.907,469.7,182.95,8143.35,119.76,235.2,5298.53,1378.12,317.5,7890.08,374.85,1138.8,4810.55,537.59,181.962,3980.535,216.554,238.971,3711.136,357.531,422.392,10256.876,172.22,174.36,4081.1,170.677,154.275,4535.46,214.7,252.98,2924.66,575.74,273.96,1973.04,326.56,501.56,5052.56,234.4,187.72,5093.0,1066.515,504.306,3237.84,134.66,338.62,9883.16,196.04,252.16,10531.24,31.06,225.64,5550.98,94.4,316.8,4834.4
8,0.28,426.06,119.6,3357.0,224.484,326.65,1335.228,238.0,1071.0,5183.0,256.4,479.8,3084.0,91.74,172.06,2642.82,168.05,327.59,4775.41,41.776,484.534,3090.488,309.177,161.4,3208.056,304.835,335.108,2449.167,326.203,285.719,5009.534,211.283,695.369,2687.274,449.875,342.594,7989.445,137.087,285.961,1372.227,123.3,94.66,13125.42,175.62,314.73,2418.1,207.15,251.6,4013.05,113.001,239.018,3710.229,56.006,347.897,9259.884,126.5,299.45,2147.15,236.1,130.94,2382.71,197.4,194.08,4627.12,322.987,176.092,2526.321,71.15,495.5,11780.1,282.6,474.88,9347.6,411.34,449.12,5121.04,121.778,1016.005,2545.271,74.18,380.02,3851.24,239.478,298.361,6951.338,233.348,195.621,8043.621,403.74,374.97,4299.9,177.18,430.94,12644.1,232.52,220.6,3509.6,518.755,313.186,2616.005,147.177,344.691,8554.408,260.353,249.303,3275.695,405.285,168.773,7311.241,110.39,393.2,4870.15,1339.538,360.829,8338.486,350.125,1329.144,5235.117,518.6,168.6,3739.2,207.326,516.825,2780.814,370.23,554.2,11152.5,148.48,208.3,3560.22,177.276,213.184,5309.58,234.5,249.86,2336.42,622.94,268.44,2501.86,307.68,579.16,4698.2,234.235,284.806,5337.615,1054.42,565.71,3334.85,123.139,406.352,10663.055,188.12,282.04,11365.24,26.02,212.48,6034.14,123.4,377.8,4482.2
9,0.31500000000000006,382.48,145.86,3517.74,221.04,488.04,1278.04,263.0,1597.0,6388.5,238.6,488.0,3117.0,78.76,241.6,2042.24,163.81,621.27,3929.04,40.9,757.64,3676.64,294.899,341.843,2365.923,327.44,337.4,2174.84,401.29,439.47,5292.7,196.041,526.35,2794.739,489.95,623.95,7141.1,129.682,461.029,899.98,95.46,194.839,11518.05,229.47,407.32,3091.91,213.223,295.204,4583.596,109.6,380.13,4128.95,55.32,512.84,9404.92,175.1,480.05,1898.2,225.02,94.1,1658.97,215.8,224.56,4488.0,316.67,315.343,2818.197,34.488,662.394,9448.196,254.68,694.8,9292.24,453.46,683.42,4455.0,127.5,1631.52,2794.22,69.379,437.839,2872.835,197.17,422.78,7357.04,289.471,249.846,7362.347,446.21,754.75,4541.34,122.3,272.54,13496.64,288.72,282.12,3558.24,559.8,505.2,3825.0,172.18,477.52,10759.94,278.622,552.905,3116.856,349.835,282.121,6937.997,121.14,679.05,4428.47,1249.8,364.2,9025.0,298.44,1359.48,5486.08,411.167,255.133,3924.589,211.88,783.2,2634.44,407.485,821.634,9641.266,113.7,316.8,3237.38,203.95,282.95,5923.1,259.965,498.599,2104.208,659.56,387.36,3154.94,278.28,601.28,4239.44,251.84,409.28,6180.2,902.251,888.482,2972.762,91.782,391.906,9483.219,205.04,288.24,11784.56,24.34,278.26,6825.34,181.6,558.0,3644.0
