,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,1007.876467514766,403.5727174679259,1016.0676674238981,1328.0340657036284,6298.83074784189,4060.5154303804634
1,0.035,1007.3398014538845,404.54018635407544,993.0004484325306,1327.0901414709933,6291.398045433894,4022.6164792565874
2,0.07,1008.1596637891867,405.44509328844293,963.1703993639253,1305.162240779011,6278.698799636529,4014.726938471948
3,0.105,1010.9399236710585,406.16607898273537,925.8476660608815,1262.150299112341,6297.148636528851,4042.377846961324
4,0.14,1013.7369391185824,406.84252173918475,876.1925170377101,1186.4450407242869,6337.002494320764,4096.181041265516
5,0.175,1016.9935283961836,408.19492183756597,823.3889391185825,1086.0809980171991,6389.52701272149,4156.302283590382
6,0.21,1021.33945297592,409.42532658254027,777.3696542480691,967.9394604813962,6433.366250340754,4162.360884013469
7,0.245,1028.729323943662,411.29203697249324,771.3569295774647,879.3864511308542,6450.755748296228,4067.901952574626
8,0.28,1037.5384275329395,412.82518721716417,841.2337210358927,834.3819410929202,6459.9273162199,4008.7405565978092
9,0.315,1047.0531303952748,412.57235477756535,1046.645670604271,872.2457104352196,6483.684715129487,4014.199392198248
10,0.35,1057.3957219445706,412.02656970596286,1446.0300477055885,1033.5023017179872,6502.217650159018,4040.942648476405
11,0.385,1067.2236719672876,411.1750279533076,2035.0216024534304,1316.4530747253255,6516.042884143571,4078.3073816905703
12,0.42,1074.644422535211,410.18691966482186,2698.642353475693,1645.9970379121746,6527.724139482054,4142.291509824301
13,0.455,1079.2327878237165,410.3542897356547,3266.4307074057247,1909.205379740615,6535.737152203544,4244.315799756856
14,0.49,1081.411920945025,411.2580491378929,3560.824620626988,2029.9450699305662,6521.9519204906865,4311.140280492931
15,0.525,1076.4662798727852,409.8822208181126,3278.9830081781006,1898.738090629107,6485.24664561563,4323.865731267267
16,0.56,1068.5324984098136,407.54084096472315,2711.49605997274,1616.5242782357216,6453.341450704225,4381.73682155569
17,0.5950000000000001,1058.9103993639255,404.96005393653223,2043.17954702408,1299.0550149144176,6424.478002726033,4432.67744247554
18,0.6300000000000001,1049.4525992730578,401.79096192648177,1443.6795224897774,1031.8669263390534,6383.86546160836,4456.475197689505
19,0.665,1039.293942753294,399.18593376066605,1044.0580545206724,896.9053005588163,6314.618189913675,4285.969087572436
20,0.7000000000000001,1031.0970377101319,398.65180698186293,850.7908073602907,887.3387568308402,6256.954797364834,4205.53665266315
21,0.7350000000000001,1023.8574893230349,399.3626225773616,794.9624011812813,954.578691031743,6177.503108132667,4051.955952000389
22,0.77,1019.0639504770559,401.4170503752933,811.6531444797819,1071.404752314255,6148.335455247615,3993.487640649906
23,0.805,1016.1074148114493,406.05976895205634,861.6987373920945,1213.3326723482885,6152.3187446615175,4024.0849585730084
24,0.8400000000000001,1013.4641235801907,409.2439112167408,912.692129940936,1315.0605226923892,6171.290889141299,4058.685789817025
25,0.8750000000000001,1011.8576138119037,410.00640539716613,954.6527119491141,1382.2367581029766,6205.2943421172195,4057.5746764690657
26,0.91,1010.9402576101772,410.08796286749197,985.2655810995003,1403.7161963011788,6245.243035438437,4057.5216720726567
27,0.945,1009.9712812358019,409.4755108302099,1006.0000895047705,1375.94980213366,6295.818058609724,4044.4259946996676
28,0.98,1009.3574806905951,408.077964584261,1020.8375433893685,1347.9969229841006,6339.042148568833,4049.4235177991814
