,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,5708.796823275862,2671.022435454081,9694.161480603449,9940.387969275835,2740.207640086207,4474.858140530664
1,0.035,5744.869229885057,2670.030319120791,9705.494352011494,9773.323316657823,2756.128842672414,4543.377122911274
2,0.07,5785.14500862069,2685.068995814819,9728.077136494254,9625.035888680815,2701.900557471264,4462.049860030108
3,0.105,5820.004295977011,2710.526058649635,9816.29760775862,9655.601024035283,2579.13049137931,4223.059290147322
4,0.14,5837.127355603449,2722.716102629632,9969.055684626435,9789.28410966353,2411.6186875,3826.676176225416
5,0.175,5817.076933908046,2729.8060798034467,10257.289904454023,10071.609967509537,2271.761168103448,3463.122242957647
6,0.21,5759.973952586207,2730.7062082247053,10685.815340517242,10426.005500427542,2204.143926724138,3081.275279185639
7,0.245,5653.026334051724,2707.7925195046487,11207.193560344827,10718.810745903273,2297.602459051724,2726.122501211435
8,0.28,5507.271130747127,2661.075700648839,11776.131030890805,10975.879137122929,2677.610846264368,2577.8889406016588
9,0.315,5338.409350574712,2593.4100813543173,12478.183900862068,11446.137364147473,3524.494670977011,2799.9183156181043
10,0.35,5148.377767959771,2510.9157903989553,13283.015426005746,12051.610564472156,4997.8498218390805,3423.7730427335564
11,0.385,4974.662016522989,2426.5517547489867,14068.88828520115,12703.971522169128,7043.178529454023,4343.960627974628
12,0.42,4839.899524425287,2374.819021935731,14650.911132183908,13206.692486465154,9261.49504525862,5324.34019043134
13,0.455,4757.489148706897,2350.0833509024324,15008.673641522988,13491.90381796605,11187.390838362067,6188.107530826239
14,0.49,4740.543622844828,2351.019023514619,15112.010939655172,13564.91460075964,12168.710612068964,6633.326688787233
15,0.525,4798.240703304598,2383.270816180028,14787.45332255747,13567.828664132201,11220.401665948279,6242.021633699719
16,0.56,4915.973826149425,2435.62384720303,14319.07739224138,13455.943676609297,9281.913177442528,5351.014251942455
17,0.5950000000000001,5074.319342672414,2502.323174747881,13746.768316091953,13272.28305319813,7012.672561781609,4266.181899410969
18,0.6300000000000001,5251.424820402299,2576.9710341708956,13086.528075431035,12888.135974707899,4936.617705459771,3323.933823709914
19,0.665,5419.96915158046,2638.00582823663,12338.096570402298,12284.379519617372,3429.827086206896,2704.6976708672105
20,0.7000000000000001,5564.571157327587,2689.956743637644,11671.837237787357,11765.22649395643,2551.0094719827584,2426.030593841801
21,0.7350000000000001,5674.059849137931,2730.0483890639844,11130.713184626436,11328.504387554898,2146.9138498563216,2429.2588129217374
22,0.77,5739.9859920977015,2754.298696269868,10707.076362787355,10870.302626243825,2043.28683908046,2658.029170640524
23,0.805,5780.87178520115,2767.1699171997793,10339.17763577586,10447.854874542527,2115.0918563218393,3038.1121483002066
24,0.8400000000000001,5795.072581896552,2763.5518157573892,10126.429538793105,10345.426705624392,2267.8082406609196,3488.752076680322
25,0.8750000000000001,5784.7008268678155,2753.3396409685843,9970.473326149424,10295.649269505187,2466.6901551724136,3969.731378278723
26,0.91,5765.650800287357,2749.639183179495,9892.968199712643,10319.908145088702,2647.1535208333335,4376.687686905218
27,0.945,5727.697713362069,2735.861083881014,9835.106719109195,10285.904972584032,2764.3204906609194,4600.420613470157
28,0.98,5685.583457614942,2719.8927237620087,9813.60361637931,10362.145483716153,2830.106637212644,4680.386396648028
