,Channel_1,Channel_2,Channel_3
0,267.4859855000004,455.67848099999907,5640.191832499996
1,265.00109899999995,464.96010699999914,5607.552653500003
2,263.4925619999998,465.82426449999974,5630.665747999995
3,262.50857499999984,466.72032000000024,5680.612414500006
4,261.29654999999957,458.6775505000008,5731.1630989999985
5,262.5330065,454.549819,5778.619577000002
6,262.3708129999997,453.45456249999944,5846.064180000002
7,262.5844865,450.6840605000008,5897.674557999991
8,263.0332870000003,440.10559949999964,6006.3043540000135
9,262.5367699999997,441.2844094999994,6035.784362500007
10,262.26305049999996,447.2522194999999,6019.780453500018
11,262.995397,453.84659450000004,5994.521723000006
12,264.833703,460.8036450000002,5989.916720499998
13,265.7049265,463.37120500000026,5985.3739970000015
14,267.05295099999967,473.34409350000016,5957.985752499983
15,265.8138185000003,477.0456390000001,5906.499207500005
16,265.0181790000002,479.01846699999993,5897.886247500014
17,264.96993050000003,473.9239099999993,5882.443662999993
18,263.91808299999997,475.26378499999987,5888.388783999992
19,263.5776185,467.97760200000073,5880.477033999991
20,263.9664959999998,464.61328949999955,5905.825590999989
21,263.70317200000005,460.3001940000003,5977.666694000004
22,263.89378899999997,452.32795349999924,5991.205567999993
23,263.9999454999999,441.61049700000046,5988.628910500004
24,262.49220250000025,438.9615620000002,5982.914634999992
25,260.2288689999994,438.45615450000065,5961.542897500003
26,259.1441995000001,434.1426319999996,5948.314812500006
27,258.7237824999998,434.7465055000003,5868.754656499999
28,260.3735494999998,434.8092944999994,5830.645148999996
