,Channel_1,Channel_2,Channel_3
0,7759.302514500007,1148.654466999997,2188.712796999997
1,7752.016725,1146.6685450000004,2184.8711654999993
2,7717.507605500005,1142.0231189999997,2180.310996
3,7698.1064054999815,1140.814444499999,2185.3810490000014
4,7692.049335000001,1136.9731220000017,2184.681348000001
5,7708.754294500008,1137.7023834999995,2175.761844000002
6,7746.226682500018,1139.7817080000007,2183.2710734999937
7,7730.891923999998,1138.3950245000003,2183.323935000002
8,7713.0904025,1141.9090670000003,2188.749591499999
9,7695.370686999995,1143.4597819999992,2188.125006999999
10,7708.963469,1144.909770500003,2195.607857500002
11,7740.597856999999,1145.8647094999988,2201.1060639999987
12,7712.13324449999,1142.6507085000014,2203.1201019999976
13,7739.623554500002,1141.8978029999985,2200.6412155000025
14,7738.934843,1138.297313499999,2203.540194000002
15,7770.305117500005,1136.3714960000004,2203.120857500003
16,7777.488200000012,1133.8573555000012,2200.9543730000028
17,7763.781444000003,1134.8096190000024,2193.3522665000023
18,7718.14102899998,1130.656712499999,2188.283506499999
19,7712.649655500013,1131.3960760000014,2185.750016000001
20,7689.944313000002,1125.7429205,2181.823364500003
21,7644.230953500006,1121.2003634999996,2182.7035954999983
22,7617.65987349999,1118.0213845,2179.272209500004
23,7626.088615500007,1117.263209000001,2182.5997019999986
24,7613.894803500001,1116.1522665,2188.1601074999985
25,7630.063640999981,1119.1315840000013,2199.959690499997
26,7654.700324500014,1119.390486,2222.3086759999997
27,7678.735049500005,1117.29908,2232.7807675000054
28,7665.105203999999,1114.5665390000008,2242.264985999998
