,Channel_1,Channel_2,Channel_3
0,4754.383052500002,7334.065418000009,1990.9437330000005
1,4757.183932500003,7308.771220499999,2010.0662524999968
2,4755.701414000006,7268.538952999994,2029.1660460000007
3,4761.896967,7263.055224500003,2029.6640714999992
4,4750.059157000013,7235.756400999987,2030.090328499997
5,4730.163772500007,7146.186185000015,2024.1364030000013
6,4735.440536000007,7175.068087500003,2035.9162025
7,4727.528983000005,7183.734121999996,2036.8499464999995
8,4733.115708500001,7200.424499499996,2019.1959464999989
9,4742.366085500012,7373.475817999991,2026.4945375000007
10,4736.9911465000005,7450.719190999996,2009.173478499999
11,4744.150087,7514.6839785000075,2006.326396999999
12,4734.820990000003,7552.727579000021,1986.3505109999983
13,4741.286667999995,7593.509255499999,1972.368101500001
14,4751.410815499996,7539.628769500002,1964.3626780000025
15,4771.075528500002,7479.614043499999,1953.3428615000018
16,4794.807444999997,7423.8266590000085,1945.6949860000027
17,4803.366452000012,7391.132232999986,1966.8923754999967
18,4804.606230000001,7358.38899950001,1980.904500500001
19,4788.112557499993,7419.2866465,2003.0646669999999
20,4807.944555999987,7450.5354279999965,2014.4267514999995
21,4811.466778999996,7429.462028500006,2067.227266500003
22,4807.509180499997,7414.824381499975,2095.2468684999994
23,4811.8634500000035,7387.631813500003,2111.6215070000007
24,4791.470237500003,7338.832520499995,2106.9684784999977
25,4770.6783234999975,7251.091925499996,2071.562971000005
26,4767.098528499998,7228.968549499997,2048.542276000002
27,4769.4108695,7220.689194999988,2030.359342999997
28,4786.476099500003,7108.384430999992,2013.3856679999997
