ROI_0 distance (micron),ROI_0 Channel_1,ROI_0 Channel_2,ROI_0 Channel_3,ROI_1 distance (micron),ROI_1 Channel_1,ROI_1 Channel_2,ROI_1 Channel_3,ROI_2 distance (micron),ROI_2 Channel_1,ROI_2 Channel_2,ROI_2 Channel_3,ROI_3 distance (micron),ROI_3 Channel_1,ROI_3 Channel_2,ROI_3 Channel_3,ROI_4 distance (micron),ROI_4 Channel_1,ROI_4 Channel_2,ROI_4 Channel_3,ROI_5 distance (micron),ROI_5 Channel_1,ROI_5 Channel_2,ROI_5 Channel_3,ROI_6 distance (micron),ROI_6 Channel_1,ROI_6 Channel_2,ROI_6 Channel_3,ROI_7 distance (micron),ROI_7 Channel_1,ROI_7 Channel_2,ROI_7 Channel_3,ROI_8 distance (micron),ROI_8 Channel_1,ROI_8 Channel_2,ROI_8 Channel_3,ROI_9 distance (micron),ROI_9 Channel_1,ROI_9 Channel_2,ROI_9 Channel_3,ROI_10 distance (micron),ROI_10 Channel_1,ROI_10 Channel_2,ROI_10 Channel_3,ROI_11 distance (micron),ROI_11 Channel_1,ROI_11 Channel_2,ROI_11 Channel_3,ROI_12 distance (micron),ROI_12 Channel_1,ROI_12 Channel_2,ROI_12 Channel_3,ROI_13 distance (micron),ROI_13 Channel_1,ROI_13 Channel_2,ROI_13 Channel_3,ROI_14 distance (micron),ROI_14 Channel_1,ROI_14 Channel_2,ROI_14 Channel_3,ROI_15 distance (micron),ROI_15 Channel_1,ROI_15 Channel_2,ROI_15 Channel_3,ROI_16 distance (micron),ROI_16 Channel_1,ROI_16 Channel_2,ROI_16 Channel_3,ROI_17 distance (micron),ROI_17 Channel_1,ROI_17 Channel_2,ROI_17 Channel_3,ROI_18 distance (micron),ROI_18 Channel_1,ROI_18 Channel_2,ROI_18 Channel_3,ROI_19 distance (micron),ROI_19 Channel_1,ROI_19 Channel_2,ROI_19 Channel_3,ROI_20 distance (micron),ROI_20 Channel_1,ROI_20 Channel_2,ROI_20 Channel_3,ROI_21 distance (micron),ROI_21 Channel_1,ROI_21 Channel_2,ROI_21 Channel_3,ROI_22 distance (micron),ROI_22 Channel_1,ROI_22 Channel_2,ROI_22 Channel_3,ROI_23 distance (micron),ROI_23 Channel_1,ROI_23 Channel_2,ROI_23 Channel_3,ROI_24 distance (micron),ROI_24 Channel_1,ROI_24 Channel_2,ROI_24 Channel_3,ROI_25 distance (micron),ROI_25 Channel_1,ROI_25 Channel_2,ROI_25 Channel_3,ROI_26 distance (micron),ROI_26 Channel_1,ROI_26 Channel_2,ROI_26 Channel_3,ROI_27 distance (micron),ROI_27 Channel_1,ROI_27 Channel_2,ROI_27 Channel_3,ROI_28 distance (micron),ROI_28 Channel_1,ROI_28 Channel_2,ROI_28 Channel_3,ROI_29 distance (micron),ROI_29 Channel_1,ROI_29 Channel_2,ROI_29 Channel_3,ROI_30 distance (micron),ROI_30 Channel_1,ROI_30 Channel_2,ROI_30 Channel_3,ROI_31 distance (micron),ROI_31 Channel_1,ROI_31 Channel_2,ROI_31 Channel_3,ROI_32 distance (micron),ROI_32 Channel_1,ROI_32 Channel_2,ROI_32 Channel_3,ROI_33 distance (micron),ROI_33 Channel_1,ROI_33 Channel_2,ROI_33 Channel_3,ROI_34 distance (micron),ROI_34 Channel_1,ROI_34 Channel_2,ROI_34 Channel_3,ROI_35 distance (micron),ROI_35 Channel_1,ROI_35 Channel_2,ROI_35 Channel_3,ROI_36 distance (micron),ROI_36 Channel_1,ROI_36 Channel_2,ROI_36 Channel_3,ROI_37 distance (micron),ROI_37 Channel_1,ROI_37 Channel_2,ROI_37 Channel_3,ROI_38 distance (micron),ROI_38 Channel_1,ROI_38 Channel_2,ROI_38 Channel_3,ROI_39 distance (micron),ROI_39 Channel_1,ROI_39 Channel_2,ROI_39 Channel_3,ROI_40 distance (micron),ROI_40 Channel_1,ROI_40 Channel_2,ROI_40 Channel_3,ROI_41 distance (micron),ROI_41 Channel_1,ROI_41 Channel_2,ROI_41 Channel_3,ROI_42 distance (micron),ROI_42 Channel_1,ROI_42 Channel_2,ROI_42 Channel_3,ROI_43 distance (micron),ROI_43 Channel_1,ROI_43 Channel_2,ROI_43 Channel_3,ROI_44 distance (micron),ROI_44 Channel_1,ROI_44 Channel_2,ROI_44 Channel_3,ROI_45 distance (micron),ROI_45 Channel_1,ROI_45 Channel_2,ROI_45 Channel_3,ROI_46 distance (micron),ROI_46 Channel_1,ROI_46 Channel_2,ROI_46 Channel_3,ROI_47 distance (micron),ROI_47 Channel_1,ROI_47 Channel_2,ROI_47 Channel_3,ROI_48 distance (micron),ROI_48 Channel_1,ROI_48 Channel_2,ROI_48 Channel_3,ROI_49 distance (micron),ROI_49 Channel_1,ROI_49 Channel_2,ROI_49 Channel_3,ROI_50 distance (micron),ROI_50 Channel_1,ROI_50 Channel_2,ROI_50 Channel_3,ROI_51 distance (micron),ROI_51 Channel_1,ROI_51 Channel_2,ROI_51 Channel_3,ROI_52 distance (micron),ROI_52 Channel_1,ROI_52 Channel_2,ROI_52 Channel_3,ROI_53 distance (micron),ROI_53 Channel_1,ROI_53 Channel_2,ROI_53 Channel_3,ROI_54 distance (micron),ROI_54 Channel_1,ROI_54 Channel_2,ROI_54 Channel_3,ROI_55 distance (micron),ROI_55 Channel_1,ROI_55 Channel_2,ROI_55 Channel_3,ROI_56 distance (micron),ROI_56 Channel_1,ROI_56 Channel_2,ROI_56 Channel_3,ROI_57 distance (micron),ROI_57 Channel_1,ROI_57 Channel_2,ROI_57 Channel_3,ROI_58 distance (micron),ROI_58 Channel_1,ROI_58 Channel_2,ROI_58 Channel_3
0.000,6651.690,22255.407,1384.794,0.000,4696.446,5035.327,420.052,0.000,4311.684,7190.388,714.666,0.000,843.613,933.028,72.782,0.000,5133.054,23333.437,5215.176,0.000,9391.409,5042.235,146.155,0.000,2869.456,6022.992,245.538,0.000,7335.413,12444.204,444.629,0.000,6003.655,28703.631,2296.273,0.000,7146.182,14549.407,434.656,0.000,4837.508,11391.151,424.701,0.000,1221.831,1098.638,138.187,0.000,9025.403,14040.599,332.564,0.000,17088.582,4793.625,5261.391,0.000,7184.197,13145.552,312.397,0.000,5336.701,23168.458,779.334,0.000,7396.700,19789.463,3490.572,0.000,6797.654,11195.396,2018.747,0.000,10220.241,10090.230,439.658,0.000,2270.000,5676.799,2027.516,0.000,8030.672,11632.610,241.670,0.000,8273.643,5376.201,246.553,0.000,3844.370,10094.016,1383.827,0.000,5444.397,13241.811,8631.173,0.000,2820.517,5121.043,4864.421,0.000,3434.252,8017.201,247.661,0.000,7939.129,19468.391,344.069,0.000,2213.412,1341.410,178.785,0.000,4978.110,3241.699,2746.935,0.000,18438.400,11487.000,691.200,0.000,12582.820,18551.051,9824.959,0.000,10070.556,19910.954,12254.525,0.000,3365.318,7599.499,378.583,0.000,2940.150,3740.723,27790.106,0.000,4696.786,3513.448,356.723,0.000,6137.783,11432.307,13658.560,0.000,4071.104,15846.444,351.839,0.000,8653.720,6603.785,5978.328,0.000,7680.931,19931.929,284.560,0.000,3687.301,6856.557,318.588,0.000,9157.005,20223.269,975.660,0.000,9046.941,32912.788,2817.492,0.000,6718.392,7790.456,1594.499,0.000,8020.768,19418.431,362.140,0.000,5967.090,31305.570,2159.989,0.000,2416.610,14480.662,951.850,0.000,4294.557,21938.184,322.233,0.000,7151.171,14645.252,1829.846,0.000,5264.088,13000.483,260.867,0.000,9618.584,27769.860,2749.015,0.000,7435.558,33084.073,3723.134,0.000,7754.000,20548.600,7983.400,0.000,3066.496,6244.855,1600.573,0.000,9448.517,16377.133,13214.863,0.000,13930.535,10469.500,379.777,0.000,3348.896,7646.424,207.916,0.000,523.655,281.865,277.909,0.000,3697.527,13937.661,3517.158,0.000,851.927,13594.862,126.258
0.035,7593.240,22169.244,949.076,0.035,5404.107,4042.074,308.141,0.035,5160.680,11577.255,1397.312,0.035,2041.931,2322.800,73.719,0.035,4794.627,23019.753,9538.011,0.035,9905.088,7172.538,191.726,0.035,3163.331,8040.508,264.662,0.035,7235.600,12475.397,467.441,0.035,5929.168,28383.318,3897.649,0.035,7042.512,13668.780,558.111,0.035,4744.254,7755.231,282.080,0.035,1485.867,1381.206,16.850,0.035,9745.086,15946.553,451.963,0.035,17054.447,5268.660,9626.587,0.035,6799.543,14417.089,309.915,0.035,4677.700,20994.602,780.381,0.035,7706.712,21381.770,6308.057,0.035,8465.066,22692.842,4061.796,0.035,9775.547,13745.022,494.936,0.035,2363.148,9002.235,3029.356,0.035,8876.838,13730.547,267.586,0.035,7552.616,3693.797,157.598,0.035,4611.359,18507.811,707.504,0.035,5250.779,11818.304,5251.875,0.035,3431.909,5273.280,5775.884,0.035,4013.769,8188.364,315.575,0.035,7766.973,15870.655,304.965,0.035,2356.786,2283.239,191.793,0.035,5397.739,6066.772,1484.646,0.035,18730.568,11962.743,1235.361,0.035,12643.170,24928.895,12498.443,0.035,8373.992,24913.605,11902.470,0.035,3031.413,5953.156,344.803,0.035,3348.485,5621.542,26722.449,0.035,5164.495,6485.845,386.632,0.035,6806.857,12235.314,11809.825,0.035,4369.622,19578.249,435.340,0.035,9010.169,6186.297,7431.179,0.035,7477.800,15672.492,280.873,0.035,4369.821,11060.483,448.276,0.035,9345.618,23383.365,647.843,0.035,8466.566,24887.983,3324.253,0.035,7458.958,9875.020,3701.655,0.035,7899.846,20508.835,366.988,0.035,6007.124,26604.352,1864.757,0.035,2819.683,15899.026,2855.540,0.035,3853.235,19787.497,341.470,0.035,6589.033,15356.975,3247.581,0.035,5391.537,15419.219,240.715,0.035,10531.371,34555.146,4364.748,0.035,7631.482,33884.295,6386.822,0.035,7082.851,13526.118,11008.368,0.035,3424.565,6610.326,2007.719,0.035,8687.788,15870.844,10318.941,0.035,15125.098,14586.157,656.882,0.035,3839.599,8692.663,224.227,0.035,580.312,266.564,311.362,0.035,4397.234,15775.738,4774.989,0.035,827.476,11164.019,119.593
0.071,8585.965,22510.119,778.113,0.071,6209.553,4381.326,380.067,0.071,5867.222,15969.865,3274.428,0.071,1920.044,2112.477,53.532,0.071,4264.898,18645.402,14221.248,0.071,9867.991,6913.189,212.659,0.071,3328.183,8618.741,274.878,0.071,7345.112,12910.814,538.312,0.071,5914.555,20589.753,7196.773,0.071,7169.398,13238.114,750.872,0.071,4930.365,7401.905,300.098,0.071,1099.830,908.263,21.171,0.071,9872.508,17278.907,585.281,0.071,16160.985,5320.883,12541.687,0.071,6176.458,14887.139,222.666,0.071,4129.082,20000.782,687.268,0.071,8082.645,22245.466,9898.803,0.071,10059.657,34197.222,6729.605,0.071,9322.686,18558.281,610.042,0.071,2625.315,10682.904,4727.195,0.071,9151.966,14769.649,306.324,0.071,6549.145,2774.651,116.459,0.071,5037.824,21457.424,419.242,0.071,5208.634,11525.910,3272.792,0.071,3980.873,6097.844,5456.041,0.071,4523.345,6841.803,286.492,0.071,7237.090,14024.025,310.833,0.071,2479.318,5397.689,185.634,0.071,5585.247,9773.526,752.168,0.071,18999.578,12167.266,1798.300,0.071,12685.378,31300.035,13500.842,0.071,6766.189,29743.144,13152.071,0.071,2559.931,5612.939,368.129,0.071,3534.492,7303.319,23639.498,0.071,5638.425,12709.446,341.292,0.071,7636.984,13325.434,8106.716,0.071,4469.048,19590.657,509.557,0.071,9454.624,9030.478,9468.210,0.071,7151.176,12594.864,306.846,0.071,4962.100,14660.222,817.974,0.071,9279.281,22852.607,513.497,0.071,7725.301,15457.747,5083.631,0.071,8052.542,14122.071,6470.980,0.071,7759.776,19830.187,355.558,0.071,6146.920,22741.634,1618.591,0.071,3239.361,15562.292,5585.996,0.071,3452.996,20028.416,361.546,0.071,5971.261,13218.571,4420.000,0.071,5630.988,16012.465,260.397,0.071,11009.101,37516.696,7948.837,0.071,7617.510,34380.968,8360.794,0.071,6583.905,10016.738,14802.055,0.071,3716.958,6871.431,3051.065,0.071,7850.795,12311.568,7276.908,0.071,16112.508,18958.655,982.299,0.071,4232.288,7590.816,258.486,0.071,237.540,126.168,94.850,0.071,4948.612,15893.906,5270.650,0.071,750.897,12199.345,100.855
0.106,9197.746,19379.682,538.881,0.106,6778.751,7049.664,472.482,0.106,6340.809,18205.313,5284.108,0.106,2583.481,2289.383,63.216,0.106,3760.033,11911.677,17224.391,0.106,9106.832,8087.998,219.147,0.106,3419.319,9443.706,327.902,0.106,7343.727,14856.615,651.459,0.106,6010.842,11349.434,10720.462,0.106,7394.041,13490.217,885.119,0.106,4884.153,6728.074,282.005,0.106,1986.704,1405.936,82.877,0.106,9824.134,21386.466,685.398,0.106,15797.372,5687.147,14047.169,0.106,5361.023,14660.951,193.756,0.106,3547.059,18648.844,566.967,0.106,8675.158,25499.363,14611.057,0.106,10948.135,39474.913,8952.901,0.106,8958.554,27792.610,901.481,0.106,2804.168,12421.260,5317.804,0.106,9115.578,14642.945,341.204,0.106,5876.590,4125.705,157.212,0.106,5520.050,22291.791,400.694,0.106,5299.379,11108.479,2250.504,0.106,4230.789,6231.937,5885.460,0.106,4945.803,5749.492,282.310,0.106,7005.755,11996.916,524.062,0.106,2386.955,6537.561,158.835,0.106,5538.888,13372.631,405.952,0.106,19097.468,12778.400,2282.759,0.106,13108.182,33778.845,11828.716,0.106,5675.600,31830.879,9695.832,0.106,2203.673,5386.027,474.940,0.106,3569.355,9652.499,20631.299,0.106,5891.879,18312.477,346.696,0.106,8626.612,14015.777,4679.404,0.106,4428.987,16316.901,447.456,0.106,9290.913,13743.825,9525.008,0.106,6883.067,11550.900,303.046,0.106,5430.832,16826.040,1313.214,0.106,9054.547,21186.279,368.359,0.106,6900.998,8064.888,4724.396,0.106,8590.642,18763.093,9203.117,0.106,7513.242,19954.095,318.095,0.106,6391.402,18218.772,1373.885,0.106,3711.871,15275.304,9708.924,0.106,3238.613,18241.136,347.086,0.106,5537.901,7695.163,2742.978,0.106,5571.855,15047.791,279.488,0.106,11162.053,37085.452,11658.868,0.106,7264.172,37571.389,12943.227,0.106,6379.801,12091.207,17483.390,0.106,3852.241,7062.236,4420.985,0.106,6600.987,9927.489,4250.209,0.106,16751.207,21982.100,1197.900,0.106,4509.295,6173.867,379.918,0.106,1307.802,1097.344,338.873,0.106,5290.038,14362.424,4731.128,0.106,885.635,12316.437,100.217
0.141,9894.664,17278.793,416.968,0.141,7413.696,11947.447,578.760,0.141,6772.608,17553.606,8158.340,0.141,3064.291,1847.341,66.928,0.141,3454.663,5942.243,17389.257,0.141,7945.995,8276.719,249.357,0.141,3546.744,12754.505,504.079,0.141,7585.633,15856.991,866.888,0.141,5901.576,11421.687,12437.334,0.141,7529.822,14318.102,1106.182,0.141,4932.574,6719.026,279.436,0.141,2038.678,1566.634,92.968,0.141,9557.169,25621.842,742.471,0.141,15092.385,7210.418,14155.903,0.141,5191.056,13917.705,192.713,0.141,3082.084,19708.910,512.876,0.141,8861.293,26058.570,16932.358,0.141,11274.526,38273.194,11723.604,0.141,9153.661,30831.250,1346.566,0.141,3259.679,12892.335,6769.454,0.141,8606.014,14353.096,398.451,0.141,5318.883,6427.463,176.923,0.141,5856.864,17545.657,403.177,0.141,5431.365,10067.207,1940.645,0.141,4343.782,5805.376,4605.850,0.141,5666.042,6292.367,280.021,0.141,6785.289,9532.377,664.424,0.141,2320.673,6387.863,109.270,0.141,5424.967,18599.255,394.084,0.141,18871.720,13965.697,2395.915,0.141,13237.071,36965.262,11203.872,0.141,5311.252,32489.362,5217.799,0.141,1600.151,4775.024,379.900,0.141,3526.930,9915.431,13495.129,0.141,6134.196,22107.179,379.342,0.141,9836.045,13942.027,4686.975,0.141,4253.600,11357.243,327.171,0.141,9134.772,21110.495,7827.727,0.141,6712.263,12092.788,320.105,0.141,5760.047,17607.302,1832.778,0.141,9097.433,19894.521,387.174,0.141,6520.542,7011.848,5097.823,0.141,9333.755,23059.121,11297.837,0.141,7414.638,19266.182,377.151,0.141,6777.897,13896.526,1092.462,0.141,4089.356,11363.700,12384.435,0.141,2976.709,13163.555,417.164,0.141,4972.103,6551.871,2691.112,0.141,6063.102,15796.263,317.716,0.141,11528.077,33047.982,12027.940,0.141,6932.900,40216.988,14992.705,0.141,6426.235,16054.921,18164.931,0.141,4015.432,7320.292,5232.446,0.141,5554.568,7298.851,2603.383,0.141,17043.184,21847.468,1516.448,0.141,4770.220,5352.653,494.842,0.141,3174.659,3376.892,539.366,0.141,5323.865,12021.238,3738.511,0.141,401.524,3954.077,46.078
0.176,10372.563,15439.418,357.177,0.176,7949.188,15727.217,606.361,0.176,6705.386,15084.223,10482.852,0.176,4040.535,1625.938,64.017,0.176,3439.502,3411.914,14967.277,0.176,6978.532,7192.173,296.381,0.176,3552.684,12592.030,818.262,0.176,7722.294,15666.074,1292.407,0.176,5743.932,10422.161,16228.981,0.176,7511.660,20223.013,1604.915,0.176,4932.881,9741.408,268.230,0.176,3780.669,5051.923,119.573,0.176,9179.013,27684.909,689.433,0.176,13609.483,8417.239,12449.012,0.176,4835.757,10606.671,249.372,0.176,3011.646,24127.741,622.225,0.176,9132.572,22722.490,17016.982,0.176,12199.897,39264.386,11928.259,0.176,9473.315,36562.191,1885.069,0.176,3709.757,13517.009,7926.124,0.176,7894.377,14453.482,398.196,0.176,5238.142,8739.421,171.628,0.176,6300.674,11375.914,313.972,0.176,5648.882,9841.683,1820.459,0.176,4305.366,5604.869,3095.774,0.176,6039.834,4653.082,624.981,0.176,6472.085,7164.285,686.242,0.176,2374.092,7309.092,136.503,0.176,4896.972,19276.508,448.357,0.176,18340.697,14751.126,2043.984,0.176,13523.564,38036.011,8857.229,0.176,4669.582,29586.114,2993.777,0.176,1462.197,5632.159,309.674,0.176,3202.054,9130.699,7837.084,0.176,6239.556,27001.524,446.584,0.176,11065.552,14044.699,7558.742,0.176,4100.864,5940.870,318.512,0.176,8992.234,29217.817,6926.385,0.176,7073.674,11098.152,333.532,0.176,5894.034,16938.358,2533.522,0.176,8470.487,14521.113,330.408,0.176,6593.276,8662.018,5460.397,0.176,9651.737,30002.162,10918.927,0.176,7331.301,17555.100,530.648,0.176,7129.250,14420.409,950.398,0.176,4664.176,7329.667,15108.587,0.176,3027.783,9473.850,694.358,0.176,4658.144,7125.885,2965.848,0.176,6427.719,14234.225,328.914,0.176,11442.597,28544.364,11222.113,0.176,7098.416,40648.681,18358.251,0.176,6513.904,18324.956,16930.967,0.176,4202.677,6636.698,4678.527,0.176,4526.786,5890.505,2085.103,0.176,17059.665,22094.694,1574.651,0.176,5079.280,5753.332,568.843,0.176,4275.810,4934.268,382.707,0.176,5271.027,11576.800,3790.574,0.176,1843.433,9554.068,143.855
0.212,10590.001,14374.174,368.972,0.212,8227.321,19926.932,568.251,0.212,6709.816,12545.056,9250.184,0.212,5109.640,1606.047,154.917,0.212,3693.469,2930.116,9152.430,0.212,5892.492,5681.102,310.247,0.212,3708.302,13136.169,1270.251,0.212,7591.764,13291.245,1555.538,0.212,5814.188,10059.638,16199.108,0.212,7337.177,26651.919,2632.107,0.212,4831.070,12082.847,274.672,0.212,3592.569,8796.546,221.171,0.212,8872.131,27317.946,576.155,0.212,12371.502,8373.338,8541.667,0.212,3907.026,9269.259,256.925,0.212,2859.799,23216.723,517.242,0.212,9349.001,22951.233,13453.415,0.212,12317.644,37937.096,11903.579,0.212,10220.696,33004.413,3057.763,0.212,3975.840,13102.824,9353.312,0.212,7572.417,14438.571,393.680,0.212,5163.931,9284.580,150.988,0.212,6789.143,8315.700,251.505,0.212,5872.118,9033.127,1029.637,0.212,4457.002,5363.054,1445.137,0.212,6538.312,5517.525,810.773,0.212,6163.466,7749.405,689.324,0.212,2169.481,3781.262,124.701,0.212,4460.202,16800.921,417.415,0.212,17592.811,14759.626,1411.116,0.212,13860.593,38993.705,6669.882,0.212,4196.946,22603.748,1271.811,0.212,1552.303,6606.010,297.549,0.212,2962.004,8341.599,4974.337,0.212,6158.091,27201.661,406.307,0.212,12141.831,15053.362,10121.837,0.212,3729.878,3038.757,275.736,0.212,8613.595,33244.907,3797.104,0.212,7192.573,11064.510,371.090,0.212,5915.051,17745.692,3255.455,0.212,7578.948,7887.691,288.762,0.212,7287.663,14654.779,5285.929,0.212,10261.259,35089.825,10641.594,0.212,7117.467,14718.030,789.504,0.212,7034.206,13388.773,864.534,0.212,5003.223,7822.107,15539.707,0.212,2292.083,5549.533,896.411,0.212,4405.768,7947.701,1927.060,0.212,6309.663,9786.880,356.447,0.212,11697.257,22446.318,10967.209,0.212,6669.381,37871.710,22689.371,0.212,6432.644,17141.145,13894.546,0.212,4284.888,7163.178,3552.215,0.212,4139.063,7723.625,3321.896,0.212,16781.788,21293.298,1692.855,0.212,5132.972,7044.830,509.278,0.212,5330.544,5872.696,299.217,0.212,5212.367,11933.057,4950.446,0.212,2317.158,6247.084,122.244
0.247,10675.769,12683.062,394.779,0.247,8064.680,21536.327,457.564,0.247,6522.835,10740.490,8071.990,0.247,6109.221,2582.050,270.981,0.247,4061.652,2858.250,4522.772,0.247,5164.657,3849.637,289.345,0.247,3848.148,12402.740,1824.909,0.247,7593.642,12078.349,1929.950,0.247,5895.583,10246.581,15542.454,0.247,7132.351,31590.827,4346.613,0.247,4681.148,11666.708,214.194,0.247,4743.556,11698.909,322.875,0.247,8692.360,25438.287,435.234,0.247,12145.916,7587.087,4556.655,0.247,3339.834,11436.929,338.126,0.247,2813.537,20244.736,364.746,0.247,9437.190,21082.834,7770.662,0.247,12611.595,37215.345,9637.447,0.247,10917.457,22852.848,5482.791,0.247,4273.483,14401.633,11517.294,0.247,7338.878,12738.818,445.482,0.247,5641.115,8854.964,157.828,0.247,7112.771,4353.922,184.963,0.247,6019.942,9600.854,710.901,0.247,4184.243,4979.604,693.615,0.247,7201.251,7678.147,993.538,0.247,5975.333,9754.518,408.017,0.247,2025.171,1385.221,157.104,0.247,3974.583,12637.486,324.455,0.247,16788.172,12818.716,483.164,0.247,14449.960,38910.155,4532.143,0.247,4093.591,19356.987,635.341,0.247,1871.429,7516.846,364.482,0.247,2625.773,5636.136,2138.366,0.247,6019.246,28139.757,409.772,0.247,12911.811,16433.366,10689.178,0.247,3586.175,3283.216,249.402,0.247,8549.860,37336.429,2139.882,0.247,7642.790,10919.255,399.720,0.247,5826.930,18147.403,4491.782,0.247,6907.961,5750.241,293.285,0.247,7762.212,21967.728,2809.897,0.247,10811.385,37310.409,9417.773,0.247,6829.906,11757.310,1265.927,0.247,6756.253,12345.845,1445.279,0.247,5513.983,5229.048,13863.983,0.247,2271.578,6138.652,1315.256,0.247,4200.309,9055.386,1206.299,0.247,6192.617,6174.157,381.116,0.247,11967.077,17469.692,8115.932,0.247,6530.786,34200.911,22943.878,0.247,6095.127,14158.361,9341.507,0.247,4311.761,7532.513,1847.600,0.247,5094.547,12798.376,5108.818,0.247,16387.533,20499.887,2281.793,0.247,5345.779,8198.795,530.186,0.247,6490.287,6567.625,266.649,0.247,4820.934,9186.591,5755.443,0.247,2790.117,4374.987,142.570
0.282,10749.406,11657.109,412.796,0.282,7521.444,20541.067,360.060,0.282,6459.269,12779.842,6833.590,0.282,6458.627,6764.173,268.246,0.282,4493.143,3451.371,1864.586,0.282,4843.316,3253.950,253.784,0.282,4018.359,10174.301,2461.206,0.282,8430.945,16848.239,2759.433,0.282,6053.928,10136.784,13668.705,0.282,6265.829,34898.186,5670.867,0.282,4567.527,9439.702,157.066,0.282,5522.271,15128.403,393.813,0.282,8561.852,22886.292,321.493,0.282,11044.988,6360.627,2362.067,0.282,3012.488,16086.807,421.655,0.282,2784.576,17454.098,274.985,0.282,9311.014,19556.093,3818.768,0.282,12481.782,33503.385,5638.473,0.282,11231.277,13300.802,9360.297,0.282,4402.686,18015.043,13570.849,0.282,6077.833,10702.841,454.569,0.282,6342.342,9484.417,166.852,0.282,7423.441,3968.491,168.763,0.282,6208.670,12237.850,603.091,0.282,4142.850,4758.099,529.610,0.282,7702.527,14524.911,904.041,0.282,5708.896,10468.832,410.575,0.282,1955.376,1098.219,223.761,0.282,3579.609,8367.087,212.487,0.282,15931.012,12666.133,583.596,0.282,14610.509,37537.079,6176.553,0.282,3699.439,11563.976,396.843,0.282,1996.285,6999.720,339.324,0.282,2297.760,3388.093,1272.498,0.282,6156.013,27296.810,385.361,0.282,13650.527,16882.398,11138.292,0.282,3498.843,2698.448,271.126,0.282,8328.068,38044.922,1132.441,0.282,8273.901,10286.585,379.237,0.282,5421.979,13312.226,4737.080,0.282,6241.890,3425.615,258.463,0.282,8078.276,24479.792,2073.354,0.282,11319.918,36231.682,7306.007,0.282,6550.855,10188.580,2066.201,0.282,6672.289,7794.164,3985.404,0.282,5852.887,7404.556,10585.689,0.282,2829.972,12248.042,2554.599,0.282,3877.854,9482.804,558.554,0.282,6360.194,5833.641,337.685,0.282,11940.985,14325.051,5474.345,0.282,6645.825,28380.178,20084.757,0.282,5547.682,11153.156,5028.455,0.282,4322.745,8970.059,855.313,0.282,6592.103,18037.235,6847.706,0.282,16097.853,20216.854,3012.922,0.282,5352.505,8619.085,434.841,0.282,7510.139,6730.195,237.636,0.282,4442.427,8411.588,6301.974,0.282,3232.740,3855.199,136.485
0.318,11362.868,15466.779,339.263,0.318,6773.344,17627.218,368.078,0.318,6216.733,17168.997,2855.314,0.318,6186.491,9355.178,315.943,0.318,4991.943,5229.383,398.221,0.318,4777.029,3703.043,327.612,0.318,4172.032,7715.477,2827.413,0.318,8807.561,22708.570,5067.017,0.318,6237.455,11159.366,10885.286,0.318,5362.816,33129.987,9414.616,0.318,4641.275,10941.231,166.679,0.318,6285.575,14711.039,250.126,0.318,8405.691,19458.638,311.736,0.318,9568.963,4934.335,660.543,0.318,2958.516,23134.735,520.247,0.318,2789.498,16011.348,201.067,0.318,9042.146,18853.120,4302.857,0.318,12182.628,30538.293,2271.737,0.318,11207.286,8648.795,9815.169,0.318,4500.841,21989.344,13425.291,0.318,5616.906,11212.828,434.425,0.318,6647.309,9411.916,207.418,0.318,7537.721,3355.246,110.985,0.318,6152.219,15025.832,785.575,0.318,4185.517,5313.461,601.198,0.318,8352.186,20794.423,874.806,0.318,5503.135,10655.017,276.116,0.318,1674.148,504.037,192.911,0.318,3295.444,5202.676,170.162,0.318,14951.330,12218.083,849.281,0.318,14824.003,34049.387,8368.827,0.318,3616.359,9157.093,434.775,0.318,2393.304,6618.596,389.115,0.318,2229.208,1384.065,1281.237,0.318,5755.569,17584.746,274.174,0.318,14184.252,17442.122,10477.016,0.318,3137.232,1772.541,284.448,0.318,8128.754,33400.183,950.578,0.318,8510.095,11578.203,327.748,0.318,5205.162,11442.901,5118.441,0.318,5702.054,2762.596,196.030,0.318,8968.583,28415.062,2487.782,0.318,11749.657,31376.224,4810.923,0.318,6348.783,10985.326,4302.521,0.318,6640.869,7916.693,6261.211,0.318,5928.685,14334.875,5967.593,0.318,2842.822,14897.059,3136.755,0.318,3543.018,8638.680,448.205,0.318,6232.429,5768.099,326.720,0.318,11945.179,12552.337,4710.535,0.318,6587.304,19990.756,18557.750,0.318,5118.941,7622.900,5320.311,0.318,4250.441,10369.831,453.636,0.318,8075.499,22065.458,7796.978,0.318,15649.198,19420.181,4552.762,0.318,5585.279,8915.100,566.978,0.318,8495.678,6773.891,199.490,0.318,4351.199,8574.182,7952.584,0.318,3744.408,2878.608,132.706
