,image name,object name,avg int channel 1,avg int channel 2
36,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #084 (MRPL23),3125.7093023255816,2536.4883720930234
37,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #087 (MRPL23),1261.673076923077,2698.0
38,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #090 (MRPL23),1434.6037735849056,2287.867924528302
39,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #094 (MRPL23),1737.8676470588234,3431.4117647058824
40,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #095 (MRPL23),2749.5333333333333,4954.0
41,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #096 (MRPL23),1307.9666666666667,2543.0666666666666
42,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #098 (MRPL23),1606.1153846153845,1067.2692307692307
43,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #099 (MRPL23),1891.2631578947369,2043.3947368421052
44,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #102 (MRPL23),2184.5833333333335,2132.7083333333335
45,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #105 (MRPL23),2775.2,1669.0
46,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #106 (MRPL23),3436.037037037037,3087.1296296296296
47,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #108 (MRPL23),2113.923076923077,1613.4615384615386
48,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #109 (MRPL23),2415.567901234568,7113.604938271605
49,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #110 (MRPL23),1552.7916666666667,2723.375
50,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #112 (MRPL23),1377.611111111111,2361.6666666666665
51,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #113 (MRPL23),4887.355263157895,2781.157894736842
52,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #115 (MRPL23),2486.065789473684,3649.1447368421054
53,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #116 (MRPL23),751.15625,1675.34375
54,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #117 (MRPL23),2234.0833333333335,2116.6666666666665
55,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #120 (MRPL23),1425.2272727272727,3660.6969696969695
56,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #122 (MRPL23),1246.2,2365.5
57,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #123 (MRPL23),2982.543209876543,3700.814814814815
58,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #124 (MRPL23),3415.1428571428573,1015.1428571428571
59,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #125 (MRPL23),1325.9615384615386,1418.5961538461538
60,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #126 (MRPL23),1838.661971830986,4729.830985915493
61,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #128 (MRPL23),2946.7671232876714,4612.780821917808
62,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #129 (MRPL23),1109.3,1811.375
63,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #130 (MRPL23),1140.5,2667.3
64,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #133 (MRPL23),3915.8571428571427,1750.0
65,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #134 (MRPL23),1795.235294117647,1623.5882352941176
66,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #135 (MRPL23),911.0869565217391,2177.695652173913
67,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #139 (MRPL23),1513.0,2400.7654320987654
68,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #142 (MRPL23),2706.6976744186045,3295.720930232558
69,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #143 (MRPL23),2861.553191489362,2727.2340425531916
70,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #144 (MRPL23),1017.0,1639.5
71,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #146 (MRPL23),2102.6206896551726,3530.5172413793102
72,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #147 (MRPL23),1253.4375,2507.0416666666665
73,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #148 (MRPL23),1643.134328358209,2513.2985074626868
74,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #150 (MRPL23),2144.9268292682927,2126.317073170732
75,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #155 (MRPL23),1797.4594594594594,5878.743243243243
76,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #157 (MRPL23),1751.888888888889,3036.814814814815
77,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #158 (MRPL23),1613.4827586206898,4870.396551724138
78,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #163 (MRPL23),929.3333333333334,3027.285714285714
79,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #165 (MRPL23),1561.8148148148148,2896.432098765432
80,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #166 (MRPL23),721.6530612244898,3624.4285714285716
81,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #168 (MRPL23),1669.8235294117646,2121.529411764706
82,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #169 (MRPL23),4354.72,4844.77
83,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #170 (MRPL23),1115.9166666666667,1912.5555555555557
84,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #171 (MRPL23),2663.439024390244,2442.0975609756097
85,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #172 (MRPL23),1491.7179487179487,1698.7179487179487
86,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #173 (MRPL23),1614.0408163265306,2394.469387755102
87,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #174 (MRPL23),1977.5774647887324,3432.7323943661972
88,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #178 (MRPL23),2952.235294117647,2278.970588235294
89,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #179 (MRPL23),1793.6140350877192,2578.1754385964914
90,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #181 (MRPL23),3988.0506329113923,3763.4177215189875
91,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #182 (MRPL23),2658.74,2248.22
92,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #183 (MRPL23),1765.4,2456.54
93,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #184 (MRPL23),1730.888888888889,987.6666666666666
94,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #185 (MRPL23),1278.32,2383.52
95,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #186 (MRPL23),1470.0,871.5
96,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #187 (MRPL23),890.952380952381,3569.9285714285716
97,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #188 (MRPL23),1735.060975609756,2180.9146341463415
98,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #189 (MRPL23),3130.0363636363636,2440.5454545454545
99,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #192 (MRPL23),2294.125,1375.425
100,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #193 (MRPL23),2214.4945054945056,3754.6153846153848
101,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #195 (MRPL23),2457.5,1257.0
102,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #196 (MRPL23),2562.259259259259,2125.425925925926
103,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #197 (MRPL23),2443.294736842105,5164.6736842105265
104,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #198 (MRPL23),1800.2830188679245,2139.8867924528304
105,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #199 (MRPL23),1763.3013698630136,2625.7397260273974
106,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #200 (MRPL23),2845.153846153846,3139.9423076923076
107,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #202 (MRPL23),1960.0263157894738,1711.7368421052631
108,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #203 (MRPL23),1512.1857142857143,4500.142857142857
109,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #204 (MRPL23),2082.0731707317073,3357.170731707317
110,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #206 (MRPL23),2434.529411764706,3076.264705882353
111,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #207 (MRPL23),2252.2153846153847,3207.6923076923076
112,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #210 (MRPL23),2188.274509803922,1627.5294117647059
113,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #212 (MRPL23),1650.2985074626865,4552.014925373134
114,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #217 (MRPL23),2033.0,784.0
115,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #219 (MRPL23),2157.222222222222,2940.814814814815
116,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #220 (MRPL23),2753.0444444444443,3673.6222222222223
117,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #221 (MRPL23),1508.1875,2484.3125
118,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #223 (MRPL23),1696.5641025641025,3360.923076923077
