,image name,sum of mito area,number of RNR2,sum of RNR2 area,avg RNR2 area,number of MRPL23,sum of MRPL23 area,avg of MRPL23 area,number of MRPL23 in RNR2,percent of MRPL23 in RNR2,avg percent of simulated MRPL23 in RNR2,std percent of simulated MRPL23 in RNR2
0,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,435.71675309249713,478,27.60493693290021,0.05775091408556529,1250,75.75629856160464,0.06060503884928371,91,7.28,7.334728033472803,1.1057382422006328
1,RNR2-647_MRPL23-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,465.28688646985245,507,35.59092223044778,0.07019905765374315,1183,68.18889076346832,0.057640651532940256,96,8.114961961115807,9.084812623274162,1.3326814883183922
2,RNR2-647_MRPL23-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,587.7226736971218,826,63.483631194193265,0.0768566963610088,1204,49.33234814490049,0.0409737110838044,201,16.69435215946844,10.446731234866828,1.0999734717688174
3,RNR2-647_MRPL23-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,122.90045808235614,161,9.570600116747414,0.05944472122203363,332,13.927667986363321,0.04195080718784133,36,10.843373493975903,9.26086956521739,2.047863487508899
4,RNR2-647_MRPL23-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,400.25289903154817,428,27.37758457086877,0.06396631909081488,1206,74.18663293881235,0.06151462101062384,75,6.218905472636816,8.350467289719626,1.3854970843404202
5,RNR2-647_MRPL23-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,838.755185721336,1165,94.68135833037351,0.08127155221491289,2163,120.29556060833582,0.05561514591231429,302,13.96208969024503,12.370815450643777,0.9131747210448223
6,RNR2-647_MRPL23-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,445.3359380977539,548,38.003971683899124,0.06935031329178672,1043,60.77782664442759,0.05827212525831984,99,9.491850431447748,8.193430656934307,1.0916600577218376
7,RNR2-647_MRPL23-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,432.1320603706739,631,51.463854399343006,0.08155919873112996,999,60.61213971757729,0.0606728125301074,157,15.715715715715717,10.499207606973059,1.1147967186031225
8,RNR2-647_MRPL23-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,625.0545544258591,876,66.25296982869109,0.07563124409667933,1319,73.5818133674904,0.05578606017247187,171,12.964366944655042,8.881278538812785,1.0178075373636553
9,RNR2-647_MRPL23-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,686.5742349420942,983,88.00591925122076,0.08952789343969558,1572,92.62023787568337,0.0589187263840225,270,17.17557251908397,12.267548321464902,0.9970650234180566
