,Distance,Channel 1,Channel 2,Channel 3
0,0.0,589291.2960000001,505086.0199999999,339468.51499999996
1,0.035,587549.945,497139.94700000016,340966.71800000005
2,0.07,585264.0809999997,490227.297,336446.429
3,0.10500000000000001,588325.7370000001,492063.19100000005,330115.1940000001
4,0.14,589211.6439999999,485662.2290000002,318940.86699999997
5,0.17500000000000002,590653.9960000004,475014.80700000003,293221.7749999999
6,0.21000000000000002,592711.1399999999,463974.15699999995,264975.94800000003
7,0.24500000000000002,591940.7769999999,455206.9729999999,256959.60400000005
8,0.28,595447.323,471472.9000000001,254210.86800000002
9,0.31500000000000006,604373.9479999999,535784.429,285557.55499999993
10,0.35000000000000003,610874.3309999998,640988.0949999999,340958.4459999999
11,0.385,617003.5499999999,820727.5200000003,433663.26599999995
12,0.42000000000000004,623706.445,1002944.54,536177.3370000002
13,0.45500000000000007,629876.5100000001,1176531.1440000003,637793.3510000001
14,0.49000000000000005,635331.962,1280374.478,738998.9940000001
15,0.525,635822.6470000002,1189646.8639999994,777215.5439999999
16,0.56,635298.7590000002,1021475.9549999998,760733.8560000001
17,0.5950000000000001,630731.142,848353.298,706100.2730000002
18,0.6300000000000001,623838.4280000002,661949.5280000002,610132.3770000002
19,0.665,623192.0060000002,552162.3300000001,518335.26900000003
20,0.7000000000000001,618586.86,509888.247,451804.042
21,0.7350000000000001,615075.9930000004,516364.16099999985,405781.93100000016
22,0.77,615484.4339999999,538913.07,391940.098
23,0.805,617954.448,556772.3179999999,385736.99299999996
24,0.8400000000000001,619341.0190000001,573345.0379999997,371268.07299999986
25,0.8750000000000001,619708.8629999999,574569.1329999999,369733.1189999998
26,0.9100000000000001,623344.3650000001,565452.981,371015.30899999995
27,0.9450000000000001,627839.791,556431.375,385756.7340000001
28,0.9800000000000001,633362.9799999999,553094.4500000001,402916.0040000001
