,Distance,Channel 1,Channel 2,Channel 3
0,0.0,0.1554571258108725,0.15652421066928077,0.047949542620787475
1,0.035,0.14892068526799027,0.15698487339938022,0.047384280402769416
2,0.07,0.14251453424476504,0.1575345998402933,0.046832883015691044
3,0.10500000000000001,0.13724282704460086,0.15811058428944463,0.046831213502298144
4,0.14,0.1339822487135925,0.15872006680259737,0.04690205687893965
5,0.17500000000000002,0.13370008126979138,0.1591151238077464,0.04719237054038301
6,0.21000000000000002,0.13850606495805345,0.15960901287074886,0.04752503983029681
7,0.24500000000000002,0.1501363535207443,0.1604481534914295,0.04798337357636541
8,0.28,0.17010511452632684,0.16081565460023275,0.04789608604135725
9,0.31500000000000006,0.1997984597485464,0.16114016161535233,0.04704822160590855
10,0.35000000000000003,0.23779325924746977,0.1616576016188569,0.045914976820607266
11,0.385,0.2798867254905013,0.16081563331576995,0.044135887227668466
12,0.42000000000000004,0.3195934591976503,0.16050126666980966,0.04203999622943932
13,0.45500000000000007,0.34942515641763633,0.15983276909965008,0.040077187928812534
14,0.49000000000000005,0.36391177018572185,0.1591730653103236,0.03861784820684204
15,0.525,0.35004594628429525,0.15745836523763568,0.0379577671982361
16,0.56,0.320219525640433,0.15576264627266634,0.03794884737914779
17,0.5950000000000001,0.28073414982495276,0.15450546291711623,0.038684600779045175
18,0.6300000000000001,0.2377416040191617,0.15340323636200484,0.040058058080026396
19,0.665,0.1987374117686561,0.15292255005777505,0.0418238683853803
20,0.7000000000000001,0.1689068537152345,0.15252587951284152,0.04370786481316801
21,0.7350000000000001,0.14895714206422803,0.15292529503693397,0.04537118514430819
22,0.77,0.1378035985516746,0.15459322883753204,0.04697508216084098
23,0.805,0.13375337102655,0.15660131739750788,0.04823848387149002
24,0.8400000000000001,0.13405279701711065,0.15839746410363953,0.048854242414612475
25,0.8750000000000001,0.1376297981137337,0.16028075909806971,0.04897660378444214
26,0.9100000000000001,0.14297382181973112,0.16143314713092527,0.04876373967229053
27,0.9450000000000001,0.1493427192781479,0.1613503804699501,0.04814060660625809
28,0.9800000000000001,0.15586086760004583,0.16041915753914152,0.04736380984111567
