,image name,object name,avg int channel 1,avg int channel 2
0,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (GRSF1),933.5,36827.25
1,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (GRSF1),2267.3953488372094,38847.72093023256
2,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (GRSF1),1530.032786885246,34419.639344262294
3,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (GRSF1),1846.0,33831.653846153844
4,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #006 (GRSF1),1225.3823529411766,41201.794117647056
5,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #007 (GRSF1),1760.21875,32577.65625
6,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #008 (GRSF1),1829.888888888889,36476.333333333336
7,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #009 (GRSF1),3221.310344827586,36677.65517241379
8,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #010 (GRSF1),1660.75,23494.0
9,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #011 (GRSF1),2693.285714285714,28969.04761904762
10,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #012 (GRSF1),3916.5,37008.857142857145
11,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #013 (GRSF1),1242.9,31107.333333333332
12,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #014 (GRSF1),2162.0,22104.5
13,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (GRSF1),4997.129032258064,37882.709677419356
14,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #017 (GRSF1),3731.1470588235293,33294.205882352944
15,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #018 (GRSF1),1346.642857142857,32050.35714285714
16,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #019 (GRSF1),1699.03125,37459.28125
17,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #020 (GRSF1),2150.5,25417.0
18,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #021 (GRSF1),1502.9310344827586,33796.379310344826
19,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #022 (GRSF1),2530.3125,28149.4375
20,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #023 (GRSF1),1693.8695652173913,43909.17391304348
21,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #024 (GRSF1),1119.0684931506848,59170.82191780822
22,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #025 (GRSF1),2146.6976744186045,52370.0
23,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #026 (GRSF1),1717.4166666666667,24824.166666666668
24,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #027 (GRSF1),1757.3809523809523,28185.761904761905
25,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #028 (GRSF1),2433.375,23715.625
26,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #030 (GRSF1),1442.8333333333333,24534.666666666668
27,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #033 (GRSF1),1383.1041666666667,48969.979166666664
28,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #035 (GRSF1),1639.888888888889,43223.26666666667
29,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #036 (GRSF1),1963.842105263158,41855.94736842105
30,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #039 (GRSF1),1541.923076923077,37413.57692307692
31,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #040 (GRSF1),1758.6666666666667,31432.25
32,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #041 (GRSF1),2936.2,26862.333333333332
33,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #042 (GRSF1),1383.5,31529.0
34,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #043 (GRSF1),1563.2820512820513,34741.179487179485
35,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #044 (GRSF1),1402.6785714285713,50078.71428571428
36,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #045 (GRSF1),2162.878048780488,44528.51219512195
37,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #046 (GRSF1),1447.75,33479.0
38,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #047 (GRSF1),2585.328125,55503.65625
39,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #048 (GRSF1),2503.972222222222,34560.02777777778
40,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #049 (GRSF1),1686.6153846153845,29564.53846153846
41,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #050 (GRSF1),3064.1923076923076,32959.5
42,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #051 (GRSF1),1887.8354430379748,49313.60759493671
43,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #052 (GRSF1),2208.44,33005.52
44,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #053 (GRSF1),2918.945945945946,52305.97297297297
45,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #054 (GRSF1),3916.5466666666666,56173.12
46,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #055 (GRSF1),2107.4166666666665,49056.770833333336
47,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #057 (GRSF1),2549.3333333333335,25975.666666666668
48,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #058 (GRSF1),3297.035714285714,51251.642857142855
49,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #059 (GRSF1),1757.3076923076924,31067.46153846154
50,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #060 (GRSF1),1985.625,32591.375
51,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #061 (GRSF1),2113.72,27056.8
52,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #062 (GRSF1),2175.153846153846,34416.692307692305
53,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #063 (GRSF1),2651.5555555555557,37594.62962962963
54,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #064 (GRSF1),3276.896551724138,31886.379310344826
55,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #065 (GRSF1),1642.0681818181818,50241.59090909091
56,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #066 (GRSF1),1518.1960784313726,57881.882352941175
57,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #067 (GRSF1),2806.375,29369.5
58,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #069 (GRSF1),3290.909090909091,40874.204545454544
59,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #070 (GRSF1),2698.0,25847.0
60,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #071 (GRSF1),1760.2051282051282,54697.61538461538
61,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #072 (GRSF1),2020.122807017544,55363.771929824565
62,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #073 (GRSF1),2539.5714285714284,42065.42857142857
63,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #076 (GRSF1),3311.3958333333335,49324.479166666664
64,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #077 (GRSF1),2043.8095238095239,47974.0
65,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #078 (GRSF1),1832.8064516129032,38018.87096774193
66,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #079 (GRSF1),2057.86,56537.6
67,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #081 (GRSF1),2949.5636363636363,41574.05454545454
68,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #082 (GRSF1),3018.9857142857145,52279.885714285716
69,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #083 (GRSF1),1702.875,45368.875
70,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #084 (GRSF1),4035.714285714286,32298.5
71,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #085 (GRSF1),1328.5,31308.708333333332
72,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #086 (GRSF1),1894.0925925925926,48463.48148148148
73,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #087 (GRSF1),2837.5,27590.75
74,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #088 (GRSF1),3010.095238095238,51552.84126984127
