,image name,sum of mito area,number of HPG,sum of HPG area,avg HPG area,number of GRSF1,sum of GRSF1 area,avg of GRSF1 area,number of GRSF1 in HPG,percent of GRSF1 in HPG,avg percent of simulated GRSF1 in HPG,std percent of simulated GRSF1 in HPG
0,15minHPG-647_GRSF1-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,672.4752740799601,890,61.44867183321615,0.06904345149799568,1085,41.46969371771515,0.03822091586886189,174,16.036866359447004,7.475280898876404,0.9214970911102188
1,15minHPG-647_GRSF1-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,582.4231835705289,773,90.3018666661465,0.11682000862373415,1043,46.00926636013983,0.04411243179303915,294,28.187919463087248,15.886157826649418,1.3254168205415664
2,15minHPG-647_GRSF1-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,370.9518511895389,498,54.89780939079305,0.11023656504175311,564,23.242263114631527,0.041209686373460154,135,23.93617021276596,12.815261044176706,1.472385399420027
3,15minHPG-647_GRSF1-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,694.7645259238908,1254,111.68357771122231,0.08906186420352656,977,33.05952497210346,0.033837794239614596,256,26.202661207778917,9.36762360446571,0.8203543263605725
4,15minHPG-647_GRSF1-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,437.80092022488606,616,47.60073289435984,0.07727391703629843,830,37.11511738083385,0.0447170088925709,135,16.265060240963855,9.63961038961039,1.060831923841765
5,15minHPG-647_GRSF1-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,216.463118214744,376,43.84786171288219,0.11661665349170795,354,13.676023180169636,0.038632833842287106,114,32.20338983050847,14.795212765957446,1.6384495444485454
6,15minHPG-647_GRSF1-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,375.5966910899905,177,7.52629750801556,0.042521454847545534,707,31.144782065570322,0.04405202555243327,25,3.536067892503536,3.536723163841808,1.4798604479225228
7,15minHPG-647_GRSF1-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,536.2058742270966,659,48.939308856018734,0.07426298764191007,1021,43.425546914369036,0.042532367203103855,140,13.712047012732615,9.282245827010621,1.0111865015681842
