,Distance,Channel 1,Channel 2,Channel 3
0,0.0,72216.65299999998,1381160.5489999994,382022.06199999986
1,0.035,69712.20599999999,1378961.042,382765.54300000006
2,0.07,67582.00200000001,1380152.5509999997,380139.6069999999
3,0.10500000000000001,66030.06499999997,1375277.026,367859.5000000001
4,0.14,65284.33799999998,1376798.269,347198.46799999994
5,0.17500000000000002,65423.070999999996,1385824.225,334143.9749999998
6,0.21000000000000002,68049.90000000001,1399598.911,318698.6380000001
7,0.24500000000000002,74443.13200000003,1425558.264,307320.90800000005
8,0.28,84856.11599999995,1463036.6150000007,303227.30600000004
9,0.31500000000000006,99722.11099999999,1489853.0489999987,299158.578
10,0.35000000000000003,118852.80499999998,1504014.028,297710.73199999996
11,0.385,140087.8519999999,1506366.1139999998,297511.7880000001
12,0.42000000000000004,158654.11499999996,1524019.8539999996,290450.66499999986
13,0.45500000000000007,173517.51600000003,1535881.3550000002,278310.75499999983
14,0.49000000000000005,181190.03399999999,1534613.6849999994,277318.03299999994
15,0.525,173554.23,1518132.2370000004,282323.40200000006
16,0.56,157984.509,1529743.4659999998,295521.4589999999
17,0.5950000000000001,137740.475,1539725.5010000004,319044.87100000016
18,0.6300000000000001,115460.56800000009,1573956.2959999996,334270.0470000001
19,0.665,95138.43500000001,1624983.8900000006,346183.478
20,0.7000000000000001,79009.782,1648494.879000001,353766.1770000002
21,0.7350000000000001,68002.52099999995,1668721.9170000013,358608.58400000003
22,0.77,60830.018,1682835.8889999997,361141.9140000003
23,0.805,57675.63399999999,1682948.7460000003,361646.72199999983
24,0.8400000000000001,57369.62099999997,1672904.4319999998,359869.7050000001
25,0.8750000000000001,59181.78699999999,1646454.2280000001,363228.50399999996
26,0.9100000000000001,62889.92500000001,1595196.7879999995,369203.0610000001
27,0.9450000000000001,67374.486,1536265.862,371925.295
28,0.9800000000000001,71949.06300000002,1462225.7710000006,364460.23299999995
