,Distance,Channel 1,Channel 2,Channel 3
0,0.0,2049271.2049999998,3681495.189999999,920329.5560000001
1,0.035,2037013.9400000009,3716880.525999999,926227.9090000005
2,0.07,2020884.381999999,3828535.0759999994,950579.4770000001
3,0.10500000000000001,2007376.7650000015,3978219.586999998,978708.3920000009
4,0.14,1996498.5570000007,4109755.178,996464.096
5,0.17500000000000002,1997660.1429999997,4283619.176000002,1017560.3970000005
6,0.21000000000000002,2022313.9029999995,4364334.2700000005,1019861.0040000004
7,0.24500000000000002,2088898.8969999992,4379577.966999999,985328.3169999999
8,0.28,2194531.784999998,4356401.505999999,933051.5050000007
9,0.31500000000000006,2343724.6329999994,4305703.595000005,875097.046
10,0.35000000000000003,2536908.362,4232899.788999999,802771.4690000003
11,0.385,2744389.8860000013,4108657.409999999,719067.7640000002
12,0.42000000000000004,2922640.1729999995,3961583.2389999977,638899.3919999999
13,0.45500000000000007,3055137.456000001,3842031.283,570794.1810000003
14,0.49000000000000005,3128386.849,3756144.0220000017,529541.9719999998
15,0.525,3055489.6670000013,3641245.1509999996,534351.1340000001
16,0.56,2914429.8749999967,3562466.463999999,579149.4190000001
17,0.5950000000000001,2718734.224999997,3510190.840000001,667286.4429999996
18,0.6300000000000001,2509948.195000003,3501231.917999997,778491.2840000007
19,0.665,2312807.118,3574274.986000001,894709.9050000005
20,0.7000000000000001,2152193.678,3667846.829,993544.1900000005
21,0.7350000000000001,2042309.2789999996,3789333.178,1047610.0810000001
22,0.77,1979742.3909999998,3975611.2250000043,1072197.5389999999
23,0.805,1949782.3519999997,4155464.210999997,1060831.27
24,0.8400000000000001,1952518.7030000002,4213942.863999998,1031413.5009999995
25,0.8750000000000001,1980635.1419999993,4205645.792000001,986638.9129999992
26,0.9100000000000001,2014408.82,4115068.117999999,948793.9980000001
27,0.9450000000000001,2055374.4119999995,3957359.7029999983,919451.7079999992
28,0.9800000000000001,2099472.1429999988,3841963.7719999985,906690.1830000001
