,Distance,Channel 1,Channel 2,Channel 3
0,0.0,71870.398,642501.5560000002,293542.1390000001
1,0.035,68611.928,643064.4389999997,307344.3819999999
2,0.07,65073.042999999976,646662.433,317865.30199999997
3,0.10500000000000001,61718.49599999995,646422.8839999996,324319.1610000001
4,0.14,59271.13599999996,639775.0379999997,322749.375
5,0.17500000000000002,58442.566,629648.9749999997,309131.816
6,0.21000000000000002,60447.88799999999,617344.3319999998,294916.739
7,0.24500000000000002,65615.82400000002,618537.11,279441.48799999995
8,0.28,74371.102,615082.0160000003,266402.8610000002
9,0.31500000000000006,88013.872,612482.0140000002,252600.37600000002
10,0.35000000000000003,104859.265,606706.4490000001,246230.83199999994
11,0.385,122570.79699999989,597462.669,240418.65299999996
12,0.42000000000000004,139443.48100000006,582622.556,235585.12300000005
13,0.45500000000000007,151665.82900000003,566032.0160000001,235347.48500000002
14,0.49000000000000005,157607.123,555668.3209999998,238080.3559999999
15,0.525,151829.601,542474.5079999999,243116.6139999999
16,0.56,139713.60900000003,536919.9630000002,247446.63199999993
17,0.5950000000000001,123461.52799999995,541752.8640000003,250204.55600000004
18,0.6300000000000001,106773.023,562188.8780000001,254594.06
19,0.665,92175.17999999996,596160.5709999999,254993.77
20,0.7000000000000001,80786.46300000002,632136.2399999999,263284.78699999995
21,0.7350000000000001,72515.22299999998,665062.275,268983.3039999999
22,0.77,67332.88999999998,698340.7720000001,274727.36899999995
23,0.805,64255.97400000002,708941.025,276971.73099999997
24,0.8400000000000001,63029.75000000003,696407.934,271759.7029999998
25,0.8750000000000001,62976.08400000002,672797.5859999998,268352.07899999997
26,0.9100000000000001,63843.918000000005,652254.9950000001,272359.10699999996
27,0.9450000000000001,66234.23000000001,634965.5099999999,270319.4480000001
28,0.9800000000000001,69135.62899999997,615538.1299999998,271856.2050000001
