,Distance,Channel 1,Channel 2,Channel 3
0,0.0,545682.499,401139.905,405704.4500000003
1,0.035,544044.8090000002,403035.42600000004,403287.997
2,0.07,540090.6649999997,401676.3849999999,400796.57599999977
3,0.10500000000000001,535342.635,398887.0040000001,398227.211
4,0.14,534482.6630000001,396744.8189999997,395604.9870000003
5,0.17500000000000002,538237.9300000003,396141.15200000023,395773.78399999975
6,0.21000000000000002,545712.274,394905.139,396826.88900000043
7,0.24500000000000002,561724.1630000001,395622.8120000001,398281.6739999998
8,0.28,586056.0609999998,398464.3939999999,399529.90599999984
9,0.31500000000000006,619123.2670000003,404028.2430000002,401814.09900000016
10,0.35000000000000003,659817.6209999999,411281.8099999999,403365.3140000001
11,0.385,706570.4490000001,420859.30600000004,409346.573
12,0.42000000000000004,747237.962,431766.9509999998,415962.2069999999
13,0.45500000000000007,782167.9240000001,442213.55299999996,420012.795
14,0.49000000000000005,802728.7640000001,448666.4939999999,422926.98399999994
15,0.525,779293.0619999998,446374.38899999997,426837.71300000016
16,0.56,741641.5330000002,442571.7400000002,429275.7319999998
17,0.5950000000000001,698306.3249999998,435861.6730000002,426856.5990000002
18,0.6300000000000001,654231.25,430224.5929999997,420245.13800000027
19,0.665,612323.519,422738.5149999999,410198.3930000003
20,0.7000000000000001,575629.5770000002,412036.1739999999,399751.18499999976
21,0.7350000000000001,550619.2849999999,401815.64600000007,392652.16599999985
22,0.77,536269.6200000001,391273.9679999998,389755.5200000002
23,0.805,530283.837,383083.74500000017,389928.6390000001
24,0.8400000000000001,533003.8730000001,377835.8649999999,394664.8400000001
25,0.8750000000000001,536534.5549999998,375005.3349999999,401775.517
26,0.9100000000000001,540146.6539999999,373348.82800000004,410224.7480000002
27,0.9450000000000001,546371.716,372570.517,412258.085
28,0.9800000000000001,552445.9610000004,372987.21499999997,407781.8710000001
