,Distance,Channel 1,Channel 2,Channel 3
0,0.0,2517196.226999998,435191.7290000002,805673.7649999994
1,0.035,2459991.3939999994,429271.41499999986,796787.9109999995
2,0.07,2390561.2819999987,422408.2680000005,789025.7400000013
3,0.10500000000000001,2331658.0979999984,415301.1329999997,789767.1469999994
4,0.14,2297264.1210000007,409566.1900000002,793532.4749999996
5,0.17500000000000002,2292281.543000001,405832.9460000002,799828.7109999997
6,0.21000000000000002,2330679.521000001,406970.82800000015,807347.2089999998
7,0.24500000000000002,2440941.115999997,415256.7070000001,809479.2660000005
8,0.28,2624310.2899999986,431605.42799999996,814109.983
9,0.31500000000000006,2876749.037000001,452481.50599999994,823656.0810000004
10,0.35000000000000003,3189523.3930000006,479399.37299999985,838876.2039999993
11,0.385,3514271.867999999,509840.5010000001,853114.7949999995
12,0.42000000000000004,3818631.5329999994,541090.1700000002,865218.7930000004
13,0.45500000000000007,4062181.5310000023,567714.4760000001,871161.9470000003
14,0.49000000000000005,4196476.761000001,585345.1059999999,873759.2599999999
15,0.525,4066799.3180000028,583248.959,869377.0830000007
16,0.56,3826211.3510000003,566975.4980000001,864461.8069999996
17,0.5950000000000001,3523032.9040000015,540556.4130000002,860973.0890000004
18,0.6300000000000001,3194667.0149999997,509389.22299999994,851903.7969999993
19,0.665,2876230.189000001,478205.98700000014,837307.1910000002
20,0.7000000000000001,2618070.8170000007,451646.2709999996,817285.6349999998
21,0.7350000000000001,2449337.8639999987,432428.8469999997,809817.9979999997
22,0.77,2348228.0560000003,420055.8430000002,808408.086
23,0.805,2304262.6319999998,412368.75100000016,804267.2409999999
24,0.8400000000000001,2315632.0709999995,410147.5300000007,799026.7259999994
25,0.8750000000000001,2356809.773,411402.7770000001,792194.5870000003
26,0.9100000000000001,2413637.6789999986,414953.6789999997,784641.7999999996
27,0.9450000000000001,2474557.9619999975,419860.8149999998,786461.3089999995
28,0.9800000000000001,2538939.628,423106.0200000002,793267.6789999997
