,image name,sum of mito area,number of HPG,sum of HPG area,avg HPG area,number of ND4,sum of ND4 area,avg of ND4 area,number of HPG in ND4,percent of HPG in ND4,avg percent of simulated HPG in ND4,std percent of simulated HPG in ND4
0,ND4-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,580.476673621798,1666,81.27379780235626,0.04878379219829307,770,28.250866794342926,0.03668943739525055,384,49.87012987012987,9.27310924369748,0.6458303829168849
1,ND4-647_L-HPG-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,536.5615405250815,1155,39.89629079582098,0.03454224311326492,648,25.98481777223246,0.040100027426284664,241,37.191358024691354,7.3238095238095235,0.7911395759143517
2,ND4-647_L-HPG-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,503.1289085260279,1334,65.15358100955292,0.04884076537447745,434,12.792151942573495,0.029475004475975796,220,50.69124423963134,5.732383808095952,0.5651471704630856
3,ND4-647_L-HPG-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,445.1771028856941,1192,62.39670003872805,0.05234622486470474,240,9.109666560848094,0.03795694400353373,146,60.83333333333333,3.9949664429530203,0.46438955372453267
4,ND4-647_L-HPG-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,448.68019791058106,1345,63.59450440088264,0.0472821594058607,48,0.9343247754716004,0.019465099488991677,28,58.333333333333336,0.6267657992565056,0.18643750593345884
5,ND4-647_L-HPG-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,443.78122167108666,1297,63.34285959468896,0.04883797964124052,666,29.258068902301297,0.04393103438783978,342,51.35135135135135,11.191210485736315,0.7497176753685731
6,ND4-647_L-HPG-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,563.716132915976,1627,78.87133736302695,0.04847654416903931,847,34.91447109300637,0.041221335410869385,429,50.649350649350644,10.872157344806393,0.6966275960647079
7,ND4-647_L-HPG-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,397.06124559852014,1225,61.96628775882747,0.05058472470108365,590,20.302254487814213,0.03441060082680375,315,53.38983050847458,10.386122448979592,0.6323083759233795
8,ND4-647_L-HPG-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,536.5173158190146,1484,63.364660506116635,0.04269855829253143,1025,59.13902098825038,0.05769660584219549,457,44.58536585365854,15.768867924528301,0.8217628620981045
9,ND4-647_L-HPG-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_blob_objectfeatures.xlsx,557.829263947564,1449,65.09939017257557,0.04492711537099763,727,31.815004371175245,0.043762041776031976,325,44.70426409903714,9.200828157349896,0.5988274772020992
