,Distance,Channel 1,Channel 2,Channel 3
0,0.0,248.24775510204088,415.1745918367347,5750.656025510205
1,0.035,237.08636224489803,393.2736632653063,5648.504770408163
2,0.07,226.5067193877552,394.1099285714287,5551.00407653061
3,0.10500000000000001,218.147744897959,417.4619030612244,5545.73306632653
4,0.14,210.42986734693875,441.594469387755,5614.516535714287
5,0.17500000000000002,205.85120408163283,448.4571377551021,5659.024326530612
6,0.21000000000000002,204.07772959183663,439.6903112244897,5754.724219387754
7,0.24500000000000002,209.73121428571432,425.1752959183673,5789.365882653065
8,0.28,226.95980612244904,404.97682653061196,5721.83057653061
9,0.31500000000000006,258.68683673469377,395.1043316326531,5628.447581632656
10,0.35000000000000003,308.6898622448979,397.33825510204093,5557.508938775511
11,0.385,370.91705102040805,403.96982653061207,5560.677877551016
12,0.42000000000000004,431.8857499999999,424.5666020408163,5575.14219387755
13,0.45500000000000007,480.92090816326566,450.2722806122449,5649.341642857142
14,0.49000000000000005,503.98676020408146,460.91373469387764,5718.707852040814
15,0.525,480.9566326530614,477.2869948979593,5801.431714285716
16,0.56,435.1478163265303,496.9588877551023,5790.55863265306
17,0.5950000000000001,377.1457857142855,521.5161989795922,5701.861918367348
18,0.6300000000000001,316.3268775510203,534.9671785714285,5564.507352040816
19,0.665,268.43155102040794,526.5915510204084,5437.168928571429
20,0.7000000000000001,234.5579336734694,506.8588520408165,5342.770285714287
21,0.7350000000000001,216.3404948979591,474.56174999999996,5255.635556122448
22,0.77,209.54489285714288,442.7697806122451,5217.870545918367
23,0.805,210.95856122448978,416.49496938775536,5259.6950306122435
24,0.8400000000000001,216.0894387755103,392.5156632653061,5299.896295918366
25,0.8750000000000001,224.131581632653,379.53304081632666,5360.398831632653
26,0.9100000000000001,233.11210714285713,371.5117806122447,5462.227785714288
27,0.9450000000000001,244.2010867346939,365.3462091836736,5529.92751020408
28,0.9800000000000001,252.78103061224493,367.78598469387765,5605.544382653061
