,Distance,Channel 1,Channel 2,Channel 3
0,0.0,86688.48000000004,250412.57899999997,437469.16700000013
1,0.035,85151.44100000005,246481.76400000005,440319.18400000024
2,0.07,83195.62600000003,240494.85500000007,445262.9459999999
3,0.10500000000000001,82109.969,235381.31400000004,447888.1889999997
4,0.14,81589.46300000005,231467.52500000005,451975.6110000001
5,0.17500000000000002,81739.271,231517.04099999976,457454.601
6,0.21000000000000002,82561.64700000008,233085.94100000008,460884.40600000013
7,0.24500000000000002,83489.96300000006,236293.09099999996,465055.2940000002
8,0.28,84314.13500000005,244739.41600000006,469706.60299999994
9,0.31500000000000006,85215.43300000002,258603.865,470087.183
10,0.35000000000000003,86124.54799999997,279546.4769999999,472317.0550000001
11,0.385,87026.41400000005,307263.0960000001,476671.08299999975
12,0.42000000000000004,88066.79299999996,336880.6779999999,480247.9220000001
13,0.45500000000000007,89353.99700000009,362576.30499999993,486576.325
14,0.49000000000000005,90720.94799999993,375232.6319999997,490787.7139999999
15,0.525,90449.12700000007,362439.6200000002,489226.5410000001
16,0.56,89563.13200000001,337612.99099999975,483647.9030000002
17,0.5950000000000001,88029.02899999997,307924.253,477583.0479999998
18,0.6300000000000001,86728.52300000006,280456.0350000001,473505.9119999999
19,0.665,84290.51800000004,258390.9309999999,471865.33699999965
20,0.7000000000000001,82076.22100000002,243131.15699999998,466066.1259999999
21,0.7350000000000001,80531.39899999999,234384.04000000004,458043.275
22,0.77,79110.109,230126.44500000004,449959.379
23,0.805,77532.099,229990.36500000008,441031.8379999998
24,0.8400000000000001,76577.33099999998,230932.787,434387.7980000002
25,0.8750000000000001,76243.03999999998,232499.8329999999,432932.2529999999
26,0.9100000000000001,76059.68100000003,234268.14000000004,431475.7740000001
27,0.9450000000000001,76373.926,235757.53899999996,432382.6340000003
28,0.9800000000000001,76794.84100000003,237528.69599999985,435910.5479999999
