,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,3717.2902898131088,1584.087144617448,4844.470939457752,6040.445101432907,3851.5450315872595,6401.990208059215
1,0.035,3720.088858647013,1581.0421168515418,4865.192495919979,6116.604094201847,3697.6681624111607,6232.507391031735
2,0.07,3727.616566991314,1581.046464732759,4896.401449065544,6158.269039978719,3507.8375469860484,5982.945373028223
3,0.105,3735.8081213477235,1579.8547617156667,4954.108443274546,6188.782514991836,3244.6706930771256,5546.449390785703
4,0.14,3743.600071861016,1582.172943472896,5005.977305606739,6240.453617183588,2987.4467301921554,5090.308452094127
5,0.175,3747.254416162148,1581.4879059671673,5065.833465912082,6262.34245521701,2744.244738088971,4508.994285961646
6,0.21,3746.9683853645697,1572.6139074288933,5161.199665438274,6385.434493164483,2617.6450060542243,3874.7468377547443
7,0.245,3735.8306896551726,1565.3499909046677,5292.701341932088,6592.313152336932,2725.2257251908395,3417.185911843232
8,0.28,3719.3528115293498,1554.0220883644802,5490.543128718084,6892.293562896586,3228.207424848644,3301.9079693647545
9,0.315,3696.8465738352197,1539.950339011326,5722.941155304027,7260.524076189979,4384.7206493814165,3706.388128025059
10,0.35,3671.6698202158464,1524.948583245092,5995.26836483285,7663.281117624572,6518.051476177941,4762.388957056761
11,0.385,3648.0827133456173,1508.9554652448526,6278.545953408791,8120.388673098481,9585.698194788103,6233.504715540962
12,0.42,3630.52935193472,1496.2292925201104,6515.301946038431,8462.501354464723,12945.39920610687,7748.989158161271
13,0.455,3618.920772308502,1482.1238671827548,6715.23957015004,8650.979513344437,15923.423319031323,8985.564688792152
14,0.49,3616.1205511976837,1473.595069161592,6818.4975706764935,8715.207108613151,17603.206646749146,9479.412566535659
15,0.525,3619.8934111608314,1475.7212164802702,6693.9887994209,8562.023414434601,15637.32222558568,9011.933794562256
16,0.56,3627.8287315082916,1482.2677244003519,6503.483734930244,8332.079962523914,12536.978808370624,7774.610899141175
17,0.5950000000000001,3646.9592729665706,1495.7740018082193,6275.148733614109,7971.212904400412,9277.73239457752,6277.448843154021
18,0.6300000000000001,3669.5763908923404,1517.159006328667,5949.928175572519,7464.55990886449,6145.640730981838,4848.739077183389
19,0.665,3694.061095025006,1544.6369777491066,5677.324874177415,7086.8166063884455,4092.021532508555,3767.9297694988445
20,0.7000000000000001,3715.1410934456435,1572.988427705084,5414.556742563832,6700.457411942438,3024.183186364833,3337.5638126862455
21,0.7350000000000001,3729.335024743353,1595.0082205801757,5187.09570939721,6321.744785757173,2621.404835746249,3421.1870698180032
22,0.77,3735.0064140563304,1610.6130608455114,5005.923926296394,5999.272328542726,2627.3292895498817,3949.903633382969
23,0.805,3738.0896872861276,1621.3776296107455,4886.147671755725,5757.292090389047,2848.3997499341926,4639.736940257205
24,0.8400000000000001,3738.2919065543565,1626.1626996598093,4822.9626836009475,5721.203401906308,3129.0598523295607,5265.898535001792
25,0.8750000000000001,3734.6268433798364,1629.3878810639824,4792.683785206634,5773.989885136869,3417.5164822321663,5766.56417118173
26,0.91,3729.0982561200317,1629.0547725288857,4788.855171097657,5824.189601986081,3649.5868091603056,6072.438151180563
27,0.945,3726.790943932614,1627.1412036088054,4802.88916899184,5948.005430035517,3852.6136256909717,6297.656171466658
28,0.98,3725.5147780995003,1630.9998462998524,4835.285516714925,6079.931517878215,4021.495296920242,6483.763282120754
