,image name,object name,avg int channel 1,avg int channel 2,avg int channel 3
0,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (MRPL23),116.35416666666667,721.2291666666666,4862.291666666667
1,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (MRPL23),299.09090909090907,544.8484848484849,4316.363636363636
2,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #030 (MRPL23),76.72413793103448,737.5,8404.758620689656
3,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #034 (MRPL23),228.73809523809524,593.6190476190476,14254.92857142857
4,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #037 (MRPL23),219.0,475.57142857142856,6878.142857142857
5,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #041 (MRPL23),91.56756756756756,2510.7162162162163,4418.675675675676
6,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #044 (MRPL23),62.64705882352941,415.8235294117647,6848.0
7,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #050 (MRPL23),222.80597014925374,1346.865671641791,7399.477611940299
8,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #052 (MRPL23),90.04761904761905,483.4761904761905,3210.0476190476193
9,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #054 (MRPL23),85.61904761904762,597.7142857142857,4388.880952380952
10,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #057 (MRPL23),39.5,492.0,8395.5
11,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #066 (MRPL23),187.92307692307693,1511.2769230769231,2470.6923076923076
12,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #106 (MRPL23),187.69444444444446,657.0277777777778,3003.722222222222
13,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #120 (MRPL23),98.57142857142857,423.14285714285717,1572.857142857143
14,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #127 (MRPL23),233.35443037974684,3037.987341772152,3707.4556962025317
15,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #133 (MRPL23),303.82978723404256,689.0212765957447,1791.127659574468
16,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #154 (MRPL23),50.48,656.16,12756.56
17,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #161 (MRPL23),159.5,546.0833333333334,16503.25
18,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #162 (MRPL23),125.83333333333333,405.6666666666667,3049.5
19,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #180 (MRPL23),169.63636363636363,414.45454545454544,1673.1818181818182
20,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #204 (MRPL23),151.0,469.5238095238095,15873.47619047619
21,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #239 (MRPL23),90.8157894736842,658.2894736842105,21438.57894736842
22,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #244 (MRPL23),148.05357142857142,794.9107142857143,3489.3571428571427
23,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #247 (MRPL23),355.36486486486484,2439.2702702702704,3369.0945945945946
24,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #256 (MRPL23),88.22727272727273,1212.6818181818182,2343.0454545454545
25,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #264 (MRPL23),247.02941176470588,1397.75,4056.235294117647
26,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #266 (MRPL23),180.79032258064515,1039.9032258064517,8683.935483870968
27,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #268 (MRPL23),159.45454545454547,1452.7662337662337,3046.935064935065
28,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #273 (MRPL23),237.5,909.6470588235294,2008.6176470588234
29,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #275 (MRPL23),234.47727272727272,1839.3863636363637,4036.7386363636365
30,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #276 (MRPL23),326.6478873239437,1174.5070422535211,1512.3521126760563
31,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #277 (MRPL23),215.09259259259258,773.9814814814815,2307.314814814815
32,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #280 (MRPL23),134.3921568627451,861.5098039215686,4490.156862745098
33,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #281 (MRPL23),29.53846153846154,605.2307692307693,5125.576923076923
34,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #284 (MRPL23),255.76470588235293,1380.1911764705883,1645.4117647058824
35,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #285 (MRPL23),467.8,1138.7,6098.45
36,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #288 (MRPL23),281.1682242990654,1378.8691588785048,4154.644859813084
37,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #303 (MRPL23),115.3529411764706,496.4117647058824,1740.0588235294117
38,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #304 (MRPL23),172.03030303030303,1514.6515151515152,4367.530303030303
39,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #307 (MRPL23),159.51612903225808,1096.0645161290322,3985.6935483870966
