,image name,object name,avg int channel 1,avg int channel 2,avg int channel 3
0,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (ND4 Blob Finder),251.0,62.0,4094.0
1,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #003 (ND4 Blob Finder),319.5,234.8,2304.9666666666667
2,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (ND4 Blob Finder),383.625,65.375,2378.5416666666665
3,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (ND4 Blob Finder),454.46031746031747,222.26984126984127,7178.190476190476
4,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #006 (ND4 Blob Finder),295.921568627451,448.45098039215685,6567.686274509804
5,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #007 (ND4 Blob Finder),452.1142857142857,154.4,6094.885714285714
6,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #008 (ND4 Blob Finder),296.74285714285713,246.25714285714287,2918.6
7,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #009 (ND4 Blob Finder),388.5681818181818,138.9431818181818,3750.818181818182
8,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #010 (ND4 Blob Finder),437.0,167.34146341463415,1699.2439024390244
9,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #011 (ND4 Blob Finder),219.35714285714286,113.5,1234.607142857143
10,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #012 (ND4 Blob Finder),438.6625,165.9875,6778.1125
11,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #013 (ND4 Blob Finder),499.1857142857143,115.9,4107.171428571429
12,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (ND4 Blob Finder),180.33333333333334,142.08333333333334,2371.25
13,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #017 (ND4 Blob Finder),249.32075471698113,105.26415094339623,3272.5849056603774
14,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #018 (ND4 Blob Finder),274.625,218.8,5679.475
15,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #020 (ND4 Blob Finder),373.9230769230769,214.78021978021977,7579.67032967033
16,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #022 (ND4 Blob Finder),325.35616438356163,76.58904109589041,1783.041095890411
17,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #023 (ND4 Blob Finder),419.6393442622951,194.9344262295082,4065.2131147540986
18,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #025 (ND4 Blob Finder),406.0,151.0983606557377,2715.9180327868853
19,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #027 (ND4 Blob Finder),239.64,182.76,2743.48
20,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #028 (ND4 Blob Finder),250.83333333333334,408.25,16190.25
21,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #029 (ND4 Blob Finder),182.125,217.375,3312.0
22,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #031 (ND4 Blob Finder),192.0,154.5,2720.5833333333335
23,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #032 (ND4 Blob Finder),255.3125,792.0,5124.4375
24,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #034 (ND4 Blob Finder),356.7121212121212,226.0,2496.5454545454545
25,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #035 (ND4 Blob Finder),328.375,177.48214285714286,3457.0535714285716
26,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #040 (ND4 Blob Finder),237.0,181.42857142857142,1605.0
27,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #042 (ND4 Blob Finder),525.6142857142858,147.24285714285713,1539.3285714285714
28,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #043 (ND4 Blob Finder),261.3333333333333,124.66666666666667,1586.9666666666667
29,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #044 (ND4 Blob Finder),229.41666666666666,1837.2222222222222,2574.027777777778
30,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #046 (ND4 Blob Finder),360.2295081967213,116.70491803278688,3520.8032786885246
31,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #052 (ND4 Blob Finder),287.2463768115942,91.3768115942029,4218.724637681159
32,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #053 (ND4 Blob Finder),358.2857142857143,160.16483516483515,1670.4395604395604
33,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #056 (ND4 Blob Finder),211.4375,101.6875,2774.8125
34,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #057 (ND4 Blob Finder),466.54545454545456,251.0909090909091,6536.181818181818
35,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #061 (ND4 Blob Finder),216.0487804878049,126.07317073170732,3693.6585365853657
36,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #062 (ND4 Blob Finder),440.3943661971831,100.50704225352112,1885.619718309859
37,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #064 (ND4 Blob Finder),836.8470588235294,194.16470588235293,4278.6
38,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #066 (ND4 Blob Finder),596.6290322580645,148.5,1680.467741935484
39,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #069 (ND4 Blob Finder),276.98148148148147,81.12962962962963,1497.037037037037
40,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #073 (ND4 Blob Finder),235.8,169.08,1690.8
41,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #076 (ND4 Blob Finder),394.1525423728813,482.728813559322,1880.1186440677966
42,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #080 (ND4 Blob Finder),469.5128205128205,137.75641025641025,4843.128205128205
43,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #081 (ND4 Blob Finder),393.6232876712329,811.1643835616438,3965.0
44,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #082 (ND4 Blob Finder),341.0983606557377,123.67213114754098,1609.1639344262296
45,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #083 (ND4 Blob Finder),290.0625,189.14583333333334,1233.2916666666667
46,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #088 (ND4 Blob Finder),223.16666666666666,161.66666666666666,5080.277777777777
47,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #089 (ND4 Blob Finder),440.86764705882354,115.98529411764706,2576.5882352941176
48,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #091 (ND4 Blob Finder),425.1029411764706,131.27941176470588,7229.64705882353
49,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #093 (ND4 Blob Finder),306.62068965517244,173.10344827586206,3334.5172413793102
50,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #095 (ND4 Blob Finder),241.1153846153846,150.30769230769232,1385.3846153846155
51,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #097 (ND4 Blob Finder),432.4492753623188,76.98550724637681,1411.5652173913043
52,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #104 (ND4 Blob Finder),274.2631578947368,137.10526315789474,1047.8157894736842
53,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #107 (ND4 Blob Finder),191.475,272.275,9539.6
54,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #111 (ND4 Blob Finder),219.57894736842104,98.84210526315789,6415.394736842105
55,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #115 (ND4 Blob Finder),279.15686274509807,60.372549019607845,3542.529411764706
56,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #119 (ND4 Blob Finder),351.03921568627453,191.2941176470588,4952.137254901961
57,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #124 (ND4 Blob Finder),388.53,1602.54,4249.17
58,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #125 (ND4 Blob Finder),468.8804347826087,209.54347826086956,4235.815217391304
59,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #126 (ND4 Blob Finder),241.04761904761904,795.7619047619048,2450.809523809524
60,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #127 (ND4 Blob Finder),627.6888888888889,206.2888888888889,4128.533333333334
61,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #128 (ND4 Blob Finder),515.945205479452,296.3150684931507,4695.164383561644
62,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #131 (ND4 Blob Finder),383.0188679245283,91.54716981132076,4120.094339622641
63,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #133 (ND4 Blob Finder),348.18918918918916,282.18918918918916,8101.189189189189
64,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #134 (ND4 Blob Finder),354.8615384615385,633.0,3619.9846153846156
65,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #135 (ND4 Blob Finder),262.9375,97.375,2930.125
66,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #136 (ND4 Blob Finder),322.9166666666667,200.14583333333334,13348.020833333334
67,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #138 (ND4 Blob Finder),268.6666666666667,1772.3333333333333,4170.5
68,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #139 (ND4 Blob Finder),349.52702702702703,84.3108108108108,2302.2162162162163
69,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #141 (ND4 Blob Finder),264.04761904761904,913.7619047619048,2596.3333333333335
70,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #142 (ND4 Blob Finder),322.0263157894737,677.9736842105264,2865.5
71,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #143 (ND4 Blob Finder),668.3829787234042,372.4148936170213,2339.808510638298
72,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #144 (ND4 Blob Finder),456.3666666666667,127.76666666666667,2152.5666666666666
73,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #146 (ND4 Blob Finder),278.2647058823529,370.5882352941176,2629.470588235294
74,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #148 (ND4 Blob Finder),424.4864864864865,130.74324324324326,2584.445945945946
75,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #149 (ND4 Blob Finder),355.5660377358491,902.1132075471698,1697.5849056603774
