,image name,sum of mito area,number of ND4,sum of ND4 area,avg ND4 area,number of MRPL23,sum of MRPL23 area,avg of MRPL23 area,number of ND4 with MRPL23,percent of ND4 with MRPL23,avg percent of simulated ND4 with MRPL23,std percent of simulated ND4 with MRPL23
0,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,558.2777398397653,2039,131.54856820411575,0.0645162178539067,1101,61.85666031850547,0.05618225278701677,504,24.717999019127024,19.062775870524767,0.7061726377611629
1,ND4-647_MRPL23-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,533.8912403167947,2043,131.70179746729312,0.06446490331242932,795,44.57912657048464,0.056074373044634765,417,20.411160058737153,14.379833578071464,0.6466964570637912
2,ND4-647_MRPL23-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,443.9799214068197,1832,106.85685592113597,0.05832797812289082,431,14.770428933838705,0.03427013673744479,237,12.936681222707424,7.588973799126638,0.5141337923923407
3,ND4-647_MRPL23-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,589.7451753943999,2135,119.20676080331958,0.05583454838562978,1118,61.75886765867277,0.05524048985570015,502,23.51288056206089,16.66088992974239,0.6782400777160801
4,ND4-647_MRPL23-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,401.1398846850569,1571,90.76965193706594,0.057778263486356424,905,47.605093076645325,0.05260231279187329,397,25.270528325907065,19.73074474856779,0.8760267994294285
5,ND4-647_MRPL23-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,639.46807129551,2276,139.7911813733262,0.061419675471584445,1188,68.19947977759034,0.05740696950975618,576,25.30755711775044,17.49780316344464,0.6941777395231394
6,ND4-647_MRPL23-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,703.0114992752657,2322,109.86662746452183,0.04731551570392843,1439,81.35913279851599,0.05653866073559137,542,23.34194659776055,17.204134366925064,0.6922478708953883
7,ND4-647_MRPL23-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,325.7510872018173,1227,75.59746334977444,0.06161162457194331,637,36.041889655408795,0.056580674498286965,309,25.183374083129586,18.450692746536266,0.9388560253065585
8,ND4-647_MRPL23-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,429.06996663977776,872,29.19453481756927,0.033479971121065676,917,50.03433749287149,0.054563072511310234,181,20.756880733944953,15.865825688073395,1.0235638873032125
9,ND4-647_MRPL23-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,354.9387703043202,1381,88.71289166466114,0.06423815471735057,683,41.47592254955163,0.06072609450886037,374,27.08182476466329,18.87762490948588,0.9390936080522831
