ROI_0 distance (micron),ROI_0 Channel_1,ROI_0 Channel_2,ROI_0 Channel_3,ROI_1 distance (micron),ROI_1 Channel_1,ROI_1 Channel_2,ROI_1 Channel_3,ROI_2 distance (micron),ROI_2 Channel_1,ROI_2 Channel_2,ROI_2 Channel_3,ROI_3 distance (micron),ROI_3 Channel_1,ROI_3 Channel_2,ROI_3 Channel_3,ROI_4 distance (micron),ROI_4 Channel_1,ROI_4 Channel_2,ROI_4 Channel_3,ROI_5 distance (micron),ROI_5 Channel_1,ROI_5 Channel_2,ROI_5 Channel_3,ROI_6 distance (micron),ROI_6 Channel_1,ROI_6 Channel_2,ROI_6 Channel_3,ROI_7 distance (micron),ROI_7 Channel_1,ROI_7 Channel_2,ROI_7 Channel_3,ROI_8 distance (micron),ROI_8 Channel_1,ROI_8 Channel_2,ROI_8 Channel_3,ROI_9 distance (micron),ROI_9 Channel_1,ROI_9 Channel_2,ROI_9 Channel_3,ROI_10 distance (micron),ROI_10 Channel_1,ROI_10 Channel_2,ROI_10 Channel_3,ROI_11 distance (micron),ROI_11 Channel_1,ROI_11 Channel_2,ROI_11 Channel_3,ROI_12 distance (micron),ROI_12 Channel_1,ROI_12 Channel_2,ROI_12 Channel_3,ROI_13 distance (micron),ROI_13 Channel_1,ROI_13 Channel_2,ROI_13 Channel_3,ROI_14 distance (micron),ROI_14 Channel_1,ROI_14 Channel_2,ROI_14 Channel_3,ROI_15 distance (micron),ROI_15 Channel_1,ROI_15 Channel_2,ROI_15 Channel_3,ROI_16 distance (micron),ROI_16 Channel_1,ROI_16 Channel_2,ROI_16 Channel_3,ROI_17 distance (micron),ROI_17 Channel_1,ROI_17 Channel_2,ROI_17 Channel_3,ROI_18 distance (micron),ROI_18 Channel_1,ROI_18 Channel_2,ROI_18 Channel_3,ROI_19 distance (micron),ROI_19 Channel_1,ROI_19 Channel_2,ROI_19 Channel_3,ROI_20 distance (micron),ROI_20 Channel_1,ROI_20 Channel_2,ROI_20 Channel_3,ROI_21 distance (micron),ROI_21 Channel_1,ROI_21 Channel_2,ROI_21 Channel_3,ROI_22 distance (micron),ROI_22 Channel_1,ROI_22 Channel_2,ROI_22 Channel_3,ROI_23 distance (micron),ROI_23 Channel_1,ROI_23 Channel_2,ROI_23 Channel_3,ROI_24 distance (micron),ROI_24 Channel_1,ROI_24 Channel_2,ROI_24 Channel_3,ROI_25 distance (micron),ROI_25 Channel_1,ROI_25 Channel_2,ROI_25 Channel_3,ROI_26 distance (micron),ROI_26 Channel_1,ROI_26 Channel_2,ROI_26 Channel_3,ROI_27 distance (micron),ROI_27 Channel_1,ROI_27 Channel_2,ROI_27 Channel_3,ROI_28 distance (micron),ROI_28 Channel_1,ROI_28 Channel_2,ROI_28 Channel_3,ROI_29 distance (micron),ROI_29 Channel_1,ROI_29 Channel_2,ROI_29 Channel_3,ROI_30 distance (micron),ROI_30 Channel_1,ROI_30 Channel_2,ROI_30 Channel_3,ROI_31 distance (micron),ROI_31 Channel_1,ROI_31 Channel_2,ROI_31 Channel_3,ROI_32 distance (micron),ROI_32 Channel_1,ROI_32 Channel_2,ROI_32 Channel_3,ROI_33 distance (micron),ROI_33 Channel_1,ROI_33 Channel_2,ROI_33 Channel_3,ROI_34 distance (micron),ROI_34 Channel_1,ROI_34 Channel_2,ROI_34 Channel_3,ROI_35 distance (micron),ROI_35 Channel_1,ROI_35 Channel_2,ROI_35 Channel_3,ROI_36 distance (micron),ROI_36 Channel_1,ROI_36 Channel_2,ROI_36 Channel_3,ROI_37 distance (micron),ROI_37 Channel_1,ROI_37 Channel_2,ROI_37 Channel_3,ROI_38 distance (micron),ROI_38 Channel_1,ROI_38 Channel_2,ROI_38 Channel_3,ROI_39 distance (micron),ROI_39 Channel_1,ROI_39 Channel_2,ROI_39 Channel_3,ROI_40 distance (micron),ROI_40 Channel_1,ROI_40 Channel_2,ROI_40 Channel_3,ROI_41 distance (micron),ROI_41 Channel_1,ROI_41 Channel_2,ROI_41 Channel_3,ROI_42 distance (micron),ROI_42 Channel_1,ROI_42 Channel_2,ROI_42 Channel_3,ROI_43 distance (micron),ROI_43 Channel_1,ROI_43 Channel_2,ROI_43 Channel_3,ROI_44 distance (micron),ROI_44 Channel_1,ROI_44 Channel_2,ROI_44 Channel_3,ROI_45 distance (micron),ROI_45 Channel_1,ROI_45 Channel_2,ROI_45 Channel_3,ROI_46 distance (micron),ROI_46 Channel_1,ROI_46 Channel_2,ROI_46 Channel_3,ROI_47 distance (micron),ROI_47 Channel_1,ROI_47 Channel_2,ROI_47 Channel_3,ROI_48 distance (micron),ROI_48 Channel_1,ROI_48 Channel_2,ROI_48 Channel_3,ROI_49 distance (micron),ROI_49 Channel_1,ROI_49 Channel_2,ROI_49 Channel_3,ROI_50 distance (micron),ROI_50 Channel_1,ROI_50 Channel_2,ROI_50 Channel_3,ROI_51 distance (micron),ROI_51 Channel_1,ROI_51 Channel_2,ROI_51 Channel_3,ROI_52 distance (micron),ROI_52 Channel_1,ROI_52 Channel_2,ROI_52 Channel_3,ROI_53 distance (micron),ROI_53 Channel_1,ROI_53 Channel_2,ROI_53 Channel_3,ROI_54 distance (micron),ROI_54 Channel_1,ROI_54 Channel_2,ROI_54 Channel_3,ROI_55 distance (micron),ROI_55 Channel_1,ROI_55 Channel_2,ROI_55 Channel_3,ROI_56 distance (micron),ROI_56 Channel_1,ROI_56 Channel_2,ROI_56 Channel_3,ROI_57 distance (micron),ROI_57 Channel_1,ROI_57 Channel_2,ROI_57 Channel_3,ROI_58 distance (micron),ROI_58 Channel_1,ROI_58 Channel_2,ROI_58 Channel_3,ROI_59 distance (micron),ROI_59 Channel_1,ROI_59 Channel_2,ROI_59 Channel_3,ROI_60 distance (micron),ROI_60 Channel_1,ROI_60 Channel_2,ROI_60 Channel_3,ROI_61 distance (micron),ROI_61 Channel_1,ROI_61 Channel_2,ROI_61 Channel_3,ROI_62 distance (micron),ROI_62 Channel_1,ROI_62 Channel_2,ROI_62 Channel_3,ROI_63 distance (micron),ROI_63 Channel_1,ROI_63 Channel_2,ROI_63 Channel_3,ROI_64 distance (micron),ROI_64 Channel_1,ROI_64 Channel_2,ROI_64 Channel_3,ROI_65 distance (micron),ROI_65 Channel_1,ROI_65 Channel_2,ROI_65 Channel_3,ROI_66 distance (micron),ROI_66 Channel_1,ROI_66 Channel_2,ROI_66 Channel_3,ROI_67 distance (micron),ROI_67 Channel_1,ROI_67 Channel_2,ROI_67 Channel_3,ROI_68 distance (micron),ROI_68 Channel_1,ROI_68 Channel_2,ROI_68 Channel_3,ROI_69 distance (micron),ROI_69 Channel_1,ROI_69 Channel_2,ROI_69 Channel_3,ROI_70 distance (micron),ROI_70 Channel_1,ROI_70 Channel_2,ROI_70 Channel_3,ROI_71 distance (micron),ROI_71 Channel_1,ROI_71 Channel_2,ROI_71 Channel_3,ROI_72 distance (micron),ROI_72 Channel_1,ROI_72 Channel_2,ROI_72 Channel_3,ROI_73 distance (micron),ROI_73 Channel_1,ROI_73 Channel_2,ROI_73 Channel_3,ROI_74 distance (micron),ROI_74 Channel_1,ROI_74 Channel_2,ROI_74 Channel_3,ROI_75 distance (micron),ROI_75 Channel_1,ROI_75 Channel_2,ROI_75 Channel_3,ROI_76 distance (micron),ROI_76 Channel_1,ROI_76 Channel_2,ROI_76 Channel_3,ROI_77 distance (micron),ROI_77 Channel_1,ROI_77 Channel_2,ROI_77 Channel_3,ROI_78 distance (micron),ROI_78 Channel_1,ROI_78 Channel_2,ROI_78 Channel_3,ROI_79 distance (micron),ROI_79 Channel_1,ROI_79 Channel_2,ROI_79 Channel_3,ROI_80 distance (micron),ROI_80 Channel_1,ROI_80 Channel_2,ROI_80 Channel_3,ROI_81 distance (micron),ROI_81 Channel_1,ROI_81 Channel_2,ROI_81 Channel_3,ROI_82 distance (micron),ROI_82 Channel_1,ROI_82 Channel_2,ROI_82 Channel_3,ROI_83 distance (micron),ROI_83 Channel_1,ROI_83 Channel_2,ROI_83 Channel_3,ROI_84 distance (micron),ROI_84 Channel_1,ROI_84 Channel_2,ROI_84 Channel_3,ROI_85 distance (micron),ROI_85 Channel_1,ROI_85 Channel_2,ROI_85 Channel_3,ROI_86 distance (micron),ROI_86 Channel_1,ROI_86 Channel_2,ROI_86 Channel_3,ROI_87 distance (micron),ROI_87 Channel_1,ROI_87 Channel_2,ROI_87 Channel_3,ROI_88 distance (micron),ROI_88 Channel_1,ROI_88 Channel_2,ROI_88 Channel_3,ROI_89 distance (micron),ROI_89 Channel_1,ROI_89 Channel_2,ROI_89 Channel_3,ROI_90 distance (micron),ROI_90 Channel_1,ROI_90 Channel_2,ROI_90 Channel_3,ROI_91 distance (micron),ROI_91 Channel_1,ROI_91 Channel_2,ROI_91 Channel_3,ROI_92 distance (micron),ROI_92 Channel_1,ROI_92 Channel_2,ROI_92 Channel_3,ROI_93 distance (micron),ROI_93 Channel_1,ROI_93 Channel_2,ROI_93 Channel_3,ROI_94 distance (micron),ROI_94 Channel_1,ROI_94 Channel_2,ROI_94 Channel_3,ROI_95 distance (micron),ROI_95 Channel_1,ROI_95 Channel_2,ROI_95 Channel_3
0.000,5573.984,9926.291,10604.817,0.000,2607.607,140.998,217.012,0.000,5719.823,25328.273,4299.899,0.000,9239.996,10771.467,871.135,0.000,8245.958,2607.947,1951.822,0.000,7462.248,1108.281,167.259,0.000,3643.451,1370.004,367.798,0.000,3523.121,1590.827,1770.914,0.000,4836.860,2141.367,359.512,0.000,4949.073,2169.968,237.664,0.000,2487.728,161.735,182.642,0.000,7485.374,210.387,317.306,0.000,5997.211,3456.631,801.766,0.000,5816.630,473.494,457.951,0.000,3316.485,1315.335,4371.309,0.000,3513.774,5231.769,1140.462,0.000,1309.855,325.833,178.710,0.000,4777.221,2229.735,461.139,0.000,5071.210,9457.476,890.035,0.000,5253.805,240.624,92.273,0.000,8188.408,16902.849,8524.286,0.000,3821.368,116.508,122.649,0.000,3145.400,571.611,344.797,0.000,11221.461,13930.363,10477.607,0.000,4065.822,714.134,650.792,0.000,5769.802,135.788,102.469,0.000,2733.082,108.150,121.993,0.000,5343.905,9380.958,330.931,0.000,5464.800,6302.600,532.400,0.000,5025.686,3431.850,1386.100,0.000,2961.934,9421.846,5193.424,0.000,5173.170,10705.212,628.560,0.000,6095.449,15055.848,18066.624,0.000,5714.368,24217.483,20059.693,0.000,4584.304,340.697,207.230,0.000,3139.945,1051.988,284.635,0.000,2007.463,124.710,284.926,0.000,5157.703,2893.769,380.334,0.000,6028.665,4220.626,1017.335,0.000,4551.777,1343.096,278.074,0.000,6146.660,6055.283,1727.565,0.000,3845.390,8112.365,11607.634,0.000,5481.747,181.915,436.361,0.000,3443.246,99.791,477.180,0.000,4674.239,393.358,252.886,0.000,5567.971,14902.210,11949.696,0.000,8232.736,1284.375,152.828,0.000,2565.133,198.554,265.451,0.000,4022.038,1130.995,204.670,0.000,3933.612,1863.662,174.960,0.000,2991.981,128.879,157.057,0.000,8027.511,858.253,346.282,0.000,2319.392,5771.588,2667.698,0.000,6537.447,7524.622,3730.188,0.000,5843.232,10473.702,3060.385,0.000,5016.395,2800.789,231.014,0.000,4032.600,1635.000,168.800,0.000,2509.977,91.971,99.341,0.000,3867.613,256.922,315.868,0.000,4892.067,19115.044,6491.190,0.000,1803.072,1212.010,411.593,0.000,1620.058,1426.468,295.321,0.000,3384.611,11094.370,589.194,0.000,2854.287,1489.552,225.074,0.000,3801.233,99.820,164.739,0.000,4585.170,12977.495,10691.420,0.000,2174.400,5020.200,491.800,0.000,8046.271,3698.262,1028.475,0.000,2369.782,6221.110,641.329,0.000,2365.913,300.467,560.726,0.000,969.787,83.465,834.712,0.000,5080.528,8933.098,2342.628,0.000,3047.246,1833.793,526.899,0.000,2589.070,424.324,222.202,0.000,1390.187,164.866,220.479,0.000,3095.794,9021.395,320.802,0.000,3302.949,6513.399,2290.208,0.000,3128.600,11737.200,15990.800,0.000,9163.250,429.433,197.851,0.000,6754.086,926.206,557.670,0.000,6983.873,16663.772,11375.425,0.000,3408.724,158.044,515.064,0.000,2312.000,3323.670,1365.371,0.000,5395.300,13723.417,14205.380,0.000,3757.786,2028.274,281.814,0.000,2571.824,12420.536,7031.905,0.000,1164.772,839.931,244.571,0.000,923.215,154.016,251.600,0.000,2444.400,2833.000,756.000,0.000,1795.255,3871.430,606.355,0.000,2809.183,5471.120,3282.330,0.000,2023.084,112.185,196.864,0.000,2562.542,7963.234,8326.777,0.000,2411.626,598.836,194.603,0.000,1084.933,200.272,275.919,0.000,1555.882,204.693,304.569
0.035,6343.983,14867.943,13200.776,0.035,2677.412,201.584,427.214,0.035,6073.191,23340.558,3101.793,0.035,9099.732,14048.801,884.135,0.035,8164.341,1284.723,1377.771,0.035,7957.663,2443.947,205.692,0.035,3433.278,2062.746,357.631,0.035,3274.100,580.606,563.449,0.035,5032.254,3338.296,414.845,0.035,4774.615,1913.464,163.205,0.035,2876.314,123.233,277.102,0.035,7652.910,186.959,204.633,0.035,5921.392,1943.192,807.476,0.035,5648.069,1465.141,755.272,0.035,3389.250,612.817,2370.355,0.035,3591.945,8664.814,1274.867,0.035,1399.229,339.360,170.988,0.035,4657.407,1157.523,403.556,0.035,5296.345,9331.567,1325.880,0.035,5773.545,595.971,106.633,0.035,8596.553,15696.267,7710.460,0.035,4129.627,106.904,127.855,0.035,3083.160,806.641,364.853,0.035,11810.603,16064.030,11970.701,0.035,3968.355,215.989,619.638,0.035,5629.912,98.465,74.454,0.035,3177.706,132.001,127.028,0.035,5311.485,6004.088,213.229,0.035,5170.480,5656.848,412.205,0.035,5511.127,1872.489,1811.811,0.035,3853.562,9120.367,3240.972,0.035,5428.256,9420.461,605.152,0.035,6380.986,8568.943,11464.270,0.035,5258.545,19762.201,15321.416,0.035,4620.989,490.360,136.935,0.035,2982.027,1831.008,265.440,0.035,2085.867,72.450,195.377,0.035,5300.019,4897.972,301.275,0.035,6366.627,4938.552,1841.251,0.035,4503.835,334.958,203.407,0.035,6180.529,6142.181,2762.688,0.035,4231.448,7856.470,7798.707,0.035,5349.066,144.103,385.570,0.035,3697.795,92.968,624.722,0.035,4326.284,262.492,212.396,0.035,6280.165,20872.331,17063.904,0.035,8968.883,1674.251,115.493,0.035,2532.856,255.311,186.046,0.035,4582.383,1557.741,113.668,0.035,4259.940,3030.790,188.779,0.035,3403.197,111.912,106.030,0.035,8302.702,1652.769,350.992,0.035,2297.301,6501.752,1921.718,0.035,6914.903,11843.610,5679.643,0.035,5560.895,13122.989,5582.572,0.035,4961.582,4196.641,248.175,0.035,3715.944,2369.955,179.451,0.035,2661.681,134.753,97.603,0.035,4451.495,392.272,282.588,0.035,4756.046,16519.519,4452.628,0.035,1951.765,1723.814,644.634,0.035,1582.196,1510.649,815.856,0.035,3501.129,9206.642,1075.904,0.035,2573.692,1412.501,247.940,0.035,3526.625,125.453,189.702,0.035,4335.769,10732.747,10359.265,0.035,2258.348,4240.300,938.190,0.035,8096.636,6311.244,1277.150,0.035,2544.485,6896.995,1079.412,0.035,2260.034,220.322,364.516,0.035,1056.136,163.344,924.201,0.035,5465.637,13726.222,4045.968,0.035,3155.894,4017.765,835.131,0.035,3198.761,628.098,275.088,0.035,1253.418,200.950,311.570,0.035,3142.448,7316.143,319.806,0.035,3631.066,6509.336,1912.601,0.035,3522.810,15896.571,17249.115,0.035,9864.322,314.669,201.100,0.035,6792.303,1620.448,1407.879,0.035,7318.280,22357.598,10618.702,0.035,3521.036,178.317,747.290,0.035,2429.423,4514.747,2409.260,0.035,4917.141,13983.337,18404.918,0.035,3681.099,1244.556,371.233,0.035,2627.831,9090.458,4326.865,0.035,1787.708,1782.318,271.434,0.035,1846.572,659.036,394.544,0.035,2420.786,3272.391,632.478,0.035,1714.310,4940.007,778.172,0.035,2800.443,3147.848,2747.247,0.035,2282.401,119.545,243.781,0.035,2436.901,9460.283,6553.995,0.035,2237.689,1429.417,504.654,0.035,1705.231,300.481,448.943,0.035,1621.544,127.053,333.308
0.071,6882.304,18058.223,13145.190,0.071,2767.438,266.867,470.883,0.071,6257.770,18586.628,2880.126,0.071,8784.692,14803.609,2088.581,0.071,7796.879,429.770,1210.652,0.071,8587.190,4006.866,240.781,0.071,3112.646,2504.154,311.934,0.071,2973.039,342.302,202.864,0.071,4457.988,4082.291,573.699,0.071,4622.894,1697.135,137.136,0.071,3136.088,125.735,241.982,0.071,7404.775,164.358,193.807,0.071,5767.465,1351.768,821.944,0.071,5481.089,3239.962,1780.690,0.071,3629.991,584.040,1578.302,0.071,3577.228,10116.635,921.359,0.071,1572.722,364.489,270.437,0.071,4934.346,786.099,171.595,0.071,5471.276,10117.334,2815.713,0.071,6154.682,923.213,141.406,0.071,8587.123,13515.699,6327.268,0.071,4340.659,74.262,165.610,0.071,3069.115,3894.820,387.910,0.071,11893.503,17540.818,11054.920,0.071,3859.211,151.536,476.270,0.071,4993.154,96.753,76.886,0.071,3689.037,99.593,126.879,0.071,5446.743,4483.616,206.723,0.071,4756.964,4987.026,383.667,0.071,5943.909,1325.990,1895.246,0.071,4045.710,6297.449,1067.413,0.071,5615.482,7758.148,472.490,0.071,6745.830,4200.036,5504.287,0.071,4913.502,14227.687,9079.933,0.071,4667.500,689.456,205.452,0.071,2840.032,2060.067,230.566,0.071,2090.666,61.828,213.359,0.071,5157.267,5460.685,265.887,0.071,6339.842,5019.683,2998.548,0.071,4365.016,231.910,185.512,0.071,6418.996,8466.264,4206.641,0.071,4588.908,6901.353,4724.647,0.071,4970.723,109.021,461.834,0.071,3723.510,114.314,1059.362,0.071,4239.053,169.197,187.460,0.071,6834.184,24809.462,20518.752,0.071,9264.902,1439.277,128.774,0.071,2441.228,279.228,250.661,0.071,5132.264,1978.955,91.959,0.071,4496.702,3882.580,316.424,0.071,3732.695,95.777,90.084,0.071,8838.406,2509.764,339.776,0.071,2239.536,6418.289,1353.766,0.071,7243.208,15718.317,7433.847,0.071,5205.712,16096.382,10009.265,0.071,4869.866,5038.126,174.541,0.071,3533.127,2702.108,169.275,0.071,2683.498,176.606,152.010,0.071,4959.389,607.207,418.340,0.071,4503.935,14130.117,3418.044,0.071,1944.829,1569.433,661.825,0.071,1331.572,1171.579,1529.333,0.071,3515.385,7286.959,1947.402,0.071,2194.401,1772.775,480.389,0.071,3150.451,140.085,152.528,0.071,3922.548,8602.756,8694.773,0.071,2418.795,3889.254,1665.017,0.071,7978.741,8065.756,1515.538,0.071,2608.412,6657.621,1635.422,0.071,2162.361,195.589,325.814,0.071,1319.857,312.491,838.606,0.071,5821.604,16147.744,7078.441,0.071,3020.911,6866.196,980.507,0.071,3723.812,824.812,375.399,0.071,1133.721,135.855,210.359,0.071,3091.653,7486.231,886.855,0.071,3477.047,5773.704,2584.065,0.071,3778.816,20063.559,15578.641,0.071,10145.830,271.579,182.331,0.071,6810.584,3493.053,2858.387,0.071,7502.874,22827.238,11276.284,0.071,3504.651,162.088,788.932,0.071,2481.117,6344.123,4107.551,0.071,4793.099,13741.317,19002.503,0.071,3699.640,1724.213,478.486,0.071,2583.738,6017.474,1803.879,0.071,1829.700,2363.650,464.310,0.071,1798.548,1787.114,926.727,0.071,2381.588,3626.484,415.059,0.071,1715.935,6556.476,856.968,0.071,2838.079,1155.777,1490.296,0.071,2484.082,127.941,217.030,0.071,2306.823,10895.376,5737.063,0.071,2011.136,2520.567,1742.027,0.071,1731.664,284.225,392.222,0.071,1700.992,128.331,367.720
0.106,7679.453,20749.135,13984.600,0.106,2832.374,315.728,352.783,0.106,6310.852,12623.494,2959.723,0.106,8350.800,12864.367,5956.932,0.106,7633.763,375.525,603.632,0.106,8408.853,5914.797,240.210,0.106,2639.658,2455.002,262.247,0.106,2688.501,499.021,300.034,0.106,4089.517,5019.061,1426.701,0.106,4585.038,1713.707,140.275,0.106,3363.554,142.482,270.485,0.106,6806.959,127.699,192.549,0.106,5616.617,929.991,977.543,0.106,5566.991,4066.135,3406.800,0.106,3895.221,859.047,1185.028,0.106,3694.682,11065.901,730.841,0.106,1791.173,506.674,343.540,0.106,4618.794,389.321,201.307,0.106,5425.542,11813.531,4953.986,0.106,6499.195,1595.507,188.365,0.106,8179.362,10425.553,2381.627,0.106,4182.776,66.678,168.509,0.106,3113.487,8790.117,727.169,0.106,11542.095,18194.985,8773.938,0.106,3615.194,172.065,315.172,0.106,4653.121,113.340,90.829,0.106,4042.471,134.525,147.193,0.106,5834.679,3941.935,184.674,0.106,4303.895,4119.952,324.622,0.106,6204.867,1536.636,2090.119,0.106,4107.501,3497.509,546.140,0.106,5449.884,4141.322,369.944,0.106,6588.464,3974.200,3074.421,0.106,4717.584,9371.386,4009.270,0.106,4643.853,995.755,253.686,0.106,2667.733,2001.683,191.594,0.106,2139.445,89.140,261.458,0.106,5426.009,5603.473,260.994,0.106,6009.628,5018.071,5364.734,0.106,4532.595,207.808,283.750,0.106,6128.315,9960.806,7317.232,0.106,4846.305,5633.312,1586.512,0.106,4486.094,115.251,420.843,0.106,3666.315,119.895,1376.595,0.106,4182.043,192.028,152.419,0.106,7081.965,24814.465,20313.165,0.106,9439.009,1189.006,100.806,0.106,2562.709,367.056,186.186,0.106,5635.139,2052.749,94.882,0.106,4994.605,4223.239,369.739,0.106,4038.338,83.446,152.070,0.106,9319.903,2678.938,365.005,0.106,2046.917,6457.925,1453.700,0.106,7402.415,17965.960,7744.158,0.106,4871.450,18545.012,14563.783,0.106,4553.730,4462.971,195.956,0.106,3526.994,2516.634,249.992,0.106,2602.366,182.875,180.202,0.106,5409.482,1401.651,560.743,0.106,4184.122,13763.487,4854.467,0.106,1890.885,1582.275,564.500,0.106,1272.703,824.596,1357.404,0.106,3542.552,5229.687,1412.454,0.106,1211.692,1226.309,427.060,0.106,2617.791,138.719,156.755,0.106,3398.992,8310.471,7224.128,0.106,2631.981,4868.264,2604.526,0.106,8098.463,6410.744,1201.478,0.106,2686.373,6599.972,1473.859,0.106,2082.342,207.655,263.563,0.106,1424.161,371.513,503.681,0.106,5759.366,10220.561,8702.727,0.106,2803.856,8327.240,1039.656,0.106,4126.708,1112.162,487.046,0.106,989.810,119.060,307.292,0.106,2951.775,8057.924,2178.862,0.106,2614.592,3912.628,3275.605,0.106,3901.245,23053.529,11988.947,0.106,10226.396,268.230,168.941,0.106,6672.121,5441.290,4038.240,0.106,7552.254,18284.394,13747.510,0.106,3376.801,143.408,645.784,0.106,2404.518,7722.785,9155.666,0.106,4877.787,12953.870,15870.957,0.106,3642.719,2083.948,458.489,0.106,2485.613,3810.125,687.233,0.106,2392.096,3018.944,601.046,0.106,3148.597,4449.067,1932.933,0.106,2353.475,3677.596,379.758,0.106,1606.833,7606.668,959.784,0.106,3051.882,1309.554,2466.682,0.106,2636.238,120.911,272.081,0.106,2178.734,11313.033,6980.145,0.106,1770.241,3495.417,3973.025,0.106,2707.107,743.083,520.940,0.106,1731.908,149.941,292.998
0.141,7797.169,19217.223,9834.892,0.141,2825.035,309.468,295.531,0.141,6322.311,7725.751,2667.231,0.141,7883.300,9836.873,11758.181,0.141,7757.419,417.926,359.607,0.141,8000.778,6594.873,256.490,0.141,2366.448,2324.241,313.745,0.141,2794.555,376.780,279.350,0.141,4026.433,5499.145,2976.414,0.141,4644.114,1673.514,161.378,0.141,3487.478,136.326,241.592,0.141,6714.388,116.966,221.695,0.141,5569.074,597.869,794.773,0.141,5670.282,5431.219,5887.022,0.141,3856.176,1130.918,251.487,0.141,3799.056,11372.973,490.486,0.141,2112.178,682.625,521.956,0.141,4190.242,311.828,205.118,0.141,5093.303,13664.464,7326.012,0.141,6422.034,2168.006,216.670,0.141,7797.552,9050.972,1169.357,0.141,3972.350,80.361,296.359,0.141,3207.909,14072.582,2445.445,0.141,10945.813,17915.388,6819.639,0.141,3405.709,156.354,257.437,0.141,4378.379,100.355,120.738,0.141,4395.936,146.573,165.295,0.141,5781.789,1326.099,151.658,0.141,3893.720,3107.514,252.200,0.141,6428.908,2290.849,1918.084,0.141,4233.327,2505.000,632.231,0.141,5433.274,2685.782,307.465,0.141,6578.631,2211.529,632.574,0.141,4579.218,7342.620,2721.077,0.141,4542.721,1592.496,220.511,0.141,2552.583,1710.021,165.415,0.141,2098.139,78.952,200.320,0.141,5647.600,4570.197,253.278,0.141,5446.954,5620.244,10794.016,0.141,4510.701,212.795,380.714,0.141,6098.167,11827.955,9322.497,0.141,5329.584,5436.811,414.242,0.141,4404.353,95.539,253.891,0.141,3607.263,117.173,1503.045,0.141,4253.254,276.334,140.543,0.141,7235.862,21997.056,16252.804,0.141,9612.393,857.127,100.416,0.141,2689.214,615.993,149.653,0.141,5968.962,1794.994,85.677,0.141,5154.955,3728.501,415.402,0.141,4126.304,84.216,200.209,0.141,9628.694,3254.815,317.128,0.141,1932.726,6808.022,1187.420,0.141,7332.204,18273.801,6595.030,0.141,4633.090,19203.822,17247.774,0.141,4202.308,3284.639,145.108,0.141,3664.902,1908.103,408.053,0.141,2449.818,143.415,141.663,0.141,5755.198,2569.025,728.647,0.141,3794.811,14919.540,6215.289,0.141,1928.201,1367.679,472.619,0.141,1403.570,567.895,928.025,0.141,3640.720,3700.303,450.931,0.141,1179.809,1095.865,290.987,0.141,2148.448,189.764,119.104,0.141,3312.846,9019.174,8519.279,0.141,2843.529,6628.394,3334.640,0.141,8105.184,4680.133,1010.145,0.141,2834.394,6411.008,1459.521,0.141,2050.776,161.158,268.542,0.141,1526.181,402.135,436.604,0.141,5859.137,8564.413,9015.567,0.141,2752.245,11013.740,1252.136,0.141,4401.732,2126.911,504.687,0.141,931.473,79.243,274.857,0.141,2761.624,9124.045,3559.537,0.141,2067.428,2796.336,5039.808,0.141,3908.413,23623.141,7949.011,0.141,9878.429,267.084,159.901,0.141,6232.533,5840.017,4952.394,0.141,7420.818,12121.505,12423.754,0.141,3181.879,160.687,448.527,0.141,2379.987,10103.496,12573.747,0.141,4919.033,10928.885,10847.360,0.141,3361.888,2919.978,584.565,0.141,2374.960,2309.370,277.051,0.141,2877.785,3582.949,1907.313,0.141,3158.151,6797.566,4256.135,0.141,2343.517,3986.692,973.593,0.141,1558.014,7406.094,1036.914,0.141,2930.275,615.232,1335.553,0.141,2909.806,104.936,335.562,0.141,2084.286,11377.028,8266.509,0.141,1455.089,3883.575,6573.224,0.141,2519.051,961.253,417.210,0.141,1814.956,189.428,124.398
