,Distance,Channel 1,Channel 2,Channel 3
0,0.0,653431.0629999996,186954.36800000002,1478652.9980000001
1,0.035,637316.7079999993,191106.31700000004,1479034.510000001
2,0.07,621404.2979999997,190937.06799999994,1480615.4159999993
3,0.10500000000000001,607631.1579999998,189917.7399999999,1472179.6019999993
4,0.14,598913.7000000004,189912.08800000013,1450138.104999999
5,0.17500000000000002,596246.3280000002,190003.6629999999,1420962.9440000001
6,0.21000000000000002,604424.180999999,187352.73699999996,1412632.7140000004
7,0.24500000000000002,628721.4339999997,186616.66900000002,1414153.3029999994
8,0.28,673185.9949999999,186739.77800000005,1430669.678
9,0.31500000000000006,736920.5470000006,192892.43699999995,1446728.778
10,0.35000000000000003,818618.3400000007,205338.3870000001,1457532.8860000004
11,0.385,910064.0119999996,220775.89600000007,1467369.0349999995
12,0.42000000000000004,993428.8570000002,230745.40699999998,1464077.1229999997
13,0.45500000000000007,1054891.3860000004,242012.0610000001,1449581.6899999997
14,0.49000000000000005,1082334.3969999994,250637.05400000024,1431210.108000001
15,0.525,1052951.2360000007,252843.59800000023,1407479.9769999993
16,0.56,991179.2039999996,248724.39400000017,1404480.675
17,0.5950000000000001,908190.4320000008,238848.34599999996,1399904.2930000003
18,0.6300000000000001,816376.2119999998,230226.02600000004,1412374.6920000005
19,0.665,736848.1950000004,222814.342,1435153.0069999993
20,0.7000000000000001,673626.5359999998,216031.52799999985,1465916.6840000001
21,0.7350000000000001,633090.595,210590.16699999996,1485312.1679999994
22,0.77,610338.3970000001,204126.361,1481185.4130000006
23,0.805,604108.8210000001,198528.0809999999,1465422.2309999987
24,0.8400000000000001,607000.3029999996,194549.291,1432260.1460000013
25,0.8750000000000001,617064.2679999996,191533.02400000003,1425412.3809999996
26,0.9100000000000001,628962.1029999997,191253.80200000014,1425515.825999999
27,0.9450000000000001,640003.5429999996,193339.748,1420083.2820000004
28,0.9800000000000001,651341.6920000002,190186.32799999983,1419533.123000001
