,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,2108.516435361606,920.3717607787821,958.8887627535341,1060.7331412679944,2167.2198092603976,1352.4089424890753
1,0.035,2081.575529399713,908.7759000645233,949.3356953493135,1058.5557347083873,2152.1084064740835,1328.0164829482758
2,0.07,2052.8884046301987,897.0575037071403,938.4436689203033,1050.5128432776585,2138.3851669739806,1310.3220155742338
3,0.105,2026.2043372259784,884.5274143665096,925.0679522638803,1037.7085528858247,2125.9910913747185,1297.2789582486957
4,0.14,2004.0707203441918,871.433352487228,912.3255675066584,1029.9992963572552,2113.697192583487,1275.5075290042362
5,0.175,1991.6410952673634,857.448352869525,902.4072095881991,1021.0336836399943,2105.2322415488625,1251.493306962099
6,0.21,1994.0646695349315,846.8976608471611,902.3231604179472,1018.5667124040725,2101.3517861094037,1234.7248009763655
7,0.245,2020.6136318377382,845.0521499342499,912.3276994468347,1025.4928231792137,2100.3660389264496,1230.467953102481
8,0.28,2079.9209612784266,854.1200877605627,932.8580522433929,1044.6748122937975,2101.2760303216555,1236.4216484485294
9,0.315,2176.763402786314,870.5528713219579,964.4947281294817,1067.7951923199096,2103.386237246466,1236.8648433705803
10,0.35,2311.0073820938333,897.5094434630989,1004.2051825445604,1094.6853923748295,2112.3746844908833,1227.3642019930503
11,0.385,2464.1972188076215,931.5050199375661,1049.4396885884041,1115.504809491992,2123.503303216554,1217.339739238942
12,0.42,2612.377953493137,966.2768891705816,1097.5848176603156,1150.4518050299394,2132.1578334357714,1207.1963037448836
13,0.455,2726.4963511575497,996.2283354125616,1138.8471903298505,1190.4778545855795,2142.0886181110423,1202.7660732137438
14,0.49,2781.7705396435153,1010.370702243545,1163.4956521204672,1216.1259708846887,2147.4180676090964,1203.4945126928642
15,0.525,2725.720933825036,997.0244884339099,1163.4526609301372,1211.8430032392548,2153.8667543536158,1207.9519993259837
16,0.56,2611.913717066175,969.4705517908724,1145.2077850850237,1187.1425977968445,2155.5485806187257,1216.699333333088
17,0.5950000000000001,2465.8973161237454,935.8947677025592,1110.2506527350952,1148.8433312002255,2154.294329645564,1229.2853752228787
18,0.6300000000000001,2311.744925220242,903.2392265260985,1064.8626336816228,1106.2028016837894,2153.842158574063,1250.8092874139697
19,0.665,2178.1045738578164,874.619623719119,1014.5926756812128,1065.4492112158414,2152.227162056956,1273.62400754919
20,0.7000000000000001,2079.7563427576315,852.9051082856313,969.607061667691,1037.5053898610904,2145.0639653759476,1291.5641548369078
21,0.7350000000000001,2018.6811567301781,842.2636545029015,934.4427711534522,1017.8065573089851,2130.555996107355,1300.9635075508768
22,0.77,1991.8985279655808,843.040954082172,910.1417568121286,1006.0459613394198,2114.399173530014,1299.8703740345004
23,0.805,1989.652586150379,852.6653859167467,899.1191475107561,1003.2662912557246,2102.917341118623,1298.273588729516
24,0.8400000000000001,2002.7979280885063,867.2246479879956,896.4441991395206,1003.9521561203824,2103.398984019668,1305.3170525996559
25,0.8750000000000001,2027.0844173325136,883.4816659646789,905.6067359147715,1012.3443595119242,2112.798488014751,1317.712644220687
26,0.91,2055.3454933415283,902.475062390144,920.3077178856792,1023.9970757498755,2125.0556668715426,1322.6417617387633
27,0.945,2082.2212769924195,920.1247176644233,933.560557877484,1031.9854353202038,2137.6374884245033,1325.37898878841
28,0.98,2108.7503964351563,933.3401628592424,947.357172095882,1041.1003718156123,2144.9829856586766,1316.778082452771
