,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,1605.9794664119709,559.2899483137348,6095.918061445399,7018.67702334576,3951.3039423750397,1870.7298022776502
1,0.035,1588.720805475963,548.5294089509824,6079.611160458453,6943.1805207408015,3932.9617402101244,1883.3387564216591
2,0.07,1570.1097879656163,536.0148315581903,6039.458123845909,6859.936740055492,3912.5770085959884,1880.628982063085
3,0.105,1552.5524845590578,524.6898262854675,6029.565146131806,6828.526353531872,3882.075681948424,1871.1812955082564
4,0.14,1537.7822139446037,515.8612285738789,6056.58105539637,6896.11358432023,3853.9836816300544,1863.7954951733027
5,0.175,1528.6954361668259,507.33738772257055,6113.593268704234,7030.424828629655,3834.027207258835,1862.2647579028762
6,0.21,1530.538047437122,500.24850751724756,6188.682744667303,7153.9897984416675,3824.262451130214,1863.771237922636
7,0.245,1549.4917599490607,495.7443475204835,6224.434888252149,7201.617827691698,3827.3079048073864,1855.4489709439092
8,0.28,1592.5907921044254,496.39000732914025,6211.27435402738,7146.06983248999,3839.383992040751,1847.569726998973
9,0.315,1663.0862298631007,503.53897732296804,6148.924724928367,7013.674078817462,3849.866015281757,1832.4029421005982
10,0.35,1762.6672782553328,515.827993693014,6055.395411015601,6839.016799289405,3865.707496020376,1830.375462762862
11,0.385,1880.1413170964663,533.7260532936552,5945.056803565744,6679.708709675808,3889.720271569564,1828.5991491930674
12,0.42,1996.3290203756765,552.1805136674365,5851.599796561604,6556.419227548293,3916.6332683858645,1826.0667608687468
13,0.455,2088.443860235594,569.9540254543823,5788.726596625278,6475.948051695861,3936.900345431391,1827.7294468632094
14,0.49,2134.967173193251,578.2222260504724,5774.381540273797,6472.407374114367,3955.7430865966253,1846.4895709197594
15,0.525,2088.7057491244827,568.5356510341338,5771.478379815345,6504.986617511616,3980.5674428525945,1861.7844361587672
16,0.56,1995.5119153135945,549.7430395856017,5823.864554600445,6641.212535383188,3998.870830308819,1884.97093654735
17,0.5950000000000001,1878.5415450493472,530.7553169114199,5896.218733205986,6812.666567844524,3998.7523658070672,1890.0517624791776
18,0.6300000000000001,1759.2084132441898,512.9627387973927,5983.91117669532,6989.089744940984,3976.5628592804837,1882.1696548626985
19,0.665,1656.468182744349,498.16387085891967,6063.124857370264,7166.427045304845,3950.969093282394,1864.6147729370664
20,0.7000000000000001,1582.6614259789876,489.4318441221797,6117.990828080229,7266.392531162323,3927.098991722381,1852.393265626166
21,0.7350000000000001,1538.7518678764723,487.79515589334244,6116.730645654249,7245.428277598811,3904.2407628143906,1846.1885892319103
22,0.77,1520.199831263929,493.45072022581866,6071.953184972938,7128.975436522747,3886.3862715695636,1830.8052425949452
23,0.805,1520.13358962114,503.44263428898984,6017.437149315506,6964.569264878125,3885.309845272206,1817.6368272751533
24,0.8400000000000001,1532.5617446673032,515.5829040557502,5953.538456542504,6798.075211321625,3893.6000280165554,1809.6408954776518
25,0.8750000000000001,1551.1295418656478,529.5601158122364,5918.311093919134,6702.934761340487,3908.4897418019737,1822.0273568634263
26,0.91,1573.7680598535499,543.0515935918959,5895.372652340018,6666.196216124665,3926.4716797198344,1855.4535249339374
27,0.945,1594.9408424068768,555.5878401891837,5917.606092645654,6698.192358488764,3940.4374027379813,1883.3204472007717
28,0.98,1612.5706217765041,565.5048651913133,5954.8872416427885,6744.922217576147,3951.0429831263928,1890.6688287748389
