,image set,total area,avg rnr2 intensity
4130,ChloropreV2,0.004360182285534135,6078.75
4131,ChloropreV2,0.21987776382764912,9262.920903954802
4132,ChloropreV2,0.05169930424276189,6668.690476190476
4133,ChloropreV2,0.06664850065030749,7172.388888888889
4134,ChloropreV2,0.06166543518112562,7362.94
4135,ChloropreV2,0.018063612325784267,6572.4
4136,ChloropreV2,0.0068517150201250696,6122.0
4137,ChloropreV2,0.005605948652829602,6073.0
4138,ChloropreV2,0.084089229792444,6990.676470588235
4139,ChloropreV2,0.03550434146792081,6909.448275862069
4140,ChloropreV2,0.065402734283012,6966.358490566037
4141,ChloropreV2,0.13890294995344457,6499.267857142857
4142,ChloropreV2,0.04671623877358001,6433.289473684211
4143,ChloropreV2,0.07412309885408026,7063.633333333333
4144,ChloropreV2,0.023046677794966136,6388.421052631579
4145,ChloropreV2,0.08035193069055764,7021.369230769231
4146,ChloropreV2,0.6247518331986727,8018.567729083666
4147,ChloropreV2,0.03176704236603441,6488.923076923077
4148,ChloropreV2,0.016817845958488807,6335.071428571428
4149,ChloropreV2,2.875851658901577,8674.55651797315
4150,ChloropreV2,0.02429244416226161,6441.55
4151,ChloropreV2,0.004360182285534135,6060.0
4152,ChloropreV2,0.4403784108389443,7430.864406779661
4153,ChloropreV2,0.0006228831836477336,6020.0
4154,ChloropreV2,0.008097481387420537,6138.428571428572
4155,ChloropreV2,0.04796200514087548,6422.461538461538
4156,ChloropreV2,0.05668236971194376,7081.869565217391
4157,ChloropreV2,0.044224706038989085,6717.138888888889
4158,ChloropreV2,0.0766146315886712,7861.870967741936
4159,ChloropreV2,0.0006228831836477336,6009.0
4160,ChloropreV2,0.004360182285534135,6044.5
4161,ChloropreV2,0.014326313223897874,6145.416666666667
4162,ChloropreV2,0.11647915534212616,6797.234042553191
4163,ChloropreV2,0.07287733248678481,6991.847457627118
4164,ChloropreV2,1.785806087518099,9689.638075313807
4165,ChloropreV2,0.005605948652829602,6047.4
4166,ChloropreV2,0.010589014122011471,6103.666666666667
4167,ChloropreV2,0.2609880539483991,8335.366666666667
4168,ChloropreV2,0.08782652889433039,7792.845070422535
4169,ChloropreV2,0.024292444162261603,6492.75
4170,ChloropreV2,0.9660918178376277,8141.625
4171,ChloropreV2,1.3423132607608836,8931.56957328386
4172,ChloropreV2,0.12893681901508083,8389.721153846154
4173,ChloropreV2,0.7044808807055819,8520.512367491167
4174,ChloropreV2,0.03675010783521628,6506.933333333333
4175,ChloropreV2,0.016817845958488807,6533.142857142857
4176,ChloropreV2,0.050453537875466414,6300.219512195122
4177,ChloropreV2,0.014326313223897874,6271.5
4178,ChloropreV2,0.02553821052955707,6254.571428571428
4179,ChloropreV2,0.0915638279962168,6675.7027027027025
4180,ChloropreV2,0.08907229526162587,7429.638888888889
4181,ChloropreV2,0.033012808733329874,6960.333333333333
4182,ChloropreV2,0.07910616432326213,6792.546875
4183,ChloropreV2,0.03550434146792081,7007.0
4184,ChloropreV2,0.004360182285534135,6179.0
4185,ChloropreV2,0.11897068807671707,8275.25
4186,ChloropreV2,0.0068517150201250696,6096.5
4187,ChloropreV2,0.14139448268803548,7372.991228070176
4188,ChloropreV2,0.023046677794966136,6443.263157894737
4189,ChloropreV2,0.11274185624023976,6762.32967032967
4190,ChloropreV2,0.12395375354589898,7926.46
4191,ChloropreV2,0.011834780489306938,6257.6
4192,ChloropreV2,0.001868649550943201,6018.0
4193,ChloropreV2,0.03924164056980721,6233.9375
4194,ChloropreV2,0.252267689377331,7585.467980295566
4195,ChloropreV2,0.4204461489622171,9579.961538461539
4196,ChloropreV2,0.023046677794966143,6172.8421052631575
4197,ChloropreV2,0.12270798717860347,7010.383838383838
4198,ChloropreV2,0.02180091142767067,6400.888888888889
4199,ChloropreV2,0.04671623877358002,6693.184210526316
4200,ChloropreV2,0.011834780489306938,6265.9
4201,ChloropreV2,0.18997937101255838,7437.3790849673205
4202,ChloropreV2,1.2750418769269174,9078.310546875
4203,ChloropreV2,0.003114415918238668,6089.333333333333
4204,ChloropreV2,0.03675010783521628,6721.8
4205,ChloropreV2,0.05419083697735282,6678.204545454545
4206,ChloropreV2,0.09654689346539867,7438.423076923077
4207,ChloropreV2,0.0068517150201250696,6178.666666666667
4208,ChloropreV2,0.005605948652829602,6076.4
4209,ChloropreV2,0.005605948652829602,6168.4
4210,ChloropreV2,0.010589014122011471,6112.555555555556
4211,ChloropreV2,0.052945070610057356,7194.790697674419
4212,ChloropreV2,0.023046677794966136,6437.0
4213,ChloropreV2,0.0006228831836477336,6002.0
4214,ChloropreV2,0.0168178459584888,6461.928571428572
4215,ChloropreV2,0.02553821052955707,6347.571428571428
4216,ChloropreV2,0.015572079591193342,6300.076923076923
4217,ChloropreV2,0.008097481387420537,6113.142857142857
4218,ChloropreV2,0.3519289987609673,7575.385159010601
4219,ChloropreV2,0.02180091142767067,6434.833333333333
4220,ChloropreV2,0.1339198844842627,7065.240740740741
4221,ChloropreV2,0.018063612325784274,6311.933333333333
4222,ChloropreV2,0.26472535305028544,7532.708920187793
4223,ChloropreV2,0.0068517150201250696,6171.666666666667
4224,ChloropreV2,0.013080546856602406,6179.454545454545
4225,ChloropreV2,0.07287733248678481,7434.881355932203
4226,ChloropreV2,0.0006228831836477336,6038.0
4227,ChloropreV2,0.059173902446534685,6938.395833333333
4228,ChloropreV2,0.14637754815721735,6839.381355932203
4229,ChloropreV2,0.10152995893458054,6580.609756097561
4230,ChloropreV2,0.003114415918238668,6109.666666666667
4231,ChloropreV2,0.24354732480626295,7204.6122448979595
4232,ChloropreV2,0.009343247754716004,6175.625
4233,ChloropreV2,0.10900455713835332,6815.068181818182
4234,ChloropreV2,0.019309378693079735,6300.3125
4235,ChloropreV2,0.02180091142767067,6533.722222222223
4236,ChloropreV2,0.011834780489306938,6147.5
4237,ChloropreV2,0.03799587420251175,6290.677419354839
4238,ChloropreV2,0.026783976896852545,6331.0
4239,ChloropreV2,0.33697980235342173,7907.357933579336
4240,ChloropreV2,0.2933779794980809,7599.817796610169
4241,ChloropreV2,0.7630318999684688,7727.456769983687
4242,ChloropreV2,0.1488690808918082,6896.375
4243,ChloropreV2,0.005605948652829602,6050.4
4244,ChloropreV2,0.0006228831836477336,6003.0
4245,ChloropreV2,0.001868649550943201,6058.5
4246,ChloropreV2,0.0068517150201250696,6279.0
