,image set,total area,percent of mito area covered,avg rnr2 intensity
0,ChloroPostV2,5.958500534774607,0.0,319.69663391177085
1,ChloroPostV2,0.5039124955710128,0.0,254.6320987654321
2,ChloroPostV2,123.5600913736671,0.016998709469292217,561.7578728640884
3,ChloroPostV2,0.831549050169718,0.0,665.6631736526946
4,ChloroPostV2,0.329505204149649,0.0,84.94716981132075
5,ChloroPostV2,0.6247518331986722,0.0,286.7828685258964
6,ChloroPostV2,0.6309806650351504,0.0,143.0138067061144
7,ChloroPostV2,0.28465761492701264,0.0,506.89519650655023
8,ChloroPostV2,1.760890760172189,0.0,266.5774946921444
9,ChloroPostV2,1.6469031375646441,0.0,252.2912254160363
10,ChloroPostV2,30.558026106562927,0.10844085692741404,1557.137119791242
11,ChloroPostV2,3.0888777077090848,0.19883040935672572,2318.0705929810406
12,ChloroPostV2,9.218048234803828,0.0,279.4046492769293
13,ChloroPostV2,0.643438328708104,0.0,453.0328820116054
14,ChloroPostV2,0.41608596667668307,0.06736526946107832,1503.6526946107786
15,ChloroPostV2,2.757503854008513,0.0,231.8084914182475
16,ChloroPostV2,5.496944095691517,0.15954674220962295,1781.311650045331
17,ChloroPostV2,7.566162031769817,0.00650366345599668,569.2851967726
18,ChloroPostV2,1.9695566266941904,0.2732447817836728,2851.482605945604
19,ChloroPostV2,0.2148946983584675,0.0,66.9306358381503
20,ChloroPostV2,0.20119126831821743,0.0,438.10493827160496
21,ChloroPostV2,1.0968972864036566,0.0539466212379331,1524.938706015891
22,ChloroPostV2,0.5369253043043427,0.0,81.04640371229698
23,ChloroPostV2,0.5238447574477401,0.0,782.8574821852732
24,ChloroPostV2,239.87044537362692,0.18966390286049675,2418.9995947146635
25,ChloroPostV2,0.206797216971047,0.0,707.855421686747
26,ChloroPostV2,2.179468259583466,0.3923978279508324,3854.772
27,ChloroPostV2,0.5269591733659788,0.008274231678487058,902.8888888888889
28,ChloroPostV2,10.436407742019066,0.0,562.9127268385864
29,ChloroPostV2,0.929964593186059,0.2793034159410594,2907.508701472557
30,ChloroPostV2,5.012340978813458,0.1649061762147324,1505.876491053678
31,ChloroPostV2,0.6633705905848328,0.06666666666666701,2086.8686679174484
32,ChloroPostV2,0.6833028524615586,0.0,383.79234972677597
33,ChloroPostV2,7.635302065154735,0.26790667319298667,3156.577676240209
34,ChloroPostV2,11.95001387828312,0.0,567.0879991658846
35,ChloroPostV2,0.4005138870854898,0.0,327.9130434782609
36,ChloroPostV2,0.706972413440173,0.20704845814978093,2279.711267605634
37,ChloroPostV2,8.544711513280571,0.09301647470475648,1266.172961936707
38,ChloroPostV2,9.764939670046665,0.010971486891623384,652.0313815537696
39,ChloroPostV2,0.3220306059458762,0.5938104448742768,5161.660231660232
40,ChloroPostV2,2.125900305789769,0.0,461.4036321031049
41,ChloroPostV2,2.710164732051289,0.30131004366812153,3359.459099264706
42,ChloroPostV2,0.2535134557446264,0.0,621.25
43,ChloroPostV2,1.9570989630212385,0.18014003819222812,2330.544585987261
44,ChloroPostV2,0.5082726778565467,0.0,861.0269607843137
45,ChloroPostV2,0.3506832323936715,0.0,1122.3687943262412
46,ChloroPostV2,0.20368280105280828,0.0,54.98780487804878
47,ChloroPostV2,0.2746914839886491,0.0,639.420814479638
48,ChloroPostV2,1.0607700617520872,0.39929536112742187,4233.893192488263
49,ChloroPostV2,0.22112353019494466,0.0,40.235955056179776
50,ChloroPostV2,0.33199673688424003,0.0,456.03007518796994
51,ChloroPostV2,1.3896523827181109,0.38547736441057157,3733.3396057347672
52,ChloroPostV2,0.4011367702691375,0.262422360248449,2704.2701863354037
53,ChloroPostV2,0.29960681133455813,0.0,847.2448132780083
54,ChloroPostV2,4.3446102059429155,0.0,216.56938073394497
55,ChloroPostV2,1.9975863699583447,0.0,837.8403990024938
56,ChloroPostV2,0.5911161412816952,0.0,1017.2926315789474
57,ChloroPostV2,4.161482549950437,0.0,933.964980544747
58,ChloroPostV2,1.1654144366049102,0.0,1098.2136752136753
59,ChloroPostV2,0.5487600847936495,0.0,648.9386363636364
60,ChloroPostV2,0.7605403672338777,0.0,78.11129296235679
61,ChloroPostV2,0.21489469835846742,0.0,34.0
62,ChloroPostV2,0.26472535305028544,0.0,425.8920187793427
63,ChloroPostV2,0.3581578305974445,0.0,442.16319444444446
64,ChloroPostV2,3.376649738554316,0.0,742.6606418295831
65,ChloroPostV2,33.54475097215415,0.05002413933971308,905.2651855704573
66,ChloroPostV2,0.3668781951685125,0.0,95.6135593220339
67,ChloroPostV2,160.6260009831792,0.07278720310226992,1110.1322010753606
68,ChloroPostV2,1.022151304365925,0.0,105.74177831912301
69,ChloroPostV2,0.5736754121395587,0.0,418.5162689804772
70,ChloroPostV2,0.8377778820061955,0.0,343.79049034175335
71,ChloroPostV2,96.06291323163126,0.02218864890452518,658.079534545832
72,ChloroPostV2,0.26098805394839925,0.0,250.93333333333334
73,ChloroPostV2,0.4422470603898875,0.0,141.92957746478874
74,ChloroPostV2,0.2983610449672626,0.0,170.82916666666668
75,ChloroPostV2,0.5201074583458538,0.0,258.79425837320576
76,ChloroPostV2,0.5942305571999333,0.0,140.76519916142558
77,ChloroPostV2,0.5811500103433316,0.0,296.76231263383295
78,ChloroPostV2,0.2983610449672626,0.0,251.1625
79,ChloroPostV2,1.0769650245269282,0.0,135.37109826589597
80,ChloroPostV2,1.1946899462363565,0.0,169.53910323253388
81,ChloroPostV2,0.5138786265093768,0.0,429.45278450363196
82,ChloroPostV2,1.6687040489923168,0.0,213.09253731343284
83,ChloroPostV2,0.9025577331055598,0.0,179.1751724137931
84,ChloroPostV2,0.8153540873948776,0.0,193.06412213740458
85,ChloroPostV2,0.6521586932791725,0.0,113.23091603053435
86,ChloroPostV2,0.468408154103092,0.0,190.71010638297872
87,ChloroPostV2,0.4192003825949216,0.0,270.0652818991098
88,ChloroPostV2,0.5412854865898771,0.0,352.8781609195402
89,ChloroPostV2,3.8319773458007753,0.0,372.3983739837398
90,ChloroPostV2,2.1545529322375643,0.04191962995085179,752.1751445086705
91,ChloroPostV2,0.6945147497672184,0.0,153.92293906810036
92,ChloroPostV2,0.2323354275006038,0.0,428.4598930481283
93,ChloroPostV2,0.5549889166301268,0.0,214.1121076233184
94,ChloroPostV2,2.2903414662727593,0.0,775.9091897770528
95,ChloroPostV2,0.5562346829974221,0.0,691.5525727069352
96,ChloroPostV2,2.1881886241545465,0.0,643.2174160500854
97,ChloroPostV2,3.428971925980716,0.0,270.99818379949147
98,ChloroPostV2,1.289991073334468,0.0,415.019305019305
99,ChloroPostV2,1.1404991092590013,0.0,208.07650273224044
100,ChloroPostV2,1.2152450912967345,0.0,377.9108606557377
101,ChloroPostV2,0.5668236971194338,0.0,348.8615384615385
102,ChloroPostV2,0.24977615664274033,0.0,111.7910447761194
103,ChloroPostV2,3.9272784728988577,0.0,340.53489847715736
104,ChloroPostV2,1.3821777845143361,0.0,149.1136158701533
105,ChloroPostV2,0.3201619563949331,0.0,381.6342412451362
106,ChloroPostV2,1.6263479925042692,0.02106472615855946,1543.885911179173
107,ChloroPostV2,35.98271575295378,0.1394197479573792,2294.8396536796536
108,ChloroPostV2,1.7739713070287915,0.0976123595505592,2114.3363764044943
109,ChloroPostV2,0.3058356431710354,0.0,584.3252032520326
110,ChloroPostV2,6.335344860881583,0.13951430537802412,2327.210381439245
111,ChloroPostV2,8.23700722055856,0.20576225045369648,2674.667423210773
112,ChloroPostV2,1.8418655740463994,0.0,786.5990534144693
113,ChloroPostV2,0.26846265215217185,0.0,705.8425925925926
114,ChloroPostV2,26.593997525832744,0.14833118632162323,2398.387033306788
