,ChloroPostV2_total mito area,ChloroPostV2_total rnr2 area,ChloroPostV2_percent of mito area covered,ChloroPostV2_number of rnr2 obj,ChloroPostV2_avg size of rnr2 obj,ChloroPostV2_avg rnr2 intensity in mito,ChloropreV2_total mito area,ChloropreV2_total rnr2 area,ChloropreV2_percent of mito area covered,ChloropreV2_number of rnr2 obj,ChloropreV2_avg size of rnr2 obj,ChloropreV2_avg rnr2 intensity in mito,DMSOPostV2_total mito area,DMSOPostV2_total rnr2 area,DMSOPostV2_percent of mito area covered,DMSOPostV2_number of rnr2 obj,DMSOPostV2_avg size of rnr2 obj,DMSOPostV2_avg rnr2 intensity in mito,DMSOpreV2_total mito area,DMSOpreV2_total rnr2 area,DMSOpreV2_percent of mito area covered,DMSOpreV2_number of rnr2 obj,DMSOpreV2_avg size of rnr2 obj,DMSOpreV2_avg rnr2 intensity in mito
0,243.7017998356382,8.42138064291738,0.03455608718769037,24,0.3508908601215575,599101.8863975131,306.60428101965266,14.423483000546884,0.047042666699172314,162,0.08903384568238817,1730209.2431188095,290.62545870955415,30.9548026945577,0.10651098094435481,394,0.07856548907248147,1702909.178010461,195.17359388087687,6.3571457723087645,0.03257175136196351,20,0.3178572886154382,1060771.6693804513
1,286.11889887628706,52.16210644821303,0.18230919611768476,277,0.18831085360365715,1876667.085288092,90.14676875341718,8.098104270604168,0.08983244083606928,63,0.1285413376286376,2489807.633748291,384.1034067296636,19.420251899769113,0.05055995744770186,42,0.4623869499945027,791907.3527355652,236.20664648706372,11.230583801168605,0.04754558759540946,42,0.2673948524087763,1360837.1008205486
2,189.38264892250814,13.163390320027688,0.06950684444916547,23,0.5723213182620733,852848.9537924293,259.1598918043002,34.64974573995607,0.1337002631800803,152,0.22795885355234255,2608017.642291611,269.6087572101509,21.97220430317397,0.08149662692910002,53,0.4145698925127164,975139.7236517563,84.95566030091656,18.443571067809426,0.21709643598179937,102,0.18081932419421007,3306282.877504391
3,135.76673312370642,2.355121317372068,0.017346821737443997,15,0.15700808782480455,487182.24618200416,171.47351162623875,9.059835906156252,0.05283519197941195,95,0.09536669374901317,2329621.287926512,172.26893345171408,12.60217257156112,0.0731540639339561,50,0.2520434514312224,1307669.3196289046,641.7366118482549,42.03215723254944,0.06549752103357999,150,0.28021438155032957,1597579.8389424365
4,121.88951867527825,18.159536336065962,0.14898357572847726,154,0.11791906711731144,1850983.5419159757,526.0516325664754,35.204734656586176,0.06692258416694005,485,0.07258708176615707,2515647.0735460958,151.10523152104906,63.874178950341275,0.4227132198360952,120,0.5322848245861773,3175446.794065233,199.1600462562202,9.509557564750011,0.04774831972330398,27,0.3522058357314819,1187182.6676311363
5,185.12461947919167,5.741737186864766,0.031015524585643495,20,0.2870868593432383,526402.167762206,407.00183832606604,148.33277847067666,0.3644523550083848,455,0.32600610652895967,4224639.608685228,280.6655566028531,9.504574499280727,0.033864413625680025,67,0.14185932088478698,853552.548091912,202.26200451102744,30.708140953833244,0.15182357669237387,274,0.11207350713077827,2709359.1568263266
6,112.35691443276416,43.60057708897583,0.38805424044522857,110,0.396368882627053,3072948.2537241825,60.34928301408117,0.28465761492701297,0.004716835075912905,3,0.09488587164233765,824378.7418052966,282.2389595251755,13.776930255920409,0.04881299973291432,34,0.4052038310564826,753940.1234967321,472.42948793643035,31.969479400719944,0.06767037244089583,141,0.22673389645900668,1843466.1896405343
7,98.71328117811518,4.998637548773023,0.050637943436948836,13,0.38451058067484795,796574.868766827,363.93756365866034,63.017714572825355,0.17315529053750034,399,0.1579391342677327,2975732.488597235,129.13427298412873,0.18873360464526323,0.0014615299276007042,5,0.037746720929052645,546523.942630428,146.84907072728186,2.1296376048915917,0.014502220506703856,17,0.12527280028774068,606948.7778068813
8,206.71686504035736,10.848133526409026,0.052478221959737746,30,0.36160445088030085,790957.6220018576,467.8052031804651,75.62300156030406,0.16165489619646448,596,0.1268842308058793,3147330.5362788294,341.9192660002055,14.961031188035058,0.043756034466996274,35,0.4274580339438588,650821.5509560268,424.47869469262366,27.241173153650607,0.06417559584086233,64,0.42564333052579073,1428227.5543628952
9,109.13785413960738,63.90968329180333,0.5855867681808284,97,0.658862714348488,3640335.6940826625,445.44867995386073,110.61969323355189,0.2483331935005617,655,0.1688850278374838,3609386.9290768458,574.6819913623644,14.927395496117903,0.02597505354349179,177,0.08433556777467742,806486.8622405776,332.71928137709625,52.29291191677804,0.15716826419058796,571,0.09158128181572336,2894902.0237523997
10,288.8944663425653,15.108654502559395,0.052298178964230675,222,0.06805700226378106,1329636.1050561378,87.01740363874428,3.6482268066247734,0.041925254651017985,77,0.04737956891720485,2187366.4582110336,140.4501917814868,3.7827695742927396,0.026933174859440516,17,0.22251585731133763,793802.1058273544,348.3156534128288,16.21178062079941,0.04654335934074422,43,0.3770181539720793,1181861.5700055647
11,296.4930182992222,22.724647189020864,0.07664479696478735,33,0.6886256723945716,990953.0608356007,295.63655392200855,21.255265758795208,0.07189660911959665,102,0.20838495841956087,1910203.1481160463,835.003560309151,110.20236150050748,0.1319783133136657,471,0.23397528980999466,1683395.8929223923,135.70319903905173,24.17222770781762,0.17812570284994905,157,0.15396323380775553,3039871.373122809
12,142.59477858294153,3.4140227295732055,0.023942130023978464,9,0.37933585884146725,429363.98940013006,,,,,,,134.6218738321517,59.92696821556074,0.4451503051449014,89,0.6733367215231544,3119587.97664351,458.9129228519317,12.637054029845183,0.02753693217290926,80,0.15796317537306478,1160850.628675552
