,Distance,Channel 1,Channel 2,Channel 3
0,0.0,186593.794,182849.58100000012,1304624.8099999994
1,0.035,185956.37800000008,184864.4900000001,1307048.4340000004
2,0.07,184823.87899999996,181166.82700000002,1319940.7740000004
3,0.10500000000000001,183286.2680000001,172446.28300000008,1344859.1190000002
4,0.14,181190.33600000007,160968.92099999994,1372657.5779999997
5,0.17500000000000002,179076.356,145159.70199999996,1400047.3260000004
6,0.21000000000000002,178566.66699999996,131834.44999999995,1407377.7000000004
7,0.24500000000000002,179079.206,129157.77700000002,1390748.1770000006
8,0.28,180942.56499999997,141239.88800000004,1359911.328
9,0.31500000000000006,184376.9689999999,182329.39399999985,1327206.4699999997
10,0.35000000000000003,188299.6519999999,257641.45600000003,1298240.0830000003
11,0.385,192059.05600000007,365947.3199999997,1270487.4410000006
12,0.42000000000000004,194759.18399999995,486031.8640000002,1272400.4099999995
13,0.45500000000000007,196196.27600000004,588300.2570000001,1278262.7840000007
14,0.49000000000000005,196037.4230000002,640396.1599999996,1284746.6720000003
15,0.525,194359.02099999998,589441.3480000002,1288308.2459999993
16,0.56,192617.57400000005,486006.595,1298451.4490000005
17,0.5950000000000001,191760.87,365434.91499999986,1317332.3780000014
18,0.6300000000000001,191439.53200000006,253713.76000000004,1322221.424999999
19,0.665,191689.99400000004,180247.626,1304518.093
20,0.7000000000000001,191732.43699999995,144264.32299999997,1273082.2790000015
21,0.7350000000000001,192209.513,136841.86400000006,1242026.8539999998
22,0.77,192432.84999999998,145287.22699999996,1220661.340999999
23,0.805,191817.70100000006,160102.3769999999,1206291.7019999996
24,0.8400000000000001,190681.243,175815.88,1198993.8660000002
25,0.8750000000000001,189415.97700000004,191236.69100000002,1205111.5990000004
26,0.9100000000000001,187892.32599999997,203108.892,1212740.9119999998
27,0.9450000000000001,186385.62899999984,205819.76799999998,1220568.0160000005
28,0.9800000000000001,185285.797,199361.43899999998,1249581.8799999997
